,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-5.2,-3.7,-7.4,9.7,15.1,西,21.7,西,西北西,0.0,,
2,0.0,0.0,0.0,-2.8,-0.5,-4.6,8.4,11.9,西,20.4,西,西北西,0.0,,
3,0.0,0.0,0.0,-2.5,-0.5,-5.4,7.4,10.3,西,16.4,西,西北西,0.0,,
4,0.0,0.0,0.0,-5.0,-2.9,-6.3,2.9,7.3,西北西,12.1,西,西北西,0.8,,
5,0.0,0.0,0.0,-3.2,-1.2,-5.9,3.6,6.8,西北西,12.4,西北西,北西,1.3,,
6,0.0,0.0,0.0,-0.8,0.6,-1.7,3.9,8.1,西北西,15.1,西,西北西,3.4,,
7,0.0,0.0,0.0,0.6,2.7,-2.5,1.4,3.2,南東,6.4,東南東,東南東,0.1,,
8,0.0,0.0,0.0,0.7,2.6,-1.2,2.8,5.9,北東,9.1,北東,北東,0.0,,
9,0.0,0.0,0.0,-0.1,1.3,-1.6,1.2,2.7,北東,7.1,北北西,東北東,0.3,,
10,0.0,0.0,0.0,0.2,2.5,-1.9,1.5,3.7,東南東,5.9,東南東,東,1.7,,
11,0.0,0.0,0.0,1.6,3.0,0.3,2.8,6.8,西,10.6,西,西,0.1,,
12,0.0,0.0,0.0,-0.9,1.0,-2.6,3.9,6.0,西北西,9.6,西,西北西,0.0,,
13,3.0,1.0,0.5,-2.9,-1.0,-4.4,3.3,7.3,西,11.2,西,西北西,0.4,,
14,0.5,0.5,0.5,-3.0,-1.1,-4.7,2.7,6.0,西,10.2,西,西北西,0.7,,
15,0.0,0.0,0.0,-2.4,-0.3,-3.8,2.0,4.2,南東,7.6,南東,東北東,4.0,,
16,0.5,0.5,0.5,-2.3,-0.7,-4.3,4.2,8.8,西北西,13.2,西,西北西,1.2,,
17,0.5,0.5,0.5,-2.5,-1.1,-3.6,5.2,9.8,西北西,14.9,西,西北西,0.8,,
18,0.0,0.0,0.0,-1.6,1.3,-3.9,2.1,4.0,北東,5.4,北東,北東,3.0,,
19,1.0,0.5,0.5,-0.6,1.5,-3.4,1.8,4.3,東北東,6.0,東北東,東北東,0.3,,
20,0.5,0.5,0.5,-0.2,3.0,-2.7,2.5,5.1,西北西,8.1,西北西,北西,1.1,,
21,0.5,0.5,0.5,-2.2,-0.3,-3.6,2.9,6.1,西北西,11.8,西,北西,0.8,,
22,13.0,5.5,1.5,2.2,4.2,-0.8,5.7,9.5,西,14.0,西,西,1.5,,
23,0.0,0.0,0.0,0.3,2.4,-2.5,2.2,6.3,西,9.3,西,西,8.7,,
24,0.0,0.0,0.0,-2.8,3.0,-6.2,6.9,9.6,西北西,17.5,北西,西北西,0.3,,
25,0.0,0.0,0.0,-5.2,-4.0,-6.2,5.3,8.1,西北西,14.5,西,北西,0.0,,
26,0.0,0.0,0.0,-3.0,0.5,-6.2,4.0,10.2,西,14.8,西,西北西,6.0,,
27,0.0,0.0,0.0,-0.6,2.3,-3.0,3.4,8.5,西北西,14.4,西北西,北西,7.6,,
28,0.0,0.0,0.0,0.8,4.7,-3.8,2.5,6.5,東北東,8.8,北東,北東,7.0,,
29,3.5,1.5,0.5,3.2,5.3,1.4,3.0,5.9,北東,9.3,北東,北東,0.0,,
30,3.5,0.5,0.5,2.6,5.0,0.6,1.7,3.4,東北東,9.4,北,北北東,1.3,,
31,1.0,0.5,0.5,1.0,1.6,0.4,2.3,4.8,北北東,12.1,東南東,北北東,0.0,,
