,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.4,11.9,-2.9,0.5,1.7,南南東,4.8,南西,東南東,6.8,,
2,0.0,0.0,0.0,2.7,12.2,-2.7,0.4,2.1,南南西,4.8,南西,南,6.9,,
3,0.0,0.0,0.0,2.9,13.5,-2.3,0.3,1.6,南南東,3.5,南南西,南南東,6.9,,
4,0.0,0.0,0.0,3.4,11.6,-2.4,0.5,2.1,南南西,8.5,西南西,東北東,5.4,,
5,0.0,0.0,0.0,4.8,9.4,-1.6,1.1,2.8,西南西,8.4,南西,南西,6.9,,
6,0.0,0.0,0.0,3.3,13.0,-3.1,0.4,1.9,南西,4.8,南西,南東,5.4,,
7,4.0,1.5,0.5,7.7,12.5,2.8,0.3,2.0,西,4.6,西北西,西北西,0.0,,
8,25.5,11.0,2.5,12.0,15.9,6.0,2.2,5.3,西,14.7,西北西,西北西,5.6,,
9,0.0,0.0,0.0,6.8,14.3,1.4,0.6,2.9,西北西,6.0,西,北北西,7.0,,
10,0.0,0.0,0.0,5.4,11.9,-0.4,0.8,3.2,南南西,7.0,南,北,7.1,,
11,0.0,0.0,0.0,4.4,13.2,-1.7,0.4,2.4,南南西,4.8,南南西,南南西,4.5,,
12,1.5,1.0,0.5,5.7,8.6,3.7,0.2,0.9,西,2.3,南南西,東,0.2,,
13,0.0,0.0,0.0,3.2,12.1,-1.2,0.4,2.0,南南西,5.2,北,東,7.1,,
14,7.5,3.0,1.0,1.7,7.4,-2.8,0.3,2.4,北,7.1,北,東,0.9,,
15,0.0,0.0,0.0,2.0 ),9.5 ),-1.6 ),0.4 ),2.5 ),南南西 ),5.9 ),南 ),東北東 ),2.9 ],,
16,0.0,0.0,0.0,2.0,8.7,-2.4,0.2,2.0,北北西,5.6,北北東,東南東,0.0,,
17,12.5,2.0,0.5,1.9,2.5,0.4,0.1,0.8,北西,1.4,北北西,北,0.0,,
18,0.0,0.0,0.0,3.3,10.9,-1.0,0.8,4.0,南南西,10.3,南,西北西,7.3,,
19,0.0,0.0,0.0,3.0,12.3,-2.9,0.6,3.0,西,8.4,西,東北東,6.8,,
20,0.0,0.0,0.0,3.1,12.4,-2.4,0.3,1.5,東南東,3.6,南東,南南西,7.3,,
21,0.0,0.0,0.0,2.6,10.8,-2.5,0.7,3.3,南,8.4,南南東,南南西,7.5,,
22,4.5,1.0,0.5,4.4,13.4,-2.2,0.2,1.7,東南東,4.5,東,東,1.0,,
23,30.0,6.5,1.5,10.9,18.7,6.5,0.3,3.3,西,7.3,西南西,東南東,2.1,,
24,0.0,0.0,0.0,10.5,16.4,5.8,0.4,2.5,南南西,5.5,南南西,西北西,1.2,,
25,18.0,6.0,2.0,5.7,8.4,3.9,0.3,1.3,南南西,2.7,南南西,南東,0.0,,
26,10.5,6.0,1.0,6.4,12.6,4.0,0.3,1.4,南南西,3.0,南南西,北東,2.6,,
27,95.5,15.5,3.5,6.3,10.7,4.0,0.6,2.1,南,9.3,北西,南東,0.0,,
28,31.0,14.5,2.0,10.1,11.6,9.2,0.3,1.6,北,5.4,南西,南南東,0.0,,
29,0.0,0.5,0.0,7.7,14.4,3.0,0.6,3.2,西北西,7.7,西,北北西,6.1,,
30,0.0,0.0,0.0,5.0,13.0,0.5,0.7,2.8,南南西,6.6,南,南南東,7.2,,
31,0.0,0.0,0.0,3.8,8.2,0.0,1.1,2.8,西,7.6,西北西,西,7.6,,
