,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,0.3,6.5,-3.4,1.4,5.1,北北西,8.7,北,北北西,6.6,,
2,0.0,0.0,0.0,1.9,9.1,-3.3,1.1,5.1,北,7.9,北,北,6.9,,
3,0.0,0.0,0.0,4.8,9.6,0.5,1.3,4.6,北北西,9.8,北北西,北,3.3,,
4,0.0,0.0,0.0,3.6,9.2,-2.2,1.6,5.7,北,11.5,北,北北西,6.9,,
5,0.0,0.0,0.0,2.8,8.2,-2.9,2.1,6.1,北東,11.1,北東,北北東,7.7,,
6,0.0,0.0,0.0,2.3,10.1,-4.9,0.5,2.1,南西,4.7,南南西,南,3.4,,
7,1.5,1.0,0.5,7.9,13.0,3.8,0.6,2.4,南,3.9,南,南,0.1,,
8,19.0,11.5,6.0,8.9,14.6,6.0,3.1,7.7,西北西,18.9,北北西,北北西,0.0,,
9,0.0,0.0,0.0,6.7,10.5,4.5,1.4,4.3,北北西,8.3,北,北北西,4.4,,
10,0.0,0.0,0.0,3.7,9.2,-2.0,1.5,4.7,北北東,10.1,北西,北西,8.2,,
11,0.0,0.0,0.0,2.2,11.1,-3.1,1.0,4.8,北北西,8.0,北北西,北,6.1,,
12,9.0,2.5,1.5,3.0,6.2,0.0,0.9,5.2,西,9.6,西,西,0.2,,
13,0.5,0.5,0.5,3.9,6.9,1.7,1.9,4.4,北,10.4,北北西,西北西,1.2,,
14,3.5,1.0,0.5,2.2,5.8,-0.6,0.5,2.1,北西,3.9,北北西,北北西,0.0,,
15,1.0,1.5,0.5,2.0,6.3,-1.2,1.3,3.3,西,9.7,北北西,北西,4.6,,
16,0.0,0.0,0.0,1.2,5.5,-2.1,0.6,2.7,北西,4.5,西北西,北西,0.1,,
17,0.0,0.0,0.0,2.7,7.5,0.5,0.9,3.2,北北西,6.1,北北西,南南東,0.7,,
18,0.0,0.0,0.0,2.5,10.8,-2.4,1.2,5.3,北北西,8.8,北北西,北北西,7.1,,
19,1.0,1.0,1.0,2.4,9.9,-4.3,1.0,3.8,北北西,7.8,北,南南西,4.4,,
20,0.0,0.0,0.0,5.0,6.7,3.8,1.9,4.4,西北西,9.7,北西,北北西,0.9,,
21,0.0,0.0,0.0,3.4,8.6,-2.9,1.5,3.8,北西,9.7,北北西,北西,6.0,,
22,7.5,2.0,0.5,2.8,8.7,-3.8,0.3,2.1,北,4.2,西,東北東,1.1,,
23,24.0,5.5,1.5,10.4,15.7,7.6,1.2,4.4,北北西,7.7,北北西,西,1.9,,
24,0.0,0.0,0.0,8.9,12.1,4.7,0.8,2.6,北北西,5.5,北,北北西,0.0,,
25,15.0,4.5,1.5,6.1,9.3,4.5,1.0,4.2,北北西,6.9,北西,北北西,0.0,,
26,6.5,4.5,1.0,6.7,11.5,4.7,0.9,4.4,北西,6.8,北北西,北北西,0.7,,
27,27.5,5.5,1.5,8.9,12.1,4.8,3.3,7.5,南東,16.7,東,東南東,0.0,,
28,1.5,0.5,0.5,8.1,12.7,6.8,1.3,4.1,北西,7.3,東,北,0.0,,
29,0.0,0.0,0.0,6.3,10.5,0.8,1.7,3.8,北北西,9.6,北,北北西,2.7,,
30,0.5,0.5,0.5,3.0,8.5,-1.4,1.4,4.4,北北西,8.1,北,北北西,3.0,,
31,0.0,0.0,0.0,1.9,4.8,-1.6,2.3,5.7,北北西,11.6,北北西,北北西,4.2,,
