,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.3,9.9,0.4,1.3,3.6,西,6.9,西南西,東,7.5,,
2,0.0,0.0,0.0,5.5,12.6,0.5,1.2,3.3,南南東,6.1,西,東北東,8.5,,
3,0.0,0.0,0.0,7.7,13.6,2.2,2.2,7.1,西,11.1,西,西,8.5,,
4,0.0,0.0,0.0,8.6,13.5,3.7,2.2,6.2,西,10.2,西,西南西,8.2,,
5,0.0,0.0,0.0,6.7,10.4,3.1,1.6,4.7,北,7.7,北北西,東,6.5,,
6,0.0,0.0,0.0,5.7,9.7,0.9,0.9,2.9,東南東,5.0,南東,東北東,2.7,,
7,1.0,1.0,0.5,8.2,11.8,6.0,0.8,2.5,西,4.6,北東,東,2.7,,
8,10.0,8.5,2.5,11.8,16.3,7.6,5.8,13.5,西,22.7,西,西南西,1.6,,
9,0.0,0.0,0.0,10.2,14.7,6.2,2.2,5.8,西,10.2,西,西,5.5,,
10,0.0,0.0,0.0,6.9,11.5,2.4,1.1,3.9,北北東,6.0,北北東,北東,7.2,,
11,0.0,0.0,0.0,6.7,13.5,1.9,1.1,3.2,南,4.4,北北西,東北東,6.1,,
12,0.0,0.0,0.0,8.2,10.8,6.3,1.7,5.0,西南西,9.3,西,西,0.0,,
13,0.0,0.0,0.0,8.0,11.8,2.5,4.2,7.9,西,14.3,西,西,7.9,,
14,5.5,4.0,1.5,5.7,9.9,2.5,0.9,3.1,西,6.6,南西,東北東,0.0,,
15,4.5,6.0,1.5,5.7,8.8,0.9,1.6,5.1,西,8.7,西南西,西,3.0,,
16,0.0,0.0,0.0,5.1,8.7,0.8,0.9,2.5,南南東,3.6,南南東,東北東,0.7,,
17,0.0,0.0,0.0,6.4,10.2,4.1,1.1,3.3,北北東,5.1,北,東北東,0.9,,
18,0.0,0.0,0.0,7.1,11.8,2.4,1.6,3.6,北北東,6.5,東,東,7.8,,
19,0.0,0.0,0.0,6.7,12.7,0.2,1.9,5.2,西南西,10.8,西,西,5.6,,
20,0.0,0.0,0.0,9.0,11.9,6.3,4.2,7.7,西南西,13.2,西,西南西,6.3,,
21,0.0,0.0,0.0,6.5,11.4,1.8,1.3,3.5,西,6.0,西,東北東,5.9,,
22,4.5,2.0,1.0,5.7,10.7,0.8,0.7,2.7,北北東,3.8,北,北東,1.5,,
23,9.0,4.0,1.0,9.5,13.5,6.5,0.6,2.0,東,3.0,西,西南西,0.9,,
24,0.5,0.5,0.5,11.5,13.7,9.4,1.5,3.7,東北東,6.7,北北東,東北東,0.0,,
25,6.5,2.5,1.0,7.7,9.4,6.0,1.9,4.1,東北東,7.3,北東,東北東,0.0,,
26,8.0,3.0,1.0,7.8,10.5,5.7,1.4,4.0,北東,6.8,東北東,東北東,1.1,,
27,38.5,11.0,2.5,7.5,9.1,5.7,3.1,7.8,東北東,15.1,東北東,東北東,0.0,,
28,7.0,9.0,0.5,8.8,10.1,7.5,1.2,4.1,東北東,7.6,北東,西南西,0.0,,
29,0.5,0.5,0.5,9.6,13.1,5.8,1.5,4.7,西,7.5,西,西南西,3.5,,
30,0.0,0.0,0.0,6.9,10.2,2.7,1.4,3.2,南西,6.8,西北西,西北西,2.8,,
31,0.0,0.0,0.0,5.6,8.1,3.5,1.7,4.4,西南西,7.7,西南西,西,1.9,,
