,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.7,10.4,0.8,3.3,6.5,南南西,11.1,南南西,南南西,8.3,,
2,0.0,0.0,0.0,7.3,13.3,1.9,3.0,5.1,南南西,9.0,南南西,南南西,8.8,,
3,0.0,0.0,0.0,9.7,13.5,5.7,3.6,7.3,南南西,12.5,南南西,南西,8.4,,
4,0.0,0.0,0.0,8.3,13.7,4.3,3.2,6.5,南南西,10.8,南西,南南西,8.0,,
5,0.0,0.0,0.0,5.8,10.9,2.0,1.7,4.6,北東,7.2,東北東,南南西,6.6,,
6,0.0,0.0,0.0,5.9,10.2,0.8,1.7,3.1,南南西,4.4,北東,南南西,3.0,,
7,0.0,0.0,0.0,8.5,10.8,6.4,1.3,2.9,北北東,4.3,北北東,南南西,1.0,,
8,14.5,8.5,4.0,11.7,15.6,7.2,5.1,13.6,西南西,24.6,西南西,西南西,4.0,,
9,0.0,0.0,0.0,10.6,15.1,7.6,3.0,6.2,南西,10.7,南西,南西,6.3,,
10,0.0,0.0,0.0,7.1,11.7,3.3,2.0,3.9,北北西,5.9,北北東,南南西,8.4,,
11,0.0,0.0,0.0,7.5,13.9,3.3,2.0,4.2,北北東,5.7,北北東,南南西,6.5,,
12,0.5,0.5,0.5,8.4,10.8,6.6,2.9,5.6,南南西,9.3,南西,南南西,0.0,,
13,0.0,0.0,0.0,8.1,11.5,2.9,3.0,6.9,南西,12.6,西南西,南南西,5.3,,
14,0.0,0.0,0.0,6.4,10.3,2.5,1.6,4.4,北西,7.9,南南西,南西,0.0,,
15,0.0,0.0,0.0,6.2,10.8,2.2,2.1,4.5,北西,6.8,北北西,南西,4.7,,
16,0.0,0.0,0.0,5.6,9.1,2.5,1.7,3.2,南南西,4.3,南南西,南南西,0.4,,
17,0.0,0.0,0.0,6.8,10.5,4.8,1.6,3.7,北北東,5.9,東北東,南南西,2.0,,
18,0.0,0.0,0.0,7.4,12.0,2.9,1.5,3.7,北東,5.9,北北東,南南西,7.5,,
19,0.5,0.5,0.5,6.9,12.4,1.5,2.4,5.3,南西,8.5,南西,南南西,4.7,,
20,0.0,0.0,0.0,8.9,12.5,4.7,3.5,7.3,西南西,12.9,西南西,南西,6.0,,
21,0.0,0.0,0.0,7.1,11.2,2.5,2.2,4.6,北北東,10.4,北東,南南西,6.7,,
22,6.5,3.0,1.0,6.3,10.2,2.3,1.6,3.2,北,4.9,北,南南西,1.9,,
23,17.5,6.0,1.5,9.8,12.9,6.8,1.1,2.6,北北東,3.8,北北東,南南西,1.1,,
24,0.0,0.0,0.0,11.9,13.8,10.2,1.8,5.4,北北東,8.8,東北東,北東,0.0,,
25,8.5,3.0,1.0,8.3,10.3,6.7,2.5,5.7,北東,9.8,北東,東北東,0.0,,
26,7.5,3.0,1.0,7.9,9.9,6.3,1.2,2.8,北北東,5.2,北北東,南西,0.2,,
27,29.0,8.0,1.5,8.3,9.8,6.3,4.7,9.4,北東,16.1,東北東,北東,0.0,,
28,0.5,3.5,0.5,9.4,10.6,8.3,1.1,3.1,北北東,5.0,北北東,南南西,0.0,,
29,0.0,0.0,0.0,9.7,13.9,5.8,1.5,3.9,北北東,5.5,北東,南南西,2.9,,
30,0.0,0.0,0.0,6.8,10.7,2.5,1.9,4.8,北,6.9,北,南西,4.3,,
31,0.0,0.0,0.0,5.3,8.5,2.2,1.6,4.5,北北西,7.3,北西,南南西,3.1,,
