,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,6.8,9.9,3.0,2.3,6.0,北北東,9.8,北北東,南南西,4.3,,
2,0.0,0.0,0.0,7.2,11.9,1.2,2.6,4.7,西南西,8.5,南,南南西,4.8,,
3,0.0,0.0,0.0,11.4,12.7,8.0,2.9,6.8,西南西,10.5,西南西,西,3.7,,
4,0.0,0.0,0.0,9.6,13.2,3.2,2.7,8.1,西南西,14.4,西,西,6.7,,
5,0.0,0.0,0.0,8.8,10.9,3.2,6.0,9.9,北北東,14.9,北北東,北北東,7.7,,
6,0.0,0.0,0.0,6.5,10.9,1.2,2.6,4.0,南南西,7.9,南,南,2.5,,
7,1.5,1.0,0.5,12.6,18.3,7.4,2.4,7.3,北東,12.4,南,南,0.3,,
8,7.5,7.0,2.5,14.0,19.9,11.3,6.4,14.5,西南西,24.3,西南西,西,2.4,,
9,0.0,0.0,0.0,11.8,12.6,10.1,2.8,6.7,西南西,10.5,西,西北西,3.8,,
10,0.0,0.0,0.0,9.3,11.6,3.9,5.1,8.5,北北東,11.9,北東,北北東,8.0,,
11,0.0,0.0,0.0,6.7,12.6,2.0,3.1,5.1,南,9.3,南,南,7.0,,
12,0.0,0.0,0.0,8.4,11.6,5.6,4.7,9.1,西南西,14.1,西南西,西,0.0,,
13,0.0,0.0,0.0,9.6,10.8,8.5,3.5,8.4,西南西,11.9,西南西,西,0.8,,
14,6.5,2.0,0.5,6.4,9.6,4.1,2.1,5.9,西南西,8.2,西南西,南,0.0,,
15,0.0,0.0,0.0,8.4,9.8,7.2,2.1,5.7,北北東,8.2,北北東,北西,5.5,,
16,0.0,0.0,0.0,5.5,8.8,2.8,2.4,5.0,北北東,7.6,南,南南西,0.0,,
17,0.0,0.0,0.0,8.4,11.0,4.8,3.5,8.0,北北東,10.6,北北東,東北東,2.5,,
18,0.0,0.0,0.0,8.4,11.5,4.0,3.3,7.5,北東,10.0,北北東,東北東,3.6,,
19,0.0,0.0,0.0,6.9,11.8,0.7,4.2,7.6,西南西,10.8,西,南,3.9,,
20,0.0,0.0,0.0,10.4,11.0,9.4,3.5,6.9,西南西,12.7,西南西,西,2.2,,
21,0.0,0.0,0.0,9.0,11.0,4.1,3.8,8.2,北北東,10.3,北東,北北東,6.1,,
22,9.5,2.5,0.5,6.9,10.9,2.3,2.9,4.8,東北東,9.3,南,南,0.8,,
23,15.5,4.5,1.0,12.0,13.9,9.7,3.2,6.4,北東,7.7,北東,北東,2.8,,
24,0.0,0.0,0.0,13.4,14.5,11.9,5.2,10.1,北東,12.6,北東,北東,0.1,,
25,15.0,5.0,1.5,9.9,11.9,7.8,5.5,11.2,北東,14.9,北東,北東,0.0,,
26,6.0,5.5,1.5,9.7,11.6,7.7,3.9,9.1,北東,11.6,北東,北東,0.3,,
27,12.5,2.5,1.0,9.8,11.6,7.7,9.9,15.0,北東,19.4,北北東,北東,0.0,,
28,0.5,0.5,0.5,10.7,12.4,9.4,1.7,6.3,北東,8.2,北東,北,0.1,,
29,0.0,0.0,0.0,11.0,12.5,7.8,2.9,7.3,北北東,9.9,北北東,北北東,5.1,,
30,0.0,0.0,0.0,9.3,10.9,4.8,5.4,9.1,北北東,12.9,北,東北東,5.5,,
31,0.0,0.0,0.0,7.9,9.0,6.9,6.8,10.4,北北東,13.6,北,北北東,5.8,,
