,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,7.5,2.0,1.0,,,,,,,,,,,,
2,2.5,0.5,0.5,,,,,,,,,,,,
3,3.0,2.0,1.0,,,,,,,,,,,,
4,6.5,2.5,1.0,,,,,,,,,,,,
5,5.0,2.5,1.0,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,2.5,1.0,0.5,,,,,,,,,,,,
8,19.0,6.5,2.5,,,,,,,,,,,,
9,3.5,8.0,1.5,,,,,,,,,,,,
10,7.0,2.0,1.0,,,,,,,,,,,,
11,6.5,4.5,1.5,,,,,,,,,,,,
12,0.0,0.0,0.0,,,,,,,,,,,,
13,13.5,4.5,1.0,,,,,,,,,,,,
14,18.0,4.0,1.0,,,,,,,,,,,,
15,6.5,3.0,1.5,,,,,,,,,,,,
16,0.0,0.0,0.0,,,,,,,,,,,,
17,1.5,1.5,0.5,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,7.5,5.0,2.0,,,,,,,,,,,,
20,31.5,6.0,2.0,,,,,,,,,,,,
21,2.5,2.0,1.0,,,,,,,,,,,,
22,0.0,0.0,0.0,,,,,,,,,,,,
23,1.5,0.5,0.5,,,,,,,,,,,,
24,4.5,2.0,1.5,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,0.0,0.0,0.0,,,,,,,,,,,,
28,0.0,0.0,0.0,,,,,,,,,,,,
29,21.5,5.0,1.5,,,,,,,,,,,,
30,19.0,6.0,2.0,,,,,,,,,,,,
31,1.5,1.5,1.0,,,,,,,,,,,,
