,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,5.0,4.5,3.0,3.8,5.8,1.2,8.9,11.8,西北西,15.9,北西,北西,,,
2,2.5,1.0,0.5,3.6,6.0,2.2,4.5,10.2,西北西,13.4,北西,南,,,
3,5.0,1.5,0.5,4.4,7.1,1.7,4.8,11.5,北北西,15.9,北西,南南西,,,
4,4.5,2.5,1.0,5.5,8.1,2.0,6.1,11.8,北北西,15.9,北北西,西北西,,,
5,9.5,2.0,1.0,3.9,5.8,1.1,9.0,13.5,西北西,18.5,西北西,北西,,,
6,0.0,0.0,0.0,6.7,10.1,3.5,5.3,7.6,西,10.3,西北西,北西,,,
7,3.5,1.0,0.5,4.1,7.2,-0.2,2.6,5.1,南南西,7.2,南南西,南東,,,
8,18.5,7.0,2.0,8.7,13.1,4.2,6.0,16.2,西北西,26.2,南西,西南西,,,
9,1.5,1.0,0.5,7.9,9.7,5.2,7.8,16.5,西北西,21.6,西北西,西北西,,,
10,13.0,3.0,1.5,4.4,6.8,2.4,3.0,9.0,北西,13.4,西北西,南南東,,,
11,4.0,3.0,1.0,6.6,11.1,2.6,5.1,9.3,西北西,12.9,西,南,,,
12,0.0,0.0,0.0,5.6,8.7,2.6,2.7,4.5,南南西,5.7,南,南,,,
13,3.5,1.0,0.5,5.3,7.0,4.1,3.4,9.0,北北東,11.3,北北東,南南東,,,
14,18.0,5.5,2.5,4.8,7.3,2.4,3.4,7.4,南南西,15.4,南,南南東,,,
15,7.5,3.5,1.5,4.6,6.8,2.5,4.8,15.3,北北西,19.5,北西,南,,,
16,1.5,0.5,0.5,4.1,6.9,2.0,4.4,10.4,北西,14.4,北西,南南西,,,
17,4.0,2.0,1.0,3.6,7.0,1.6,2.8,5.0,北,7.2,北,南,,,
18,0.0,0.0,0.0,3.7,6.1,0.6,2.7,6.7,北東,8.7,東北東,南東,,,
19,13.5,4.0,2.5,4.7,7.7,1.3,3.9,12.5,西,16.5,西,南南西,,,
20,7.0,2.0,1.5,6.2,8.5,3.1,7.6,16.2,西,21.6,西,西,,,
21,2.5,2.0,1.0,4.9,7.4,1.5,9.8,17.5,北西,22.1,北西,西北西,,,
22,0.0,0.0,0.0,4.6,7.9,1.0,2.7,4.4,南南西,6.2,南東,南,,,
23,4.0,1.0,0.5,6.6,7.9,4.6,2.4,4.6,南,5.7,南,南,,,
24,3.5,1.5,1.0,6.4,8.6,3.8,5.6,11.2,北北西,14.9,北西,北西,,,
25,0.0,0.0,0.0,3.8,6.4,0.7,3.4,6.8,北西,9.8,北北西,北西,,,
26,0.0,0.0,0.0,3.3,7.6,-0.7,2.1,4.9,北,6.7,北北東,南南東,,,
27,0.0,0.0,0.0,3.9,7.3,-0.4,4.0,8.0,北北東,12.3,東南東,東北東,,,
28,0.0,0.0,0.0,8.3,11.6,5.5,5.5,10.6,東南東,15.4,南東,南東,,,
29,18.0,5.5 ),1.0 ),7.9,9.7 ),6.8 ),2.6,7.7,南,10.8,南南東,南,,,
30,9.0,1.5,1.0,8.4,10.7,6.0,8.3,12.5,南西,18.5,南西,南西,,,
31,4.0,1.5,0.5,4.6,6.8,2.1,10.4,13.8,北西,18.0,北西,北西,,,
