,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,10.5,2.0,0.5,-0.9,1.5,-4.1,1.8 ],4.1 ],西南西 ],7.1 ],西 ],西南西 ],0.7,11.0,26.0
2,15.5,2.0,0.5,0.2,1.0,-0.8,0.4 ],1.9 ],北北東 ],4.9 ],北 ],北 ],0.0,11.0,31.0
3,22.5,5.5,1.5,0.5,3.1,-1.9,1.8 ],5.1 ],南南西 ],8.4 ],南西 ],南西 ],1.1,11.0,28.0
4,15.0,2.5,0.5,-0.1,0.9,-1.1,1.1 ],2.1 ],北西 ],3.3 ],西北西 ],南東 ],0.9,22.0,42.0
5,16.5,4.5,1.5,-0.5,0.8,-1.3,2.3 ],5.5 ],西 ],9.3 ],西 ],西 ],0.1,28.0,65.0
6,0.5,0.5,0.5,0.6,2.0,-1.9,1.5,3.0,南,4.3,南西,南西,0.0,2.0,64.0
7,2.0,0.5,0.5,0.4,3.4,-3.5,3.0,5.2,南南西,7.7,南南西,南南西,0.0,0.0,55.0
8,11.5,4.5,1.5,6.1,9.4,2.6,3.2,8.8,西南西,17.4,西南西,南南西,1.6,2.0,46.0
9,10.0,2.0,1.0,2.5,4.8,0.3,2.9,8.2,西北西,17.1,西北西,西,0.5,2.0,24.0
10,5.0,1.5,0.5,0.7,3.4,-1.9,1.7 ],3.4 ],南南西 ],6.2 ],西 ],南 ],1.2,5.0,26.0
11,3.0,1.5,0.5,1.2,6.9,-3.5,1.6,3.9,西南西,5.5,南西,南西,7.9,3.0,23.0
12,1.0,0.5,0.5,2.2,5.1,0.2,1.3,3.3,南,4.3,南,南,1.3,3.0,21.0
13,6.0,2.0,1.0,0.8,3.2,-0.8,0.9 ),2.7 ),北 ),3.8 ),北 ),南南西 ],0.0,3.0,20.0
14,0.0,0.0,0.0,1.1,5.2,-3.7,1.0 ],2.4 ],東南東 ],3.8 ],東南東 ],南南東 ],4.9,5.0,20.0
15,9.5,3.0,1.0,1.6,5.8,-0.6,1.6 ),8.9 ),西北西 ),18.9 ),西北西 ),南 ),1.7,11.0,27.0
16,3.0,1.5,0.5,-0.4,1.7,-3.5,0.6 ],2.3 ],西北西 ],3.7 ],西北西 ],西北西 ],3.0,12.0,36.0
17,0.0,0.0,0.0,-0.9,3.2,-4.9,1.0 ],2.3 ],南南東 ],4.2 ],北北東 ],南南東 ],5.1,5.0,30.0
18,0.0,0.0,0.0,0.0,2.8,-2.8,1.0,2.0,南南西,3.1,北,南,0.8,3.0,27.0
19,0.0,0.0,0.0,1.8,4.6,-0.8,1.4,3.2,西,4.4,南西,南南東,2.2,2.0,28.0
20,2.0,1.0,0.5,1.5,3.0,-0.6,1.3,3.4,南南東,5.2,東南東,南南東,0.0,2.0,26.0
21,15.0,2.5,0.5,-0.7,2.8,-4.1,2.4,8.7,西,15.7,西,西北西,0.0,34.0,56.0
22,0.0,0.0,0.0,-0.7,4.4,-6.9,2.0,4.1,南,6.0,西南西,南,8.1,1.0,52.0
23,3.0,1.0,0.5,3.2,5.0,-0.4,1.5,3.8,西南西,5.8,西,南,0.0,0.0,43.0
24,5.5,1.0,0.5,3.0,7.9,0.5,1.4,3.6,西北西,6.9,西,西北西,0.6,1.0,33.0
25,0.0,0.0,0.0,0.4,2.7,-1.4,0.9,2.4,南,3.8,西北西,南,5.1,4.0,28.0
26,0.0,0.0,0.0,1.2,5.8,-1.9,1.2,3.9,北,5.7,北,南,6.8,1.0,27.0
27,0.0,0.0,0.0,1.0,4.9,-2.4,1.1,3.9,南東,6.7,南南東,南南東,0.0,1.0,26.0
28,0.0,0.0,0.0,8.5,11.4,2.1,6.2,11.7,南南東,19.8,南,南東,4.4,0.0,25.0
29,16.5,4.5,1.5,5.8,9.0,3.4,1.3,6.1,西南西,7.8,西南西,南南東,0.1,2.0,7.0
30,17.0,3.0,1.0,3.7,7.4,0.2,1.9,4.7,北西,10.2,北西,北西,3.1,2.0,3.0
31,15.0,3.5,1.0,-0.3,0.7,-1.1,3.2 ],5.5 ],北西 ],10.8 ],北西 ],北西 ],0.1,26.0,22.0
