,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,33.5,5.0,1.5,,,,,,,,,,,,
2,36.5,5.0,1.0,,,,,,,,,,,,
3,27.5,6.0,1.5,,,,,,,,,,,,
4,24.0,3.0,1.0,,,,,,,,,,,,
5,20.0,5.0,2.0,,,,,,,,,,,,
6,0.0,0.5,0.0,,,,,,,,,,,,
7,2.0,1.0,0.5,,,,,,,,,,,,
8,20.5,7.5,4.0,,,,,,,,,,,,
9,6.0,2.5,0.5,,,,,,,,,,,,
10,8.5,2.0,0.5,,,,,,,,,,,,
11,11.0,4.0,1.5,,,,,,,,,,,,
12,0.5,0.5,0.5,,,,,,,,,,,,
13,8.0,2.0,1.0,,,,,,,,,,,,
14,0.0,0.0,0.0,,,,,,,,,,,,
15,16.0,6.0,2.5,,,,,,,,,,,,
16,6.5,3.0,1.0,,,,,,,,,,,,
17,0.0,0.0,0.0,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,3.0,2.0,1.0,,,,,,,,,,,,
20,4.0,2.0,1.5,,,,,,,,,,,,
21,12.5,3.5,1.0,,,,,,,,,,,,
22,0.0,0.0,0.0,,,,,,,,,,,,
23,1.0,0.5,0.5,,,,,,,,,,,,
24,18.5,4.0,1.0,,,,,,,,,,,,
25,0.0,0.5,0.0,,,,,,,,,,,,
26,0.5,0.5,0.5,,,,,,,,,,,,
27,3.5,3.0,1.5,,,,,,,,,,,,
28,0.0,0.0,0.0,,,,,,,,,,,,
29,1.0,0.5,0.5,,,,,,,,,,,,
30,31.0,8.0,2.0,,,,,,,,,,,,
31,19.0,3.5,1.5,,,,,,,,,,,,
