,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,4.0,1.5,1.0,3.7,7.0,0.2,3.6,7.9,南西,13.0,南南西,北,0.6,,
2,0.0,0.0,0.0,5.0,6.4,2.7,2.7,4.6,北北西,11.4,北西,北,0.0,,
3,2.5,1.0,0.5,4.5,7.2,2.0,2.4,5.1,北,13.3,北,北,0.6,,
4,2.5,2.0,1.0,4.8,7.2,1.0,2.6,6.4,北,11.7,北,北,3.2,,
5,1.0,1.5,0.5,4.0,5.6,1.5,3.2,6.0,北,12.5,北東,北,0.8,,
6,0.0,0.0,0.0,5.9,8.9,1.7,1.9,3.1,北北西,7.1,北北西,北北東,1.4,,
7,9.0,2.5,1.0,4.2,7.3,0.8,1.9,4.2,北北東,6.6,北北東,北北東,0.0,,
8,22.0,8.0,2.0,9.9,13.9,5.9,4.2,12.2,南南西,23.2,南西,北北東,0.8,,
9,2.0,1.0,0.5,7.0,9.8,3.4,2.7,6.0,北北西,14.4,北,北,3.0,,
10,1.5,1.0,1.0,3.9,8.9,1.0,1.9,3.3,北北東,6.8,北北西,北北東,2.5,,
11,8.5,5.0,3.0,5.4,10.6,1.7,3.1,6.3,南南西,12.1,南,北北東,1.2,,
12,3.5,1.5,1.0,4.4,7.6,1.4,1.8,4.4,北北東,5.9,北北東,北北東,0.0,,
13,9.0,3.5,1.0,4.5,7.7,2.0,1.4,3.4,北北東,6.0,北北東,北北東,0.7,,
14,7.5,3.5,1.5,5.4,8.9,2.0,1.8,4.5,南南西,9.6,西北西,北北東,0.8,,
15,23.5,7.0,2.0,4.2,6.7,1.2,2.6,7.5,北,13.3,北,北北東,0.4,,
16,1.0,0.5,0.5,4.4,6.8,1.4,2.4,4.4,北北東,9.9,北北西,北北東,0.7,,
17,2.0,2.0,1.0,3.0,7.7,0.6,1.9,3.5,北北東,5.2,北,北北東,3.4,,
18,0.0,0.0,0.0,2.1,6.5,-1.3,1.8,4.4,北北東,8.6,北北東,北北東,0.7,,
19,11.0,4.5,3.5,5.2,8.2,1.2,2.3,7.8,南南西,13.6,南西,北北東,3.0,,
20,13.5,3.0,1.5,6.6,8.4,3.7,2.5,6.9,南南西,14.7,南西,北西,0.2,,
21,7.0,4.0,1.5,3.6,6.2,-0.1,3.3,7.5,北北東,18.1,北東,北北西,1.9,,
22,0.0,0.0,0.0,3.1 ),8.0 ),0.0 ),2.4 ),4.0 ),北北東 ),5.2 ),北北東 ),北北東 ),0.7 ],,
23,3.5,1.0,0.5,7.3,9.5,3.8,1.2,3.3,北北東,4.5,北,北北東,0.0,,
24,0.5,0.5,0.5,5.7,10.8,2.8,3.1,6.7,北,13.7,北,北北東,1.3,,
25,0.0,0.0,0.0,2.7,6.2,0.3,2.0,3.5,北北東,6.7,北北西,北北東,5.0,,
26,0.0,0.0,0.0,3.0,8.8,0.1,2.4,3.9,北北東,6.3,北,北北東,4.6,,
27,0.0,0.0,0.0,4.1,8.2,-0.7,2.4,5.1,北北東,10.1,北北東,北北東,0.0,,
28,2.5,1.5,0.5,8.8,12.1,5.4,4.1,5.9,北北東,12.6,北,北北東,1.3,,
29,14.5,3.0,2.0,8.8,10.5,7.5,1.4,4.9,北北東,10.6,北北東,北北東,0.0,,
30,12.0,5.0,2.0,8.0,10.6,4.8,4.8,10.3,南南西,20.9,南西,北,1.0,,
31,1.0,0.5,0.5,4.3,5.9,2.3,3.8,5.7,北,14.0,北北東,北,2.4,,
