,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-5.9,-2.5,-9.5,1.5,4.5,西北西,13.5,西北西,北西,2.3,,
2,0.0,0.0,0.0,-6.5,-1.3,-10.8,1.3,3.9,西,8.4,西,北,3.8,,
3,0.0,0.0,0.0,-5.0,0.9,-10.5,1.0,4.2,北北西,9.8,北,北,3.2,,
4,0.0,0.0,0.0,-7.0,-2.9,-12.0,1.2,4.4,北北西,8.1,北,北,2.8,,
5,0.0,0.0,0.0,-8.3,-1.5,-14.8,0.9,3.8,北北西,9.1,北,北北西,5.3,,
6,0.0,0.0,0.0,-5.3,-1.4,-12.1,1.4,4.7,北北西,10.2,北,北北西,2.0,,
7,0.0,0.0,0.0,-2.6,3.1,-9.4,1.6,4.3,北北西,8.7,北,北北西,7.2,,
8,1.5,1.0,0.5,-3.4,0.2,-9.1,0.5,1.8,北北西,4.7,北北西,北,0.0,,
9,0.0,0.0,0.0,-2.5,1.6,-8.7,1.8,3.8,北,7.6,北,北,6.7,,
10,0.0,0.0,0.0,-7.5,1.9,-13.9,0.8,3.5,南,4.6,北,東北東,7.8,,
11,0.5,0.5,0.5,-3.7,1.9,-12.1,0.3,2.3,南,3.8,南,南南東,0.3,,
12,0.0,0.0,0.0,-5.7,1.3,-11.7,0.3,1.8,北北西,3.8,北,北,2.0,,
13,0.0,0.0,0.0,-7.7,0.0,-13.7,0.7,2.9,西,5.6,北北西,北北東,6.3,,
14,0.0,0.0,0.0,-8.6,1.1,-14.7,0.4,2.6,北北西,5.4,北北西,北北西,5.7,,
15,0.0,0.0,0.0,-8.9,1.5,-15.6,0.3,1.2,北北東,2.7,西,西南西,7.9,,
16,0.0,0.0,0.0,-8.2,-0.2,-13.2,0.9,3.4,北,6.3,西北西,北東,5.0,,
17,0.0,0.0,0.0,-9.2,-0.3,-15.7,0.6,3.1,西,5.7,北,北北東,4.8,,
18,0.0,0.0,0.0,-9.2,0.9,-15.9,0.9,5.1,南,7.1,南,北東,7.9,,
19,0.0,0.0,0.0,-4.7,2.9,-12.4,0.4,2.5,南南東,3.6,南南東,南南西,6.8,,
20,1.5,0.5,0.5,-2.2,0.7,-8.9,0.5,2.2,北,4.8,北,北北西,0.1,,
21,0.0,0.0,0.0,-6.2,-0.4,-12.6,1.1 ),4.6 ),北北西 ),10.4 ),北北西 ),北北西 ),4.0,,
22,1.5,1.5,0.5,-5.5,1.7,-16.1,0.4,2.3,南南西,4.7,南西,北北東,3.8,,
23,0.5,1.5,0.5,-2.9,4.4,-11.4,0.7 ],3.3 ],北 ],7.5 ],西 ],北北西 ],7.3,,
24,0.0,0.0,0.0,-7.6,-1.1,-15.2,1.7,5.7,北北西,11.1,北,北北西,1.2,,
25,0.0,0.0,0.0,-6.7,-3.8,-9.4,1.8,4.2,北,9.2,北,北北西,3.6,,
26,0.0,0.0,0.0,-8.9,-2.7,-15.7,1.4,4.1,北,9.6,北,北北西,7.2,,
27,0.0,0.0,0.0,-7.3,1.4,-16.5,1.2,5.0,北北西,12.0,北北西,北北西,7.9,,
28,0.0,0.0,0.0,-7.8,1.7,-16.6,0.7,3.2,南,4.6,南,北北東,7.3,,
29,0.0,0.0,0.0,-0.3,5.5,-7.7,0.7,3.4,南南東,6.4,南東,北,0.0,,
30,0.5,0.5,0.5,4.0,9.4,1.3,2.1,5.7,北北西,11.0,北北西,北北西,3.6,,
31,0.0,0.0,0.0,2.2,4.9,0.3,1.5,3.1,北,6.9,北,北北西,0.0,,
