,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.4,6.3,-1.5,1.1,2.3,西南西,6.3,東北東,北西,6.7,,
2,0.0,0.0,0.0,2.5,8.6,-1.3,1.1,2.8,東,6.8,東,西北西,6.7,,
3,0.0,0.0,0.0,2.9,9.3,-1.1,1.1,2.7,東,6.0,東,西北西,6.6,,
4,0.0,0.0,0.0,2.8,8.0,-1.0,1.2,2.7,南西,7.9,西,西北西,6.4,,
5,0.0,0.0,0.0,2.1,7.5,-1.1,1.4,3.7,南南西,11.2,南,北西,6.7,,
6,0.0,0.0,0.0,2.7,9.3,-2.2,0.9,2.1,南南西,4.8,東北東,西北西,6.7,,
7,0.0,0.0,0.0,2.5,5.5,-0.5,0.9,2.3,東,4.8,東,西北西,0.8,,
8,9.5,6.5,1.5,4.0,8.2,1.9,1.0,3.5,東北東,5.6,東北東,東,1.0,,
9,0.0,0.0,0.0,6.7,12.7,2.8,1.3,4.2,南西,10.2,東,北西,6.8,,
10,0.0,0.0,0.0,4.2,10.0,0.7,1.0,2.8,西北西,8.4,東,北西,4.1,,
11,0.0,0.0,0.0,3.5,7.7,0.9,1.0,2.3,南南東,4.8,東,西北西,6.8,,
12,0.0,0.0,0.0,3.0,8.5,-0.6,0.9,3.0,南南西,5.6,南,西北西,2.1,,
13,0.0,0.0,0.0,4.2,9.9,-0.1,1.0,2.3,東北東,7.7,東,北西,6.3,,
14,0.0,0.0,0.0,3.7,8.7,-0.6,1.0,2.8,東,5.5,東,西北西,5.8,,
15,4.0,2.0,0.5,3.2,7.0,-0.4,0.9,2.9,西南西,7.0,南南東,北西,2.7,,
16,0.0,0.0,0.0,2.2,7.1,-1.2,1.1,3.4,東,7.0,東,西北西,5.3,,
17,0.0,0.0,0.0,2.8,7.7,-0.5,0.9,2.1,東北東,6.4,東,北西,4.7,,
18,8.0,1.0,0.5,0.3,2.8,-1.0,0.8 ],2.1 ],北北西 ],5.4 ],東北東 ],北東 ],0.0,,
19,0.0,0.0,0.0,1.1,5.7,-2.0,1.1 ],2.5 ],西南西 ],4.0 ],西南西 ],西北西 ],6.1,,
20,0.0,0.0,0.0,2.7,9.5,-1.0,1.0,2.2,西南西,4.7,東,西北西,6.8,,
21,0.0,0.0,0.0,2.5,8.8,-0.8,1.1,2.4,北西,5.5,南,西北西,6.7,,
22,0.0,0.0,0.0,2.2,8.0,-2.0,0.9,2.9,東,5.7,東,北西,6.0,,
23,3.0,1.0,0.5,4.3,6.8,1.4,0.7,1.9,東北東,3.9,東,東,0.2,,
24,0.0,0.0,0.0,6.7,10.4,5.1,0.6,2.5,東,6.2,東,西,1.7,,
25,0.0,0.0,0.0,3.7,5.6,2.1,0.8,1.8,東,3.3,東北東,西北西,0.3,,
26,0.0,0.0,0.0,2.3,5.4,0.4,0.9,2.8,南西,4.6,西南西,南西,0.3,,
27,10.0,3.0,1.0,1.0,2.8,-0.1,0.6,2.0,東,3.1,東,東北東,0.0,,
28,46.5,6.0,1.5,1.1,2.6,-0.2,0.6 ],1.5 ],北西 ],3.1 ],南 ],北西 ],0.0,,
29,22.5,6.0,1.5,6.7,14.2,2.0,0.8,1.7,東南東,3.9,東,南西,5.7,,
30,0.0,0.0,0.0,6.9,13.6,2.4,1.3,4.0,南南西,9.5,南南西,南南西,6.7,,
31,0.0,0.0,0.0,3.6,8.8,-0.1,1.3,3.4,北東,9.1,西,西北西,6.9,,
