,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,6.0,10.4,2.3,2.8,7.4,北北西,15.2,北北西,北北西,7.0,,
2,0.0,0.0,0.0,6.9,10.7,1.6,1.7,4.1,北,7.4,北,北,6.3,,
3,0.0,0.0,0.0,6.6,12.3,1.6,1.4,3.3,北北東,5.6,北北東,北北西,9.5,,
4,0.5,0.5,0.5,8.0,12.3,3.3,2.9,7.4,北,16.0,北,北,4.0,,
5,1.0,1.5,0.5,5.7,9.7,2.0,3.3,8.3,北,15.0,北,北,9.6,,
6,0.0,0.0,0.0,7.9,11.9,1.7,2.9,5.4,北西,8.8,北西,北西,8.3,,
7,2.5,0.5,0.5,6.1,8.3,4.0,2.6,4.4,北北東,8.3,北北東,北,0.6,,
8,9.5,7.0,2.0,5.4,8.2,4.0,2.0,6.8,北北東,11.9,北北東,北北西,1.6,,
9,0.0,0.0,0.0,11.5,14.7,5.7,3.8,8.2,西北西,16.2,北西,北北西,9.4,,
10,0.0,0.0,0.0,8.1,11.8,5.0,2.8,5.5,東北東,8.4,東北東,北東,6.8,,
11,0.0,0.0,0.0,7.1,11.2,5.6,2.0,4.0,北北東,6.2,北,北,4.1,,
12,0.0,0.0,0.0,7.0,9.2,3.6,2.0,4.3,北北東,6.3,北,北,0.2,,
13,0.0,0.0,0.0,8.8,13.1,4.7,2.3,4.9,北東,7.7,東北東,北,9.2,,
14,0.0,0.0,0.0,8.8,14.5,5.3,2.0,5.5,南南西,7.6,北北西,北,8.0,,
15,9.5,4.0,1.0,7.4,9.1,6.1,2.3,4.5,北西,8.7,北北西,北北西,2.0,,
16,0.0,0.0,0.0,7.1,10.3,4.4,2.5,5.1,北,10.2,北北西,北,3.9,,
17,0.0,0.0,0.0,7.4,10.5,4.6,2.9,4.3,東北東,7.7,北東,北,3.9,,
18,10.0,2.0,0.5,3.9,7.0,1.5,4.0,6.7,北北東,12.1,北北東,北北西,0.0,,
19,0.0,0.0,0.0,7.0,10.1,0.8,3.3,8.3,南南東,10.3,南南東,南南東,8.4,,
20,0.0,0.0,0.0,7.9,13.4,3.4,1.6,4.5,西南西,5.8,西南西,北,9.7,,
21,0.0,0.0,0.0,7.9,11.4,5.0,4.4,7.0,北北西,13.8,北,北北西,9.7,,
22,0.0,0.0,0.0,5.1,7.3,3.5,2.1,4.0,北北西,6.8,北北西,北,1.0,,
23,4.5,1.5,0.5,6.1,8.5,4.8,1.8,3.5,北北西,6.6,北,北,0.0,,
24,0.0,0.0,0.0,10.2,13.8,8.3,1.8,6.5,北,12.0,北北西,北,0.5,,
25,0.0,0.0,0.0,7.9,9.9,6.0,2.8,6.1,北,12.4,北,北,1.6,,
26,5.5,2.0,0.5,5.3,7.6,2.5,1.5,3.0,東南東,5.6,東,北,0.0,,
27,4.0,2.0,0.5,5.3,6.6,3.3,3.0,5.6,北北東,10.5,北北東,北,0.0,,
28,37.0,7.0,1.5,4.7,7.5,1.5,5.0,7.5,北北西,15.1,北北西,北北西,0.0,,
29,26.5,12.5,5.5,11.6,16.7,7.3,2.8,7.7,北西,12.9,北北西,北,6.7,,
30,0.0,0.0,0.0,11.4,15.4,5.5,2.6,6.1,南,12.2,北北西,北北西,10.0,,
31,0.0,0.0,0.0,8.5,11.4,5.1,5.1,9.2,北北西,18.6,北西,北北西,3.9,,
