,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-1.0,3.8,-5.6,1.4,3.5,北西,10.2,北,北西,7.0,0.0,3.0
2,0.0,0.0,0.0,-1.3,3.8,-5.4,0.7,2.6,北北西,6.1,北北西,北西,4.1,1.0,4.0
3,1.0,0.5,0.5,-0.7,5.7,-7.0,0.7 ),3.3 ),北西 ),8.9 ),北北西 ),北西 ),6.0,8.0,8.0
4,1.5,1.0,0.5,-1.5,2.2,-5.6,1.0 ],2.9 ],北西 ],8.2 ],北西 ],西北西 ],3.1,6.0,8.0
5,3.5,1.0,0.5,-4.0,-1.7,-9.0,0.7 ],2.2 ],西北西 ],6.2 ],西 ],北西 ],0.0,8.0,16.0
6,0.0,0.0,0.0,-2.7,3.2,-9.2,1.3,3.9,北西,9.8,北西,北西,7.2,2.0,14.0
7,2.0,0.5,0.5,-3.0,0.9,-9.4,0.7 ],2.6 ],南東 ],4.5 ],東南東 ],南東 ],1.7,8.0,14.0
8,4.0,2.0,1.0,1.2,5.9,-0.9,0.6 ],3.1 ],西北西 ],7.9 ],北西 ],北北西 ],2.2,2.0,13.0
9,0.0,0.0,0.0,2.0,5.8,-3.3,1.9,5.8,西北西,16.3,北西,西北西,5.0,2.0,8.0
10,0.0,0.0,0.0,-0.8,4.7,-6.5,0.8,3.5,北西,8.2,北西,北西,7.5,1.0,6.0
11,0.0,0.0,0.0,-2.6,3.6,-8.7,0.7,3.7,南東,6.7,東南東,南東,6.2,3.0,7.0
12,0.0,0.0,0.0,-0.6,4.1,-5.8,0.6 ),2.8 ),南東 ),5.5 ),東南東 ),南東 ),3.2,4.0,5.0
13,1.0,1.0,0.5,0.3,7.6,-4.9,0.7 ],2.4 ],西北西 ],6.8 ],南南東 ],東南東 ],5.6,2.0,5.0
14,0.0,0.0,0.0,-0.3,4.8,-6.1,1.0 ],3.6 ],南東 ],5.9 ],南東 ],南東 ],4.5,4.0,4.0
15,5.0,2.5,1.0,0.2,5.3,-4.2,0.7 ),3.2 ),北西 ),7.2 ),西北西 ),北西 ),2.4,7.0,6.0
16,0.0,0.0,0.0,-2.6,3.0,-6.7,0.6,2.7,西北西,6.6,西北西,北西,5.5,4.0,3.0
17,0.0,0.0,0.0,-2.0,4.1,-7.1,0.8,2.8,南南東,4.4,南南東,北西,5.2,1.0,3.0
18,0.0,0.0,0.0,-2.3,0.4,-5.4,0.5,1.5,北西,3.6,北西,北北西,0.0,0.0,3.0
19,0.0,0.0,0.0,-1.5,4.5,-5.5,1.0,4.1,南東,6.9,南東,北西,5.8,1.0,4.0
20,0.0,0.0,0.0,-1.1,5.2,-6.5,0.5,2.1,北西,5.8,南東,北西,2.4,1.0,5.0
21,1.5,0.5,0.5,-2.9,-0.3,-8.7,1.0,3.2,北西,10.2,北,北西,0.7,6 ),10.0
22,0.0,0.0,0.0,-4.0,3.6,-12.2,0.6,3.2,南東,6.4,東南東,南東,6.9,1.0,8.0
23,0.0,0.0,0.0,0.4,5.8,-4.5,0.3,2.4,南東,4.0,南東,北北西,0.2,2.0,7.0
24,0.0,0.0,0.0,2.5,9.6,-2.2,1.2,3.6,北西,11.5,北北西,北西,7.1,2.0,6.0
25,0.0,0.0,0.0,-0.7,4.9,-4.3,1.1,3.9,西北西,10.3,北西,北西,7.0,4.0,6.0
26,0.0,0.0,0.0,-0.1,7.0,-3.8,0.8,3.7,北西,8.0,西北西,北西,5.3,4.0,6.0
27,0.5,0.5,0.5,-2.1,1.4,-5.1,1.3,4.3,東南東,7.8,東南東,南東,0.0,3.0,7.0
28,45.0,5.0,1.0,0.0,3.0,-3.4,1.3 ),4.2 ),南東 ),6.8 ),南東 ),南東 ),0.0,14.0,19.0
29,76.0,11.5,2.5,1.9,8.8,-1.0,0.8,3.7,西北西,8.7,北西,北西,2.4,3.0,13.0
30,0.0,0.0,0.0,1.8,8.7,-3.9,0.8,3.0,北北西,9.3,北西,北西,7.1,0.0,9.0
31,0.0,0.0,0.0,-0.6,1.8,-2.5,1.8,4.2,北西,11.2,北西,北西,4.0,4 ),6.0
