,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,0.4,8.9,-5.5,0.9,4.6,南南西,7.8,南南西,南東,8.8,,
2,0.0,0.0,0.0,1.4,11.4,-5.5,0.4,2.1,西,4.9,北北西,北,8.7,,
3,0.0,0.0,0.0,1.4,11.0,-5.6,0.6,3.3,南,6.2,南南西,南南東,8.4,,
4,0.5,0.5,0.5,2.6,10.7,-3.8,0.9,4.8,北北西,9.7,北北西,東南東,7.3,,
5,0.0,0.5,0.0,1.5,8.0,-3.6,1.7 ),6.5 ),北北西 ),13.1 ),北北西 ),北北西 ),7.4,,
6,0.0,0.0,0.0,1.5,10.8,-6.0,0.9,4.2,北北西,7.7,北西,南東,8.0,,
7,7.0,1.5,0.5,1.1,7.5,-5.1,0.4,2.2,東南東,3.6,南東,南東,1.8,,
8,3.5,2.5,1.0,4.3,8.7,1.4,1.0,3.9,北北西,6.7,北西,北北西,0.8,,
9,0.0,0.0,0.0,7.6,13.3,0.6,2.3,6.8,北西,11.6,北西,北北西,7.0,,
10,0.0,0.0,0.0,4.3,12.3,-2.0,0.8,3.5,北北西,5.9,北北東,北,5.6,,
11,0.0,0.0,0.0,1.2,8.5,-3.6,0.3,1.7,南東,2.5,南東,南東,0.1,,
12,0.0,0.0,0.0,2.4,9.3,-3.5,0.4,1.6,東南東,2.8,南西,南東,1.2,,
13,2.0,2.0,0.5,4.7,13.3,-1.7,0.9,3.7,北西,6.5,北北西,北西,8.0,,
14,0.5,0.5,0.5,5.0,11.7,-0.3,0.8,3.6,西北西,5.5,北西,南南西,4.7,,
15,7.0,2.0,1.0,4.0,9.6,-0.9,1.7,4.4,北北西,7.8,北北西,北北西,3.1,,
16,0.0,0.0,0.0,1.9,10.2,-3.7,0.6,2.7,南東,4.5,南西,南南東,7.6,,
17,0.0,0.0,0.0,2.4,10.7,-3.6,0.5,2.2,北西,4.3,北東,北北西,5.3,,
18,0.0,0.0,0.0,3.1,4.8,-0.9,2.0,5.3,北北西,10.0,北北西,北北西,0.0,,
19,0.0,0.0,0.0,2.9,9.6,-3.1,0.7,3.1,西,5.0,南南西,南西,8.2,,
20,0.0,0.0,0.0,4.2,13.8,-4.0,0.7,3.6,北北西,5.8,北西,北,9.1,,
21,0.0,0.0,0.0,2.5,8.8,-4.0,2.6,9.1,北西,16.5,北西,北北西,6.8,,
22,0.0,0.0,0.0,0.0,5.4,-6.3,0.2,0.9,東南東,1.8,東北東,東南東,0.7,,
23,1.0,0.5,0.5,3.5,7.5,-2.5,0.5,2.5,北北西,4.1,北北西,東南東,0.0,,
24,0.0,0.0,0.0,6.9,13.8,2.0,1.1,3.4,南南西,7.7,北,北北西,5.1,,
25,0.0,0.0,0.0,4.7,10.5,-0.9,1.2,4.0,北北西,8.4,北,北北西,7.7,,
26,0.0,0.0,0.0,2.5,9.9,-2.6,0.7,2.8,南南東,5.6,南,南南東,4.4,,
27,0.0,0.0,0.0,1.7,6.3,-3.1,0.5,2.1,北西,3.1,北西,北北西,0.0,,
28,15.5,2.0,0.5,3.6,5.4,0.3,2.9,4.9,北北西,8.8,北北西,北北西,0.0,,
29,66.0,23.0,9.0,8.2,15.3,3.1,2.8,7.8,北北西,13.6,北北西,北北西,4.1,,
30,0.0,0.5,0.0,7.6,16.8,1.1,1.1,4.3,西南西,7.4,西,東南東,7.8,,
31,0.0,0.0,0.0,3.9,9.9,-2.4,2.8,7.8,北北西,13.5,北,北北西,8.8,,
