,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1005.4,1008.9,,,,-4.4,-2.0,-6.1,46.0,33.0,9.1,13.6,西南西,18.8,西南西,8.7,,,,
2,1007.6,1011.0,,,,-3.8,-1.1,-6.3,53.0,39.0,5.3,9.0,西南西,13.4,西南西,7.2,,,,
3,1005.4,1008.8,0.0,0.0,0.0,-2.9,0.8,-6.9,58.0,43.0,4.6,10.7,北北西,15.1,北北西,8.7,,,,
4,1007.1,1010.6,0.0,0.0,0.0,-5.0,-3.4,-6.7,52.0,38.0,8.4,11.8,北西,16.0,北北西,8.6,,,,
5,1011.1,1014.6,,,,-4.2,-1.6,-6.2,60.0,44.0,7.3,10.8,西北西,14.4,西北西,8.7,,,,
6,1011.5,1015.0,0.5,0.5,0.5,-2.8,-0.3,-6.0,66.0,52.0,10.5,15.9,北西,21.2,北西,5.8,2.0,1.0,,
7,1019.3,1022.8,0.0,0.5,0.0,-1.2,0.0,-3.8,75.0,66.0,7.6,15.2,北北西,20.6,北北西,3.3,,1.0,,
8,1010.5,1013.9,,,,-2.1,-0.6,-5.3,78.0,68.0,3.6,6.8,南東,9.5,南東,0.0,,,,
9,1006.4,1009.8,0.0,0.0,0.0,-2.1,-0.3,-3.6,71.0,60.0,7.2,9.5,北北西,15.0,北,1.2,,,,
10,1013.2,1016.7,0.0,0.0,0.0,-2.8,-0.6,-6.8,62.0,46.0,6.3,9.1,北北西,14.0,北北西,4.8,,,,
11,1010.5,1014.0,0.0,0.0,0.0,-1.6,1.4,-7.3,83.0,69.0,5.0,11.2,南南東,15.2,南南東,1.8,1.0,1.0,,
12,1005.9,1009.3,0.0,0.0,0.0,-2.4,0.1,-6.9,92.0,69.0,1.8,4.4,南東,6.1,東,6.1,,1.0,,
13,1008.2,1011.6,0.0,0.0,0.0,-1.4,0.4,-2.6,85.0,66.0,2.5,6.0,北北西,9.2,北,1.1,,,,
14,1016.4,1019.9,,,,-2.6,-1.0,-4.3,63.0,46.0,3.0,6.2,北西,9.2,北西,5.7,,,,
15,1017.2,1020.7,0.0,0.0,0.0,-3.4,-1.6,-5.3,83.0,69.0,3.3,4.7,東北東,6.3,東北東,0.1,3.0,3.0,,
16,1013.3,1016.8,0.0,0.0,0.0,-3.4,-1.5,-5.4,69.0,49.0,2.5,5.0,西北西,6.3,北西,7.8,,2.0,,
17,1013.3,1016.8,,,,-3.3,-0.1,-7.6,65.0,40.0,3.2,5.7,西,9.0,西南西,9.1,,1.0,,
18,1016.3,1019.8,,,,-2.9,-1.1,-4.8,67.0,60.0,3.4,6.3,北北西,9.6,北北西,7.5,,,,
19,1012.7,1016.2,0.0,0.0,0.0,-3.7,-1.2,-6.3,72.0,59.0,2.4,4.4,北西,5.9,北西,4.9,,,,
20,1005.2,1008.6,2.5,1.0,0.5,-1.6,0.2,-5.2,84.0,66.0,6.1,10.7,東南東,15.4,北,0.0,12.0,12.0,,
21,1009.5,1013.0,0.0,0.0,0.0,-2.8,-1.2,-5.1,78.0,60.0,7.3,11.5,北西,16.7,北北西,7.3,,12.0,,
22,1018.8,1022.3,0.0,0.0,0.0,-2.1,1.1,-7.2,65.0,50.0,4.9 ),9.8,北西,13.2,北西,7.8,,10.0,,
23,1016.1,1019.5,,,,-0.4,2.8,-3.3,76.0,63.0,4.6,8.4,北北西,12.6,南西,7.4,,8.0,,
24,1011.9,1015.4,2.5,1.0,0.5,-2.4,3.2,-6.3,74.0,43.0,7.3,17.6,北西,23.3,北西,4.2,3.0,8.0,,
25,1018.4,1021.9,0.5,0.5,0.5,-6.5,-4.7,-9.0,59.0,40.0,10.9,14.5,北西,21.4,北西,7.5,,7.0,,
26,1020.1,1023.6,0.0,0.0,0.0,-7.8,-5.7,-9.9,64.0,45.0,6.9,12.7,北西,17.4,西北西,8.5,4.0,11.0,,
27,1021.4,1024.9,0.0,0.0,0.0,-4.9,-3.2,-8.3,70.0,45.0,6.6,12.2,北北西,17.8,北西,2.4,2.0,11.0,,
28,1025.8,1029.3,,,,-5.5,-2.5,-10.8,74.0,63.0,2.6,4.7,北,6.8,北,8.8,,11.0,,
29,1018.8,1022.3,0.0,0.0,0.0,-1.6,0.2,-6.3,82.0,70.0,5.4,9.0,東,13.8,東,2.5,,10.0,,
30,995.4,998.8,10.0,2.0,0.5,1.5,3.2,-0.1,95.0,90.0,9.9,14.7,東,22.9,東北東,0.0,10.0,20.0,,
31,994.2,997.6,6.0,1.5,0.5,0.2,2.2,-0.8,96.0,84.0,7.6,11.9,北,19.8,北,0.0,10.0,16.0,,
