,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.5,0.5,0.5,-5.4,-4.1,-8.1,5.3,7.6,西南西,16.5,西,西南西,0.2,3.0,11.0
2,0.0,0.0,0.0,-2.7,-0.6,-5.5,4.7,7.3,西南西,14.5,西南西,西南西,0.2,0.0,9.0
3,0.0,0.0,0.0,-1.8,0.3,-4.5,3.5,5.5,西南西,12.1,西南西,西南西,0.1,0.0,8.0
4,1.5,1.0,0.5,-5.1,-3.5,-8.5,1.5,4.3,西南西,8.8,西南西,北西,0.3,6.0,12.0
5,0.5,0.5,0.5,-4.1,-1.1,-9.1,1.8,4.4,西南西,9.9,西南西,南西,0.1,2.0,13.0
6,0.0,0.0,0.0,-2.3,0.8,-9.0,1.9,4.5,西南西,9.9,西南西,南西,7.4,0.0,12.0
7,0.0,0.0,0.0,-5.1,2.9,-11.2,0.6,1.8,西,2.7,北北西,北北西,4.4,0.0,10.0
8,7.5,1.5,0.5,0.9,2.7,-6.3,2.3,4.9,東,11.3,東,東北東,0.0,0.0,10.0
9,0.0,0.0,0.0,-1.5,2.5,-7.4,1.0,2.7,北北西,5.6,西,北,7.0,0.0,8.0
10,0.0,0.0,0.0,-3.4,2.8,-10.5,0.6,2.4,南南東,4.3,南,北,5.1,0.0,7.0
11,1.0,1.0,0.5,-0.5,2.8,-3.7,1.3,5.1,西,8.0,西,西,2.0,1.0,8.0
12,0.0,0.0,0.0,-1.0,0.4,-3.6,1.3,2.7,西南西,6.1,北西,西南西,0.1,0.0,8.0
13,0.0,0.0,0.0,-3.9,-1.8,-6.2,1.0,2.7,西南西,7.0,西北西,西南西,0.6,0.0,8.0
14,0.0,0.0,0.0,-3.3,-0.6,-5.7,0.9,4.6,西南西,7.6,西南西,東南東,1.6,0.0,8.0
15,0.0,0.0,0.0,-3.2,0.8,-8.9,0.9,3.4,東南東,5.2,東南東,東南東,2.7,2.0,9.0
16,0.0,0.0,0.0,-2.2,-1.0,-4.2,2.0,4.4,西南西,8.9,西,西南西,1.5,6.0,10.0
17,0.0,0.0,0.0,-2.9,-1.2,-4.7,2.0,5.4,西南西,10.3,西南西,西南西,0.3,0.0,10.0
18,0.0,0.0,0.0,-4.2,0.7,-9.0,0.9,2.7,南東,4.9,南,東南東,8.3,0.0,9.0
19,0.0,0.0,0.0,-2.3,2.8,-6.9,0.8,2.4,東南東,4.2,東,東南東,6.6,0.0,9.0
20,6.5,1.5,0.5,-0.5,1.2,-3.9,1.7 ),4.8 ),西南西 ),8.7 ),西南西 ),西南西 ),0.0,14.0,21.0
21,2.0,1.5,0.5,-3.3,-1.1,-6.8,1.7,3.8,西北西,11.2,西南西,北北西,0.7,6.0,20.0
22,5.0,3.0,1.0,0.2,4.5,-8.3,2.1,5.5,西南西,10.4,西,西南西,1.8,1.0,20.0
23,0.0,0.0,0.0,-2.1,3.6,-9.2,1.2,3.8,南西,6.3,南西,西南西,8.7,0.0,15.0
24,0.0,0.0,0.0,-3.9,2.3,-9.0,2.3,5.5,南西,15.3,北北西,南西,0.7,0.0,14.0
25,0.0,0.0,0.0,-4.5,-3.2,-6.0,2.3,4.4,西南西,10.9,北北西,南西,1.0,0.0,14.0
26,0.0,0.0,0.0,-3.6,-0.4,-10.1,2.1,4.3,西南西,10.8,西南西,西南西,6.6,0.0,14.0
27,0.0,0.0,0.0,-2.2,2.7,-8.3,1.7,4.2,西南西,8.4,西南西,西南西,9.0,2.0,15.0
28,0.0,0.0,0.0,-0.7,2.8,-10.5,3.3,5.9,東,12.2,東,東,0.1,0.0,13.0
29,8.5,1.5,0.5,2.1,2.6,1.3,4.1,5.5,東,12.9,東北東,東,0.0,1.0,12.0
30,1.0,0.5,0.5,2.0,6.7,-0.4,1.1,4.1,北西,9.4,東北東,北,0.4,0.0,8.0
31,0.0,0.0,0.0,1.2,4.6,-0.7,0.9,3.0,西,5.7,北北東,北,0.6,0.0,6.0
