,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1022.6,1027.4,0.0,0.0,0.0,17.7,18.4,16.9,70.0,64.0,4.5,7.1,北北東,11.1,北北東,0.0,,,曇,曇後晴
2,1021.0,1025.7,,,,18.7,21.5,15.7,67.0,58.0,3.2,5.5,北東,8.9,北北東,7.2,,,晴一時薄曇,晴
3,1019.0,1023.7,,,,19.4,21.7,17.9,67.0,57.0,3.2,5.1,北東,8.7,北北東,7.2,,,晴,薄曇時々晴
4,1017.4,1022.1,0.0,0.0,0.0,19.7,22.6,17.1,70.0,57.0,2.8,5.0,北東,7.5,北北東,9.9,,,晴,晴時々曇
5,1018.3,1023.0,0.0,0.0,0.0,20.9,23.4,18.7,73.0,62.0,3.9,6.5,東北東,10.2,東北東,8.0,,,晴,晴一時曇
6,1017.4,1022.1,,,,21.1,23.5,18.9,70.0,56.0,3.6,5.8,東,9.1,東北東,7.2,,,晴時々曇,晴時々曇
7,1013.7,1018.3,0.0,0.0,0.0,22.6,25.5,19.9,78.0,65.0,3.6,5.9,南東,10.1,南東,7.6,,,晴後一時曇,曇後晴
8,1015.6,1020.3,0.0,0.0,0.0,19.8,22.8,17.2,78.0,62.0,4.6,8.8,北,15.4,北,2.6,,,曇時々晴一時雨,曇時々晴
9,1015.4,1020.1,,,,18.6,20.8,17.2,65.0,57.0,3.8,6.2,北東,9.7,北東,2.7,,,曇後時々晴,曇一時晴
10,1013.1,1017.8,0.0,0.0,0.0,19.4,21.7,17.6,66.0,58.0,2.9,4.7,北東,7.7,東北東,7.1,,,晴一時曇,晴
11,1010.3,1014.9,0.0,0.0,0.0,20.7,23.9,17.4,74.0,61.0,3.2,5.8,南,10.0,南南西,10.0,,,晴,曇一時雨
12,1010.7,1015.3,2.0,2.0,1.5,19.7,21.4,18.2,76.0,67.0,6.3,9.4,北北東,14.4,北北東,1.9,,,曇一時雨,曇後一時雨
13,1013.0,1017.7,0.5,0.5,0.5,18.7,20.7,16.3,67.0,55.0,6.0,8.4,北北東,13.1,北北東,2.2,,,曇時々晴一時雨,晴
14,1014.1,1018.8,0.0,0.0,0.0,20.5,24.1,17.8,66.0,51.0,3.4,8.8,北北東,14.2,北北東,6.2,,,晴後時々曇,曇時々雨
15,1015.5,1020.2,2.0,1.0,0.5,19.6,21.9,17.2,79.0,67.0,6.6,9.3,北北東,14.8,北北東,2.5,,,曇時々晴一時雨,晴時々曇
16,1012.2,1016.9,1.0,1.0,0.5,21.3,24.6,19.4,79.0,70.0,4.5,6.9,南,11.6,東,4.0,,,晴後曇一時雨,晴一時曇
17,1012.2,1016.9,0.0,0.0,0.0,19.6,23.3,17.1,76.0,68.0,5.6,8.7,北,15.2,北,4.0,,,晴後曇一時雨,曇一時雨
18,1014.7,1019.4,0.0,0.0,0.0,17.4,19.6,16.3,62.0,56.0,5.2,7.4,北,12.2,北北東,0.4,,,曇,曇時々晴
19,1015.4,1020.1,0.5,0.5,0.5,17.3,19.8,15.2,73.0,56.0,2.5,5.1,北東,8.5,北東,0.8,,,曇後一時雨,曇時々雨
20,1017.3,1022.0,0.5,0.5,0.5,17.4,18.9,16.2,80.0,66.0,3.6,6.2,北,9.7,北,0.0,,,曇時々雨,曇後晴
21,1019.6,1024.4,,,,18.6,21.8,14.9,69.0,58.0,3.3,5.1,北東,8.1,東北東,7.2,,,晴,晴
22,1017.7,1022.4,,,,20.9,24.4,17.2,75.0,61.0,3.0,6.1,南東,10.8,東南東,8.6,,,晴後一時薄曇,曇後一時晴
23,1015.6,1020.2,,,,22.0,25.3,19.9,80.0,66.0,2.6,5.1,南,7.7,南,5.7,,,薄曇,晴一時薄曇
24,1015.8,1020.4,,,,22.2,26.6,19.2,84.0,50.0,2.3,3.9,東北東,6.2,南,9.0,,,晴,晴後曇
25,1013.7,1018.3,1.0,1.0,1.0,22.4,24.5,21.5,89.0,68.0,3.1,6.5,南,10.5,南,0.7,,,曇後一時雨,曇後一時雨
26,1005.7,1010.3,36.0,14.5,6.0,22.8,25.5,21.6,94.0,81.0,4.0,8.2,南,14.3,南,0.7,,,曇後雨,曇時々雨、雷を伴う
27,1006.8,1011.4,0.0,3.0,0.5,19.8,22.1,18.3,75.0,62.0,6.6,8.8,北,14.5,北北西,1.4,,,曇時々晴,曇
28,1011.0,1015.7,3.0,1.0,0.5,17.6,18.8,16.0,75.0,64.0,4.3,6.8,北,11.3,北,0.0,,,曇後雨,雨後一時曇
29,1012.2,1016.9,5.5,2.5,1.0,16.0,17.0,15.0,77.0,59.0,6.1,8.0,北,13.8,北,0.0,,,曇時々雨,曇一時雨
30,1013.1,1017.9,,,,15.0,16.7,13.8,54.0,43.0,7.0,8.5,北,15.2,北,3.6,,,曇時々晴,曇時々晴
31,1016.3,1021.1,0.0,0.0,0.0,14.6,16.9,13.6,54.0,42.0,5.8,9.3,北,17.4,北北西,2.7,,,曇一時雨後晴,晴
