,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.5,0.5,0.5,4.2,8.7,0.7,1.9,5.9,西,10.2,西南西,西,1.4,0.0,0.0
2,0.5,0.5,0.5,5.1,8.5,2.4,1.4,3.5,東南東,4.6,東南東,西北西,2.4,0.0,0.0
3,2.0,1.5,0.5,7.0,12.0,2.4,2.2,6.3,西北西,11.1,西北西,西,3.1,0.0,0.0
4,16.0,5.0,2.0,6.2,8.7,4.5,2.6,8.4,西北西,15.3,北西,北西,1.4,0.0,0.0
5,5.0,1.5,0.5,4.9,6.9,2.8,2.7,6.4,北,13.3,西北西,北北西,0.8,0.0,0.0
6,0.0,0.0,0.0,5.6,10.0,0.2,2.3,5.9,北,10.5,北,北北西,6.2,0.0,0.0
7,20.5,5.0,1.5,5.0,7.3,2.1,1.0,2.5,西,4.4,東,北,0.0,0.0,0.0
8,24.0,6.0,2.0,9.6,16.1,7.3,3.5,10.5,西北西,20.3,西北西,西北西,0.8,0.0,0.0
9,4.0,1.5,1.0,8.3,11.6,5.5,2.5,7.8,北西,17.2,西北西,北西,1.9,0.0,0.0
10,10.5,2.5,1.5,6.8,10.5,4.3,2.2,4.9,北北西,9.0,北,北西,4.9,0.0,0.0
11,0.5,0.5,0.5,4.9,10.1,0.5,1.5,3.2,北西,6.0,北西,西,7.3,0.0,0.0
12,1.0,1.0,0.5,5.7,8.3,2.6,1.0,2.1,西,3.0,西南西,西,0.9,0.0,0.0
13,2.0,1.0,0.5,4.5,8.8,0.7,1.5,4.9,東,8.6,西南西,西,1.6,0.0,0.0
14,0.0,0.0,0.0,4.5,7.6,0.0,1.3,3.0,西,4.4,東南東,西,3.3,0.0,0.0
15,5.5,2.5,1.5,4.4,8.7,1.1,2.1,5.5,西,9.0,北,西,3.7,0.0,0.0
16,0.0,0.0,0.0,4.4,7.9,1.9,1.4,2.8,西南西,4.4,西南西,西南西,3.0,0.0,0.0
17,0.0,0.0,0.0,5.6,10.5,1.5,1.1,3.6,北,5.7,北,西,1.2,0.0,0.0
18,0.0,0.0,0.0,6.8,9.2,4.4,3.2,6.0,北,13.7,北,北北西,4.3,0.0,0.0
19,0.0,0.0,0.0,5.6,9.6,1.1,1.6,3.8,南,6.6,北西,西,4.7,0.0,0.0
20,0.0,0.0,0.0,7.1,11.8,2.9,2.1,5.2,西,9.6,西南西,西,3.5,0.0,0.0
21,10.5,3.0,1.0,4.2,6.7,0.2,2.2,5.8,西北西,10.7,西北西,北北西,0.2,0.0,0.0
22,0.0,0.0,0.0,3.5,7.1,-1.7,1.0,2.3,西,3.4,西,西,2.7,0.0,0.0
23,12.5,3.0,1.0,8.0,10.2,5.3,1.0,2.1,北西,3.6,北西,西,0.0,0.0,0.0
24,0.0,0.0,0.0,9.3,13.4,5.7,2.7,5.3,北西,10.4,北北西,北北西,1.3,0.0,0.0
25,0.0,0.0,0.0,5.7,8.6,3.3,2.5,5.0,西北西,9.6,北北西,北北西,2.6,0.0,0.0
26,0.0,0.0,0.0,7.4,12.7,4.0,1.6,4.4,北西,8.7,北,北西,3.5,0.0,0.0
27,3.0,1.5,0.5,6.8,10.2,4.8,2.5,8.7,東,13.1,東,東,0.0,0.0,0.0
28,2.0,0.5,0.5,10.0,13.0,6.8,2.1,5.6,東,9.9,東,東,0.0,0.0,0.0
29,4.0,1.0,0.5,9.5,13.3,6.6,2.9,5.9,西北西,11.6,西北西,西北西,3.2,0.0,0.0
30,17.0,3.0,1.0,6.2,9.2,3.9,2.9,7.2,西,12.4,西北西,西南西,3.7,0.0,0.0
31,15.5,3.5,1.5,4.2,6.9,2.6,3.4,6.5,北北西,14.1,北北西,北西,1.9,0.0,0.0
