,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.7,7.4,-2.9,1.4,4.6,西,10.5,西,西,2.9,,
2,0.0,0.0,0.0,1.3,9.3,-4.1,1.1,5.4,南西,8.4,南西,西南西,6.4,,
3,0.0,0.0,0.0,2.7,10.4,-2.9,1.4,6.5,西,11.4,西,西南西,3.3,,
4,0.0,0.0,0.0,4.8,10.0,-0.7,2.0,5.5,西,10.3,西,西,3.4,,
5,2.0,0.5,0.5,2.9,5.2,0.7,1.5,4.0,北,9.1,北,西北西,0.8,,
6,0.0,0.0,0.0,2.8,8.5,-1.7,1.0,3.9,西,6.3,西,西北西,4.7,,
7,5.0,1.5,0.5,2.8,6.1,-1.8,0.8,2.3,南西,3.8,北北西,西北西,0.0,,
8,15.5,10.0,3.5,9.2,14.6,5.8,3.6,10.3,西南西,21.9,西南西,西南西,2.2,,
9,1.0,0.5,0.5,6.0,10.5,1.2,1.5,5.0,南西,8.7,西,西,3.3,,
10,0.0,0.0,0.0,3.6,9.4,-1.9,1.3,4.1,北,8.0,北北西,北北西,4.4,,
11,0.0,0.0,0.0,1.6,10.4,-3.5,0.8,4.2,西北西,8.6,西,西,7.1,,
12,0.0,0.0,0.0,2.3,7.8,-3.0,0.5,2.5,南南西,4.1,南西,南西,0.0,,
13,0.0,0.0,0.0,4.3,9.6,-2.4,2.4,5.7,南西,12.0,南西,西南西,7.1,,
14,2.0,1.5,0.5,2.2,8.3,-4.8,0.9,3.2,西北西,5.1,西南西,南南西,3.9,,
15,2.0,1.5,0.5,3.3,6.9,0.8,1.5,5.5,西,9.6,西北西,西,2.5,,
16,0.0,0.0,0.0,1.4,8.3,-2.4,0.7,2.7,西北西,4.9,北北西,北,4.2,,
17,0.5,0.5,0.5,2.9,7.4,-2.4,0.7,3.0,北東,4.7,北東,北北東,0.0,,
18,0.5,0.5,0.5,4.0,8.3,-0.1,2.1,5.7,北北東,10.2,北,北,4.2,,
19,0.0,0.0,0.0,3.4,9.6,-2.3,0.8,3.4,西,5.6,南南西,南南西,5.2,,
20,0.0,0.0,0.0,3.3,10.2,-2.8,1.8,6.5,西南西,11.3,西北西,西南西,5.1,,
21,0.0,0.0,0.0,3.2,6.7,-2.6,1.9,5.1,西北西,9.4,西北西,西,1.4,,
22,0.0,0.0,0.0,2.6,10.5,-4.8,0.7,2.9,東北東,4.9,北,北東,2.1,,
23,18.0,4.5,1.0,7.2,9.7,4.5,1.1,4.4,東南東,8.7,東,北西,0.0,,
24,0.0,0.0,0.0,8.2,11.0,5.5,2.0,4.6,北,7.9,北,北,2.2,,
25,0.0,0.0,0.0,4.4,8.2,1.0,1.9,4.3,北,6.9,北,北北東,1.8,,
26,0.0,0.0,0.0,5.7,10.6,2.8,1.0,4.2,北,8.1,北,北,1.8,,
27,5.5,2.0,0.5,5.1,7.2,3.5,3.0,8.0,東北東,22.4,東,東,0.1,,
28,3.0,1.5,0.5,9.5,12.0,5.9,3.4,8.0,南東,18.6,南,東南東,0.0,,
29,4.0,1.5,0.5,8.6,12.4,4.9,2.0,4.7,北北西,8.7,西北西,西南西,1.3,,
30,0.0,0.0,0.0,4.1,9.4,-1.1,2.1,6.1,西南西,11.4,西,西北西,1.4,,
31,0.5,0.5,0.5,2.9,5.2,0.7,2.8,5.8,西,12.0,西,西,2.9,,
