,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.4,7.9,-0.2,2.7,6.0,西,10.0,西,西,3.6,,
2,0.0,0.0,0.0,3.9,10.3,-0.7,1.3,5.7,西,10.2,西,西北西,5.9,,
3,0.0,0.0,0.0,5.7,11.6,-0.4,1.9,6.6,西,11.3,西,西,3.3,,
4,1.5,1.5,1.0,5.8,10.6,2.3,1.6,6.8,西,11.1,西,西,1.1,,
5,3.5,1.5,0.5,3.5,5.9,1.4,2.6,6.9,西,10.0,西,西,1.0,,
6,0.0,0.0,0.0,4.0,10.1,-1.4,1.0,4.2,西,7.4,西,西,6.6,,
7,3.0,1.0,0.5,4.5,7.7,0.3,2.5,6.3,東南東,10.4,東南東,東南東,0.0,,
8,10.5,6.0,2.0,10.1,14.9,6.5,4.9,8.7,西,16.4,西,西,0.5,,
9,0.5,0.5,0.5,7.3,10.9,5.2,2.3,5.5,西,9.7,西,西,2.8,,
10,0.5,0.5,0.5,5.3,10.2,0.5,1.2,4.5,西,8.9,西,西,4.5,,
11,0.0,0.0,0.0,3.7,11.3,-0.9,0.9,4.4,西,6.6,西,東,7.5,,
12,0.0,0.0,0.0,3.9,7.9,-0.5,0.4,1.9,西,2.9,西,東,0.0,,
13,0.0,0.0,0.0,5.4,9.9,0.5,1.9,5.5,西,9.8,西北西,西,2.3,,
14,1.5,1.0,0.5,3.7,9.0,-2.0,0.9,3.1,西,4.9,西,東南東,4.8,,
15,1.0,0.5,0.5,4.0,7.7,0.9,1.5,6.3,西,9.5,西,西,2.6,,
16,0.0,0.0,0.0,2.5,9.0,-1.1,0.6,2.8,西,5.0,西,東,5.7,,
17,0.5,0.5,0.5,3.7,7.2,-0.3,1.0,3.9,東南東,6.4,東南東,東南東,0.1,,
18,0.5,0.5,0.5,4.7,9.3,1.5,1.3,4.1,西,8.4,西,西,4.2,,
19,0.0,0.0,0.0,5.2,9.8,-0.8,1.3,4.2,西,6.5,西,西,6.5,,
20,0.0,0.0,0.0,5.8,11.7,-0.7,1.9,6.6,西,12.2,西,西,6.4,,
21,0.5,0.5,0.5,4.2,7.5,-1.4,2.1,6.0,西,10.4,西,西,1.7,,
22,0.0,0.0,0.0,4.2,10.6,-3.0,1.0,3.9,東南東,6.5,東,東南東,3.2,,
23,12.5,4.0,1.0,7.6,9.4,4.9,1.6,6.6,東南東,10.5,東南東,西,0.0,,
24,0.0,0.0,0.0,8.9,12.6,5.8,1.6,4.8,西,11.0,西,西,3.7,,
25,0.0,0.0,0.0,4.8,8.4,1.6,1.0,3.0,西,6.3,西,西,2.6,,
26,0.0,0.0,0.0,6.1,11.1,3.4,0.8,3.4,西,5.4,西,西,1.7,,
27,9.0,3.5,1.0,5.6,8.2,3.7,4.8,13.8,東南東,24.2,東南東,東南東,0.0,,
28,8.5,2.0,1.0,9.2,11.5,6.1,6.3,12.8,東南東,22.2,東,東南東,4.9,,
29,5.0,2.0,1.0,8.8,13.5,4.2,1.4,6.1,西,11.6,西,西,0.9,,
30,0.5,0.5,0.5,5.7,10.0,1.5,2.5,6.8,西,11.5,西,西,2.0,,
31,2.5,1.0,0.5,3.0,6.6,1.3,2.6,7.0,西,12.5,西,西,2.2,,
