,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.1,8.8,-0.2,1.6,3.6,北北西,6.6,北北西,北北東,9.3,,
2,0.0,0.0,0.0,6.8,12.3,2.4,1.7,2.8,北東,5.3,東北東,北,8.9,,
3,0.0,0.0,0.0,7.9,12.8,5.1,1.6,2.7,南南西,5.3,南西,北北東,3.1,,
4,0.0,0.0,0.0,8.4,13.2,4.3,2.1,5.5,北北西,9.9,北,北,9.2,,
5,0.0,0.0,0.0,8.6,12.3,4.2,2.5,5.4,北北西,8.8,北,北北東,9.3,,
6,0.0,0.0,0.0,9.8,13.4,5.5,1.0,2.5,北,4.4,北北西,北北東,0.0,,
7,1.0,1.0,0.5,16.5,20.7,12.0,4.3,10.5,南南西,18.3,南西,南南西,1.3,,
8,18.0,15.0,8.5,12.6,17.6,8.9,4.9,10.8,南南西,18.7,西南西,西,3.1,,
9,0.0,0.0 ),0.0 ),9.4 ),12.8 ),6.6 ),1.6 ),4.7 ),北 ),9.8 ),北東 ),北北東 ),1.1 ],,
10,0.0,0.0,0.0,9.6,12.0,6.8,2.8,5.0,北,8.7,北,北北東,8.8,,
11,0.0,0.0,0.0,9.5,13.9,6.5,1.3,4.1,北北東,7.0,北北東,北東,3.9,,
12,0.0,0.0,0.0,8.6,10.2,7.4,1.9,4.2,西,9.0,南西,西,0.0,,
13,0.0,0.0,0.0,7.9,11.2,5.0,1.7,3.8,北北東,8.1,北,北,4.4,,
14,1.5,0.5,0.5,6.3,8.0,4.2,2.4,5.8,北,9.9,北,北北東,0.6,,
15,0.0,0.0,0.0,6.0,9.5,2.1,1.9,4.0,北北東,7.3,北,北北東,4.6,,
16,0.0,0.0,0.0,6.6,8.4,4.4,1.6,3.5,北北東,7.6,北北東,北東,0.0,,
17,0.0,0.0,0.0,8.8,11.2,6.2,3.2,7.0,北,12.8,北北西,北,3.8,,
18,0.0,0.0,0.0,8.9,13.1,5.9,1.9,4.0,北,8.4,西,西,4.7,,
19,0.0,0.0,0.0,7.8,12.4,4.8,1.5,3.4,北,5.9,北北東,北北東,0.6,,
20,0.0,0.0,0.0,8.8,10.4,7.0,1.9,4.6,北,7.9,北,北北東,0.2,,
21,0.0,0.0,0.0,8.0,11.2,5.0,2.2,5.4,北北西,9.0,北,北北東,9.2,,
22,1.0,0.5,0.5,8.9,15.1,4.9,1.1,7.0,南南西,11.3,南,北北西,0.0,,
23,17.0,13.0,5.5,16.3,20.8,13.8,3.0,9.5,南南西,15.0,南南西,西南西,5.3,,
24,0.0,0.0,0.0,13.6,15.7,12.3,4.8,7.1,北,14.6,北北西,北,0.4,,
25,27.0,7.5,3.0,11.0,12.3,8.8,3.4,8.2,北北西,15.5,北,北北東,0.0,,
26,9.0,2.0,0.5,9.7,11.4,8.3,4.2,7.0,北北東,12.0,北北東,北北東,0.0,,
27,15.5,8.0,4.5,12.4,20.2,8.4,4.5,10.5,西南西,20.2,西,北北東,0.5,,
28,0.0,0.0,0.0,10.8,14.2,7.2,2.8,5.6,北,11.7,北北東,北,3.7,,
29,0.5,0.5,0.5,10.2,12.4,7.7,2.8,6.2,北北東,12.1,北北東,北,2.1,,
30,3.0,2.5,0.5,8.8,11.9,7.3,4.2,9.3,北北西,16.0,北西,北,4.9,,
31,0.0,0.0,0.0,7.4,9.5,5.0,3.0,5.0,北,10.5,北北東,北北東,4.7,,
