,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1027.8,1029.7,,,,6.4,11.6,1.8,66.0,50.0,2.0,5.2,東,7.8,西北西,8.6,,,,
2,1025.9,1027.8,,,,9.6,13.4,6.7,71.0,55.0,2.5,6.0,西,9.3,西,5.4,,,,
3,1022.8,1024.6,,,,10.8,13.7,8.3,70.0,53.0,2.0,5.5,西,9.3,西,1.8,,,,
4,1020.9,1022.7,,,,10.5,14.9,6.1,64.0,41.0,2.1,4.8,西,9.2,西北西,8.8,,,,
5,1025.5,1027.4,,,,9.8,14.4,5.2,60.0,42.0,2.0,6.0,東,9.0,東,9.6,,,,
6,1024.3,1026.1,,,,13.3,16.7,9.4,70.0,60.0,3.4,5.6,南東,8.5,南東,0.2,,,,
7,1016.7,1018.5,4.5,4.5,3.5,18.3,20.7,16.2,76.0,66.0,4.3,7.6,南南西,15.2,南南西,0.6,,,,
8,1014.2,1016.0,9.0,8.5,6.5,13.8,19.9,10.3,65.0,52.0,6.7,13.0,西,22.4,西南西,2.7,,,,
9,1018.3,1020.1,,,,11.4,14.2,9.9,66.0,55.0,1.9,4.8,西北西,8.9,西北西,3.1,,,,
10,1017.6,1019.4,,,,10.8,15.2,7.3,57.0,32.0,1.8,4.2,東北東,8.8,東,9.0,,,,
11,1014.9,1016.7,0.0,0.0,0.0,11.7,14.8,9.6,64.0,53.0,2.2,5.0,東,6.5,東,2.6,,,,
12,1013.9,1015.7,1.0,1.0,0.5,10.4,11.7,9.3,65.0,46.0,2.4,5.3,西,12.6,西,0.0,,,,
13,1019.4,1021.2,,,,9.8,12.4,8.0,56.0,47.0,2.0,4.2,北西,10.4,西北西,2.0,,,,
14,1020.2,1022.1,0.5,0.5,0.5,8.1,10.0,5.8,74.0,58.0,2.7,6.3,東北東,9.1,東北東,0.7,,,,
15,1023.0,1024.9,,,,7.8,11.6,4.9,61.0,44.0,1.5,3.5,西,7.6,西北西,1.5,,,,
16,1021.2,1023.0,1.5,0.5,0.5,8.0,10.7,6.9,70.0,49.0,2.4,4.3,東北東,6.2,東北東,0.1,,,,
17,1015.9,1017.7,,0.0,,9.4,13.2,7.2,65.0,38.0,1.9,3.3,北,7.2,西北西,3.0,,,,
18,1014.9,1016.7,7.0,4.0,2.0,9.6,12.8,7.2,70.0,40.0,2.3,6.9,西,11.0,西,4.4,,,,
19,1017.3,1019.1,0.0,0.0,0.0,9.1,13.1,5.8,79.0,55.0,1.8,4.3,西,8.9,西,0.3,,,,
20,1019.7,1021.5,0.0,0.0,0.0,10.4,12.3,8.8,66.0,48.0,1.8,4.4,西北西,10.4,西,0.0,,,,
21,1024.8,1026.6,,,,9.7,13.5,5.5,60.0,36.0,2.5,6.6,東,8.8,東南東,9.5,,,,
22,1022.2,1024.0,2.5,2.0,0.5,12.4,16.7,8.2,80.0,66.0,3.7,6.8,東北東,11.3,南東,0.0,,,,
23,1017.7,1019.5,23.5,18.0,9.0,17.2,20.2,14.8,85.0,69.0,2.7,8.0,南南西,15.6,南西,4.7,,,,
24,1021.7,1023.5,0.0,0.0,0.0,14.8,16.8,13.0,79.0,65.0,2.0,4.4,東北東,7.4,東北東,0.5,,,,
25,1021.7,1023.5,22.0,9.0,2.5,12.6,14.9,9.4,82.0,70.0,3.3,6.1,東北東,10.2,東北東,0.0,,,,
26,1017.5,1019.3,7.5,2.0,0.5,11.3,12.9,9.7,88.0,78.0,3.9,7.2,東北東,12.5,東北東,0.0,,,,
27,1002.3,1004.1,25.5,12.0,5.0,13.1,20.0,10.3,82.0,65.0,5.8,12.3,西北西,21.6,西北西,0.9,,,,
28,1009.8,1011.6,0.0,0.0,0.0,12.8,16.6,9.2,73.0,53.0,2.3,5.0,西,10.0,西,7.4,,,,
29,1010.9,1012.7,2.0,1.0,0.5,10.3,13.9,6.9,78.0,58.0,1.6,4.1,北北西,6.5,西北西,1.6,,,,
30,1008.5,1010.3,10.5,5.0,2.0,9.0,12.2,7.0,79.0,61.0,1.8,4.7,北北西,8.0,北,3.8,,,,
31,1015.6,1017.4,0.0,0.0,0.0,8.5,12.7,5.6,69.0,50.0,1.7,5.2,西,7.6,西,3.8,,,,
