,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-0.6,6.7,-5.1,1.1,3.5,西,5.4,西南西,西南西,8.6,,
2,0.0,0.0,0.0,1.5,8.2,-4.1,1.2,5.1,西,8.3,西,南東,8.6,,
3,0.0,0.0,0.0,4.1,8.5,0.6,1.7,4.9,西北西,8.0,西北西,西南西,4.5,,
4,0.0,0.0,0.0,3.2,8.7,-2.1,2.0,5.8,西,9.4,西,西南西,8.1,,
5,0.0,0.0,0.0,3.8,10.7,-2.2,1.2,3.8,北東,6.3,北北東,北東,8.6,,
6,0.0,0.0,0.0,6.5,12.2,0.6,0.8,2.8,西,4.9,西北西,西,0.6,,
7,0.0,0.0,0.0,12.5,16.7,8.7,1.6,4.6,東南東,8.6,南東,南東,0.8,,
8,20.5,8.5,3.0,8.0,15.7,3.0,6.0,9.4,西,18.6,南南西,西,1.8,,
9,0.0,0.0,0.0,5.6,8.9,3.0,1.9,4.5,西南西,7.9,西,西南西,4.3,,
10,0.0,0.0,0.0,4.8,11.0,0.5,1.2,4.5,東北東,8.3,東,東北東,8.6,,
11,0.0,0.0,0.0,5.1,10.8,0.4,1.0,4.5,西南西,7.0,西,東,3.3,,
12,0.0,0.0,0.0,4.1,5.9,2.0,3.2,8.1,西,13.5,西,西,0.0,,
13,0.0,0.0,0.0,2.4,5.7,-1.8,3.3,7.0,西,12.3,西,西,5.8,,
14,2.0,1.0,0.5,0.5,2.6,-2.8,0.8,2.5,西,4.3,西,南西,0.0,,
15,0.0,0.0,0.0,0.9,4.6,-2.2,1.9 ),5.5 ),西 ),7.8,西,西 ),4.2,,
16,0.0,0.0,0.0,2.2,6.3,-1.1,0.5,2.0,西,3.4,西,東南東,0.0,,
17,0.0,0.0,0.0,4.4,9.1,1.6,1.1,3.5,西北西,7.6,北北西,北北西,3.4,,
18,0.0,0.0,0.0,3.5,8.2,-0.8,1.8,5.2,西,8.4,西,西,4.0,,
19,0.0,0.0,0.0,2.6,7.0,-1.9,1.5,4.7,西,8.4,西,西南西,1.4,,
20,0.0,0.0,0.0,4.1,6.3,2.3,2.1,4.9,西,8.6,西,西,0.6,,
21,0.0,0.0,0.0,3.5,10.8,-1.0,1.3,3.3,西,5.4,西,東北東,8.8,,
22,2.5,1.5,0.5,6.4,10.6,-0.6,1.1,3.3,西,5.9,西北西,北北東,0.0,,
23,27.0,10.0,3.0,12.9,16.3,10.3,1.7,4.6,西,8.5,西南西,西,4.4,,
24,0.0,0.0,0.0,10.8,12.8,9.1,2.3,6.9,東北東,11.0,東北東,東北東,0.0,,
25,26.0,6.5,2.0,6.6,9.1,4.9,1.3,5.3,東,10.9,東,西南西,0.0,,
26,7.5,1.5,0.5,6.1,8.1,5.1,2.2,5.3,東北東,13.0,東北東,東北東,0.0,,
27,22.5,4.5,1.0,8.0,11.5,5.6,5.1,10.3,東北東,18.9,北東,東北東,0.7,,
28,0.5,0.5,0.5,7.0,9.7,5.6,2.3,5.2,西,8.8,西,西,0.2,,
29,0.0,0.0,0.0,6.4,9.9,4.3,1.4,4.5,西南西,7.0,北北東,西,3.5,,
30,0.0,0.0,0.0,4.9,7.8,2.4,2.2,5.6,北,9.3,北,北北東,0.6,,
31,0.0,0.0,0.0,3.0,7.1,0.3,1.8,5.9,西,8.9,西,西,1.3,,
