,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.2,9.6,-3.9,0.6,2.4,南南東,4.2,南,南,8.8,,
2,0.0,0.0,0.0,3.8,11.5,-2.2,0.5,2.4,南南東,4.3,南南東,北北西,6.3,,
3,0.0,0.0,0.0,5.1,12.2,0.4,0.6,2.4,南西,5.1,西南西,北北西,2.9,,
4,0.0,0.0,0.0,4.0,12.7,-1.7,0.7,2.7,北北西,5.1,北,北北西,7.8,,
5,0.0,0.0,0.0,4.5,13.3,-1.9,1.4,5.4,北北西,8.4,北北西,北北西,8.8,,
6,0.0,0.0,0.0,6.9,13.6,-0.6,0.4,1.6,北北西,2.3,北西,北北西,0.1,,
7,0.0,0.0,0.0,13.3,18.3,9.1,1.0,5.1,南,10.7,南南東,北西,0.0,,
8,23.5,13.0,6.5,10.6,18.3,5.5,2.1,6.4,北西,11.8,北西,西南西,3.5,,
9,0.0,0.0,0.0,7.1,12.5,3.6,0.5,2.2,南南東,4.1,北西,北北西,1.8,,
10,0.0,0.0,0.0,6.1,13.4,0.5,1.2,5.0,北北西,7.4,北北西,北北西,8.8,,
11,0.0,0.0,0.0,6.4,14.1,0.6,0.5,3.1,北西,5.7,北西,北北西,4.6,,
12,0.0,0.0,0.0,5.3,9.0,-0.1,0.7,2.9,北西,7.8,西,北西,0.5,,
13,0.0,0.0,0.0,2.7,9.8,-1.6,0.7,3.2,北西,7.2,北西,北北西,1.6,,
14,1.5,1.0,0.5,2.3,6.0,-1.9,0.5,1.8,北北西,3.4,北,北北西,0.2,,
15,0.0,0.0,0.0,1.8,8.9,-2.3,0.6,3.4,北西,5.6,北西,北北西,3.1,,
16,0.0,0.0,0.0,3.7,9.0,-0.4,0.3,1.6,南南東,2.5,南南東,北北西,0.0,,
17,0.0,0.0,0.0,6.3,12.6,1.2,1.3,6.2,北北西,9.4,北北西,北北西,5.4,,
18,0.0,0.0,0.0,5.4,11.0,0.9,0.7,2.5,南西,5.4,南西,北北西,3.5,,
19,0.5,0.5,0.5,4.5,11.3,-0.6,0.6,3.2,北西,5.8,北西,北西,1.0,,
20,0.0,0.0 ),0.0 ),4.7 ),10.7 ),0.4 ),0.8 ),4.8 ),北北西 ),8.6 ),北北西 ),北北西 ),1.6 ],,
21,0.0,0.0,0.0,4.4,13.4,-1.0,1.1,5.2,北北西,8.3,北西,北北西,9.3,,
22,6.5,2.0,1.0,5.3,8.8,-0.7,0.3,2.0,北西,3.3,南東,北北西,0.0,,
23,26.5,9.0,2.5,13.6,19.4,8.4,0.7,2.6,南南東,4.6,南,北北西,1.3,,
24,0.0,0.0,0.0,13.0,17.9,10.7,1.6,4.5,北北西,7.4,北北西,北北西,0.8,,
25,14.0,4.0,1.5,10.1,13.6,7.5,0.9,4.1,北北西,6.6,北,北北西,0.1,,
26,6.5,1.5,0.5,9.0,13.5,6.3,0.9,3.4,北北西,5.5,北北西,北北西,0.1,,
27,24.5,9.5,4.5,11.1,17.9,6.7,1.9,4.8,東南東,12.9,東,北北西,0.4,,
28,4.0,2.0,1.0,9.1,13.5,7.3,1.1,5.0,北西,8.9,北,北北西,1.5,,
29,1.0,0.5,0.5,7.4,13.7,4.1,1.0,5.5,北北西,8.9,北北西,北北西,3.0,,
30,0.0,0.0,0.0,6.3,12.5,1.3,1.4,6.0,北西,9.9,北西,北北西,2.4,,
31,0.0,0.0,0.0,4.6,10.2,-0.3,1.3,6.7,北北西,10.9,北北西,北北西,6.7,,
