,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,1.5,0.5,0.5,,,,,,,,,,,5.0,13.0
2,0.0,0.0,0.0,,,,,,,,,,,0.0,9.0
3,0.0,0.0,0.0,,,,,,,,,,,2.0,10.0
4,0.5,0.5,0.5,,,,,,,,,,,3.0,12.0
5,0.0,0.0,0.0,,,,,,,,,,,3.0,13.0
6,2.0,0.5,0.5,,,,,,,,,,,5.0,15.0
7,0.0,0.0,0.0,,,,,,,,,,,0.0,14.0
8,0.0,0.0,0.0,,,,,,,,,,,0.0,13.0
9,0.0,0.0,0.0,,,,,,,,,,,0.0,12.0
10,0.0,0.0,0.0,,,,,,,,,,,0.0,12.0
11,0.0,0.0,0.0,,,,,,,,,,,3.0,13.0
12,6.0,1.5,0.5,,,,,,,,,,,17.0,28.0
13,8.0,2.5,1.0,,,,,,,,,,,19.0,42.0
14,0.0,0.5,0.0,,,,,,,,,,,2.0,42.0
15,1.0,1.0,0.5,,,,,,,,,,,4.0,39.0
16,0.0,1.0,0.5,,,,,,,,,,,1.0,37.0
17,7.0,2.5,1.0,,,,,,,,,,,23.0,49.0
18,0.0,0.0,0.0,,,,,,,,,,,0.0,47.0
19,0.0,0.0,0.0,,,,,,,,,,,0.0,39.0
20,0.5,0.5,0.5,,,,,,,,,,,4.0,35.0
21,6.0,1.5,0.5,,,,,,,,,,,13.0,47.0
22,5.0,2.5,1.0,,,,,,,,,,,6.0,44.0
23,0.0,0.0,0.0,,,,,,,,,,,0.0,43.0
24,3.0,2.0,1.5,,,,,,,,,,,13.0,49.0
25,0.0,0.0,0.0,,,,,,,,,,,1.0,47.0
26,0.0,0.0,0.0,,,,,,,,,,,1.0,44.0
27,0.0,0.0,0.0,,,,,,,,,,,0.0,41.0
28,0.0,0.0,0.0,,,,,,,,,,,0.0,38.0
29,1.5,1.0,0.5,,,,,,,,,,,4.0,41.0
30,0.0,0.0,0.0,,,,,,,,,,,1.0,40.0
31,0.0,0.0,0.0,,,,,,,,,,,0.0,38.0
