,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,6.0,2.0,1.0,,,,,,,,,,,,
2,3.5,1.0,0.5,,,,,,,,,,,,
3,6.5,1.5,1.0,,,,,,,,,,,,
4,5.0,1.5,1.0,,,,,,,,,,,,
5,5.5,2.5,0.5,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,8.0,2.0,0.5,,,,,,,,,,,,
8,34.5,8.0,2.0,,,,,,,,,,,,
9,12.5,4.0,1.5,,,,,,,,,,,,
10,6.5,2.5,1.0,,,,,,,,,,,,
11,2.0,1.5,0.5,,,,,,,,,,,,
12,7.5,2.5,1.0,,,,,,,,,,,,
13,14.5,2.5,1.0,,,,,,,,,,,,
14,0.5,0.5,0.5,,,,,,,,,,,,
15,14.5,3.5,1.0,,,,,,,,,,,,
16,0.0,0.0,0.0,,,,,,,,,,,,
17,0.5,0.5,0.5,,,,,,,,,,,,
18,1.0,0.5,0.5,,,,,,,,,,,,
19,5.0,2.5,1.0,,,,,,,,,,,,
20,12.5,2.5,2.0,,,,,,,,,,,,
21,4.0,1.5,1.0,,,,,,,,,,,,
22,1.0,0.5,0.5,,,,,,,,,,,,
23,12.0,2.5,0.5,,,,,,,,,,,,
24,1.0,1.0,0.5,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,3.0,2.0,1.0,,,,,,,,,,,,
28,4.0,2.5,0.5,,,,,,,,,,,,
29,26.0,5.0,2.5,,,,,,,,,,,,
30,28.0,4.5,2.0,,,,,,,,,,,,
31,22.0,2.5,1.0,,,,,,,,,,,,
