,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-5.4,-1.9,-8.0,3.1,7.2,西南西,11.3,西,南西,,0.0,0.0
2,0.0,0.0,0.0,-5.6,-1.5,-10.3,1.9,5.7,北北西,8.2,北北西,南,,0.0,0.0
3,0.0,0.0,0.0,-4.2,1.1,-9.5,2.7,8.8,北西,11.8,北北西,北西,,0.0,0.0
4,0.0,0.0,0.0,-7.0,-2.0,-12.1,2.4,6.7,北,9.3,北,北,,0.0,0.0
5,0.0,0.0,0.0,-8.3,-1.5,-15.1,3.0,10.1,北西,13.4,北北西,北北西,,3.0,3.0
6,0.0,0.0,0.0,-4.0,0.0,-13.5,5.3,11.3,北北西,15.4,北北西,北北西,,2.0,3.0
7,0.0,0.0,0.0,-3.1,2.1,-8.9,3.9,6.2,北,8.7,北,北北西,,0.0,2.0
8,0.5,0.5,0.5,-4.7,-1.9,-8.9,3.9,7.6,北北西,9.8,北北西,北北西,,4.0,5.0
9,0.0,0.0,0.0,-5.3,-1.3,-10.6,6.5,11.4,北,15.4,北,北北西,,0.0,4.0
10,0.0,0.0,0.0,-7.4,-0.8,-13.1,3.1,5.9,北北西,9.3,北北西,北北西,,0.0,4.0
11,1.5,1.5,0.5,-4.1,3.2,-11.0,1.7,4.3,南東,5.7,北北西,北北西,,4.0,8.0
12,0.0,0.0,0.0,-5.0,1.1,-12.0,1.7,5.2,北,7.7,北,北,,1.0,6.0
13,0.0,0.0,0.0,-6.4,-1.1,-12.5,1.3,4.3,北,6.2,西南西,北,,2.0,5.0
14,0.0,0.0,0.0,-7.7,-0.4,-14.6,1.4,3.7,北北西,5.7,西北西,北,,0.0,5.0
15,0.0,0.0,0.0,-7.8,-1.9,-16.0,2.4,5.2,北,6.7,北北西,北北西,,0.0,5.0
16,0.0,0.0,0.0,-6.5,-1.4,-10.8,2.2,5.1,北,7.2,北,北,,0.0,5.0
17,0.0,0.0,0.0,-7.4,-1.1,-14.2,1.5,5.1,北,6.7,北北西,南東,,0.0,5.0
18,0.0,0.0,0.0,-8.6,-2.1,-16.0,1.9,6.9,北北西,8.7,北北西,北北西,,1.0,6.0
19,0.0,0.0,0.0,-5.4,0.9,-13.2,2.1,4.7,南,6.2,南,南南東,,0.0,5.0
20,3.0,1.0,0.5,-1.9,0.0,-4.5,3.6,7.1,北北西,9.8,北北西,北北西,,9.0,13.0
21,0.0,0.0,0.0,-4.2,-0.4,-11.1,4.5,10.5,北西,14.4,北北西,北西,,3.0,14.0
22,0.5,0.5,0.5,-4.2,2.3,-14.9,3.0,6.5,南南東,8.2,南南東,南南東,,1.0,12.0
23,0.0,0.0,0.0,-2.4,2.0,-9.8,2.5,5.3,北北東,7.7,北北東,北,,0.0,10.0
24,0.0,0.0,0.0,-7.1,-0.4,-13.4,3.4,10.4,北西,14.4,北西,北北西,,1.0,10.0
25,0.0,0.0,0.0,-6.4,-3.3,-12.0,4.3,7.8,北北西,10.3,北北西,北,,7.0,15.0
26,1.0,1.0,0.5,-8.5,-4.5,-16.9,2.4,6.5,北,9.3,北,北北西,,7.0,21.0
27,0.0,0.0,0.0,-6.3,0.2,-14.4,3.0,8.3,北,11.3,北,北北西,,0.0,17.0
28,0.0,0.0,0.0,-4.8,0.9,-13.5,3.5,7.7,南南東,9.8,南南東,南南東,,0.0,14.0
29,0.5,0.5,0.5,-1.0,1.1,-3.7,2.9,5.8,北北西,7.7,北北西,北北西,,2.0,15.0
30,0.0,0.0,0.0,1.1,2.3,0.0,10.1,15.4,北北西,21.1,北,北北西,,0.0,14.0
31,0.0,0.0,0.0,-0.3,1.3,-2.3,11.1,13.2,北北西,18.5,北北西,北北西,,1.0,11.0
