,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-6.7,-4.2,-8.9,1.3,5.2,西北西,8.8,西北西,南東,2.6,2.0,1.0
2,0.0,0.0,0.0,-6.0,-3.1,-12.3,1.3,4.5,西北西,7.3,北西,西南西,4.8,0.0,0.0
3,0.0,0.0,0.0,-3.7,-1.1,-7.6,1.9,7.3,北西,12.5,北北西,北北西,0.8,0.0,0.0
4,0.0,0.0,0.0,-7.6,-3.2,-15.2,1.8,5.1,北北西,9.0,北北西,北,6.0,4.0,4.0
5,0.0 ],0.0 ],0.0 ],-9.3,-2.8,-16.6,2.0,7.8,北北西,13.4,北北西,南西,3.1,12.0,13.0
6,,,,-3.0,-0.2,-12.4,4.6,9.9,北西,16.8,北北西,北西,1.3,3.0,11.0
7,0.0 ],0.0 ],0.0 ],-3.1,0.2,-10.0,2.2,3.9,北,7.0,北,北,4.7,1.0,9.0
8,1.0,0.5,0.5,-5.2,-1.2,-10.6,1.6,4.0,北北西,6.7,北西,北北西,0.0,3.0,10.0
9,0.0,0.0,0.0,-4.0,-1.3,-6.4,3.6,6.2,北北西,10.3,北北西,北,6.9,0.0,10.0
10,0.0,0.0,0.0,-7.0,-1.5,-12.6,1.4,3.1,北西,6.0,北北西,北,8.4,3.0,7.0
11,0.5,0.5,0.5,-5.8,0.2,-11.6,0.7,2.3,北,3.4,北北東,西南西,1.4,2.0,9.0
12,0.5,0.5,0.5,-4.9,0.3,-10.8,0.7,2.4,北北東,4.6,南西,南南西,1.2,5.0,11.0
13,0.0,0.0,0.0,-7.7,-1.2,-13.5,0.6,1.8,南西,3.5,北,南西,5.2,3.0,11.0
14,0.0,0.0,0.0,-8.1,-1.3,-14.8,0.8,2.4,北西,4.3,北,南西,4.3,1.0,10.0
15,0.0,0.0,0.0,-7.4,-3.4,-14.8,1.1,2.7,北北西,4.3,北西,北北東,4.2,0.0,9.0
16,0.0,0.0,0.0,-6.7,-2.1,-13.0,1.0,3.7,北,5.9,北北東,北北東,5.6,5.0,10.0
17,0.0,0.0,0.0,-8.2,-1.4,-13.4,0.8,2.1,南南西,3.4,東,西南西,2.5,4.0,10.0
18,0.0,0.0,0.0,-9.0,-2.2,-15.0,0.8,2.8,北北東,4.7,北北東,北北東,7.1,0.0,10.0
19,0.0,0.0,0.0,-8.2,-1.5,-15.7,0.8,2.5,南南東,4.6,南南東,北北東,5.8,0.0,10.0
20,8.0,2.0,0.5,-1.9,0.6,-6.7,2.0,5.2,北西,9.3,北西,北,0.4,19.0,27.0
21,3.5,1.0,0.5,-4.0,-0.9,-10.3,3.0,7.8,北西,13.5,北,北西,5.2,13.0,37.0
22,0.5,0.5,0.5,-3.6,3.5,-14.0,1.9,4.5,南,7.8,南,南,5.1,2.0,33.0
23,0.0,0.0,0.0,-3.9,1.5,-12.2,1.3,3.4,北北西,5.5,北西,北北東,6.9,2.0,32.0
24,1.0,1.0,0.5,-6.8,-0.7,-14.6,3.4,8.9,北西,14.4,北西,北西,1.7,4.0,31.0
25,7.5,2.5,0.5,-6.4,-4.1,-10.2,2.9,6.6,西北西,10.3,北西,北西,4.3,25.0,45.0
26,2.0,1.5,0.5,-8.7,-5.0,-13.9,0.7,2.2,南南西,4.0,東北東,南西,4.9,5.0,50.0
27,0.0,0.0,0.0,-5.2,0.5,-14.3,2.2,6.2,北北西,10.7,北北西,北北西,3.4,1.0,41.0
28,0.0,0.0,0.0,-6.4,1.2,-16.4,1.5,4.6,南,8.2,南南東,南南東,1.5,1.0,35.0
29,4.0,1.0,0.5,-1.2,1.2,-4.2,1.1,2.5,北北東,4.5,南,北北東,0.0,4.0,36.0
30,0.5,0.5,0.5,1.6,3.1,0.1,5.1,8.2,北,14.6,北,北北西,0.9,3.0,34.0
31,0.0,0.0,0.0,0.1,1.4,-1.7,5.5,7.6,北北西,12.8,北,北北西,0.0,0.0,29.0
