,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1015.7,1021.0,,,,6.6,9.7,4.3,47.0,34.0,3.5,8.8,北,14.7,北,8.2,,,晴,晴
2,1015.7,1021.0,,,,7.1,11.0,3.4,57.0,44.0,2.0,4.3,北北西,7.1,北西,5.7,,,晴時々曇,晴
3,1011.1,1016.3,,,,7.1,11.5,3.3,62.0,48.0,2.0,4.3,北,6.7,北北西,9.3,,,晴,晴
4,1008.7,1013.9,0.0,0.0,0.0,8.1,12.5,4.1,53.0,36.0,2.9,9.2,北,14.2,北北西,4.7,,,晴後雨時々曇,晴時々雨、みぞれを伴う
5,1015.8,1021.0,0.0,0.0,0.0,6.5,10.6,3.2,54.0,30.0,4.4,8.9,北,14.4,北,9.7,,,晴,晴
6,1020.1,1025.4,,,,8.0,12.7,3.9,42.0,27.0,3.2,6.6,北,9.9,北,8.1,,,晴後一時曇,曇
7,1019.3,1024.6,1.5,0.5,0.5,6.6,8.3,4.4,68.0,43.0,3.3,5.3,北,7.8,北北西,0.5,,,曇時々晴後雨,雨後時々曇
8,998.4,1003.6,21.5,13.0,3.0,5.7,8.5,4.1,94.0,83.0,2.6,6.9,北北西,12.4,北西,2.7,,,雨後曇時々晴,晴
9,1003.6,1008.7,0.0,0.0,0.0,11.2,15.3,5.5,47.0,27.0,4.4,9.5,北,16.1,北,9.3,,,晴,曇時々晴一時雨
10,1010.4,1015.6,0.0,0.0,0.0,9.0,12.3,6.2,57.0,42.0,3.6,7.1,北,11.7,北北東,7.9,,,晴一時曇,晴後曇一時雨
11,1009.8,1015.1,0.0,0.0,0.0,8.0,11.0,6.1,66.0,52.0,2.5,4.6,北,6.6,東北東,4.5,,,晴時々曇,晴
12,1005.8,1011.1,0.0,0.0,0.0,7.7,11.3,4.7,66.0,44.0,2.5,4.1,北,6.2,東,1.8,,,曇時々晴一時雨,晴時々曇
13,1006.2,1011.4,,,,9.1,13.1,5.4,70.0,52.0,2.4,4.2,北北西,6.7,東北東,9.3,,,晴,晴後時々曇
14,1014.1,1019.3,,,,9.1,12.7,5.6,70.0,51.0,2.3,4.8,北,7.5,北,8.3,,,晴,曇時々晴後雨
15,1011.0,1016.2,11.5,4.5,1.0,7.8,10.2,6.2,79.0,49.0,3.2,7.0,北北西,11.7,北,3.6,,,曇一時雨後晴,晴
16,1015.7,1021.0,,,,7.6,10.3,5.0,46.0,30.0,3.1,6.5,北,11.9,北,4.4,,,曇時々晴,曇時々晴
17,1013.5,1018.7,0.0,0.0,0.0,7.6,10.9,5.2,58.0,43.0,3.5,6.3,北,10.3,北北東,3.6,,,曇時々晴,雨時々曇
18,1007.9,1013.2,13.5,2.5,1.0,3.8,7.3,1.5,87.0,65.0,5.6,8.4,北,12.9,北,0.0,,,雨時々みぞれ,雨後曇時々晴
19,1009.1,1014.4,,0.0,,7.3,10.4,3.3,62.0,41.0,2.6,4.7,南南東,7.4,南南東,8.0,,,晴後一時曇,晴時々曇
20,1007.0,1012.2,,,,8.3,13.6,3.9,60.0,33.0,2.0,3.5,北,5.4,南,9.7,,,晴,晴
21,1014.8,1020.1,,,,7.7,12.1,4.8,48.0,32.0,4.3,8.6,北,13.1,北,9.6,,,晴,晴後一時曇
22,1022.8,1028.1,0.0,0.0,0.0,5.8,8.7,3.8,53.0,45.0,2.8,5.1,北,8.8,北北東,2.9,,,曇時々雪一時みぞれ後晴,曇後一時雨
23,1015.8,1021.1,6.5,2.0,1.0,6.4,8.9,4.9,81.0,58.0,3.1,5.7,北,8.4,北,0.0,,,雨,曇一時雨
24,1016.7,1021.9,,,,10.5,13.8,8.5,72.0,47.0,2.8,9.3,北,15.4,北,1.4,,,曇後時々晴,晴
25,1022.1,1027.4,,,,8.4,11.4,6.7,49.0,32.0,3.6,8.2,北,14.8,北,2.8,,,曇後時々晴,雨時々曇
26,1021.5,1026.8,8.5,2.5,0.5,5.6,8.5,3.0,77.0,51.0,2.5,4.3,北北西,6.6,北北西,0.0,,,雨後曇,曇
27,1020.2,1025.5,8.0,3.0,1.0,5.5,7.5,1.6,70.0,57.0,3.8,7.1,北,11.7,北,0.0,,,曇後時々雨,雨後時々みぞれ
28,1011.5,1016.8,31.0,6.5,1.5,4.7,7.4,1.3,97.0,95.0,6.5,9.8,北,17.5,北,0.0,,,雨,大雨
29,996.8,1001.8,22.5,8.5,2.5,12.8,18.9,7.3,78.0,55.0,3.6,8.9,北北西,16.2,北北西,7.3,,,晴時々曇,晴一時曇
30,993.5,998.6,,,,12.6,17.6,8.5,56.0,36.0,3.6,7.7,北,13.4,北,10.0,,,晴,曇一時晴後一時雨
31,999.1,1004.3,0.0,0.0,0.0,8.9,12.2,6.7,41.0,25.0,6.2,9.6,北,15.5,北,4.6,,,曇一時雨後晴,晴
