,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,5.0,2.0,0.5,,,,,,,,,,,0.0,0.0
2,1.5,1.5,1.0,,,,,,,,,,,0.0,0.0
3,16.0,3.0,1.5,,,,,,,,,,,0.0,0.0
4,13.5,6.0,1.5,,,,,,,,,,,0.0,0.0
5,0.5,0.5,0.5,,,,,,,,,,,2.0,2.0
6,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
7,34.0,6.0,1.5,,,,,,,,,,,0.0,0.0
8,52.0,7.0,2.0,,,,,,,,,,,0.0,0.0
9,9.0,3.5,1.0,,,,,,,,,,,0.0,0.0
10,3.0,1.5,1.0,,,,,,,,,,,0.0,0.0
11,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
12,6.0,3.0,1.0,,,,,,,,,,,0.0,0.0
13,10.5,4.0,1.0,,,,,,,,,,,0.0,0.0
14,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
15,4.5,2.0,0.5,,,,,,,,,,,0.0,0.0
16,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
17,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
18,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
19,3.5,2.0,1.0,,,,,,,,,,,0.0,0.0
20,27.0,5.0,1.5,,,,,,,,,,,0.0,0.0
21,3.5,2.0,1.0,,,,,,,,,,,0.0,0.0
22,1.5,1.0,0.5,,,,,,,,,,,0.0,0.0
23,17.0,3.5,1.0,,,,,,,,,,,0.0,0.0
24,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
25,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
26,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
27,2.0,1.0,0.5,,,,,,,,,,,0.0,0.0
28,1.5,0.5,0.5,,,,,,,,,,,0.0,0.0
29,20.5,3.0,1.5,,,,,,,,,,,0.0,0.0
30,19.0,3.5,1.0,,,,,,,,,,,0.0,0.0
31,1.5,0.5,0.5,,,,,,,,,,,0.0,0.0
