,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.3,9.1,-1.1,0.7,1.7,南南西,5.6,南南西,南南西,7.4,,
2,0.0,0.0,0.0,6.5,11.5,2.1,0.7,1.4,南南西,4.7,南南東,南南西,6.0,,
3,0.0,0.0,0.0,7.8,12.6,4.1,0.6,1.6,南東,4.4,南東,南南西,3.6,,
4,0.0,0.0,0.0,6.4,12.8,2.1,0.6,1.8,北北東,5.6,北,北北東,7.2,,
5,0.0,0.0,0.0,5.6,11.7,1.5,0.5,2.4,北,6.1,北,北東,7.1,,
6,0.0,0.0,0.0,6.4,11.4,0.9,0.3,1.4,北,3.1,北,南,0.0,,
7,0.0,0.0,0.0,14.4,20.4,7.9,1.0,2.5,南南東,10.8,南,南,2.3,,
8,36.0,16.5,5.0,11.2,19.4,8.0,1.1,2.3,北,9.3,北,南,3.3,,
9,0.0,0.0,0.0,8.4,12.7,5.0,0.6,1.9,北北東,5.4,北,南南西,4.8,,
10,0.0,0.0,0.0,6.4,12.4,1.4,0.5,2.7,北,5.5,北,北北東,7.4,,
11,0.0,0.0,0.0,7.8,13.9,3.2,0.4,1.4,北,5.2,北,北北西,4.1,,
12,0.0,0.0,0.0,7.7,10.3,5.3,0.6,2.5,北北東,6.3,北北東,北,0.8,,
13,0.0,0.0,0.0,6.2,9.5,2.9,0.7,1.8,北北東,5.1,南,南,2.1,,
14,3.0,1.0,0.5,4.8,6.2,2.1,0.3,1.3,南南西,4.1,南西,南,0.0,,
15,0.0,0.0,0.0,3.5,7.7,0.4,0.4,1.5,北北東,3.6,南南東,南,0.9,,
16,0.0,0.0,0.0,4.5,8.1,1.6,0.3,1.3,北,3.1,南,北,0.0,,
17,0.0,0.0,0.0,6.1,11.0,2.3,0.5,2.8,北,7.3,北北西,北北東,4.4,,
18,2.0,1.0,0.5,5.6,9.3,2.6,0.4,1.7,南南東,5.9,南南東,南,0.0,,
19,0.0,0.0,0.0,5.8,10.3,0.7,0.4,1.6,北,4.8,南,南,0.9,,
20,0.0,0.0,0.0,7.0,8.8,3.5,0.6,1.7,北北東,4.9,北,南南西,0.0,,
21,0.0,0.0,0.0,5.1,10.9,1.1,0.6,2.1,北,4.9,北,北北東,7.1,,
22,14.0,2.5,1.0,5.8,7.9,1.7,0.1,0.8,北,1.7,北,南,0.0,,
23,11.5,5.5,1.5,11.8,17.9,7.3,0.3,1.7,北,3.6,北,北,2.7,,
24,0.0,0.0,0.0,11.8,15.3,8.0,0.6,2.5,北,6.8,東,北,0.2,,
25,21.0,4.0,1.0,8.4,10.7,6.3,0.7,2.5,北,5.3,北,北,0.1,,
26,4.0,2.5,0.5,8.5,11.3,6.3,0.8,2.3,北,5.8,北,北,1.4,,
27,31.5,8.0,2.0,7.9,9.2,6.7,1.6,3.9,東北東,11.0,北,北東,0.0,,
28,3.0,2.0,2.0,9.1,12.6,5.7,0.4,2.2,北,6.7,北,北,0.7,,
29,2.0,1.0,0.5,8.3,12.0,6.2,0.3,1.9,北北東,5.0,北,南南西,3.1,,
30,0.5,0.5,0.5,6.7,10.9,4.0,0.5,2.5,北,5.4,北,北北東,1.7,,
31,2.0,0.5,0.5,4.7,7.9,2.9,0.4,2.2,北北東,5.3,北,南南西,1.6,,
