,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,5.5,2.0,1.0,0.2,4.1,-1.9,1.4 ),5.5 ),西北西 ),13.8 ),西北西 ),北 ),2.3,8.0,10.0
2,6.0,1.0,0.5,0.3,1.4,-0.5,0.3 ],1.1 ],南東 ],2.0 ],南東 ],東南東 ],0.0,14.0,16.0
3,16.5,2.0,1.0,0.1,1.6,-0.8,0.5 ],1.9 ],西南西 ],5.4 ],西北西 ],南西 ],0.0,10.0,12.0
4,3.5,1.5,0.5,0.6,3.3,-0.4,0.9 ],3.8 ],西 ],9.8 ],西北西 ],西 ],1.5,8.0,17.0
5,6.0,1.5,1.0,0.8,2.1,-0.5,1.6 ),4.4 ),北 ),9.8 ),北北西 ),北 ),0.3,11.0,21.0
6,0.0,0.0,0.0,2.4,4.0,0.2,1.5,4.5,西北西,10.2,北西,西,0.0,1.0,19.0
7,5.5,1.5,0.5,0.0,2.9,-3.1,0.6 ],2.5 ],東南東 ],4.6 ],南東 ],北 ],1.3,5.0,17.0
8,29.0,6.5,1.5,3.2,9.7,0.4,1.3 ),4.8 ),南東 ),13.3 ),西北西 ),東 ),0.9,1.0,16.0
9,14.5,6.5,1.0,3.4,7.5,0.8,1.6,5.4,西,13.9,北西,西,1.8,2.0,5.0
10,1.5,0.5,0.5,1.7,5.9,-1.4,0.8 ],2.6 ],南南西 ],5.9 ],南南西 ],南西 ],2.4,0.0,1.0
11,5.0,3.0,1.0,1.9,8.5,-2.3,0.8,3.4,西北西,7.7,南南東,南南西,7.0,1.0,1.0
12,0.0,0.0,0.0,2.2,6.7,-0.5,0.7,1.9,南南西,3.4,北,東,3.0,0.0,0.0
13,7.0,2.0,0.5,1.5,4.8,-0.2,0.6 ],3.2 ],西北西 ],6.8 ],北西 ],西北西 ],0.2,4.0,4.0
14,0.5,1.0,0.5,2.7,6.7,0.3,1.3 ],4.0 ],南 ],7.0 ],南 ],北北西 ],2.7,2.0,1.0
15,10.0,3.5,1.0,1.7,5.4,-0.5,1.0,3.6,北北西,8.6,北,北,0.3,0.0,0.0
16,7.5,2.5,1.0,0.4,2.2,-1.1,0.5 ),2.6 ),南南西 ),5.9 ),西南西 ),北 ),0.0,17.0,17.0
17,0.0,0.0,0.0,0.3,5.4,-2.0,0.7 ],2.0 ],北北西 ],3.7 ],西北西 ],南東 ],6.0,2.0,5.0
18,0.0,0.0,0.0,0.4,3.3,-1.7,0.6,1.8,北北東,2.7,北北東,北東,0.1,1.0,1.0
19,0.5,0.5,0.5,1.6,5.3,-0.3,0.9,2.9,南南西,6.3,南南西,北,1.9,0.0,0.0
20,21.0,5.5,1.5,2.6,4.8,0.0,1.6,4.8,西北西,10.5,西南西,北西,0.0,0.0,0.0
21,16.5,3.5,1.5,0.0,4.8,-2.9,1.6 ),6.4 ),北北西 ),15.0 ),西北西 ),西 ),0.0,17.0,14.0
22,0.0,0.0,0.0,-1.5,3.9,-6.2,0.6,1.7,東南東,3.3,東,北北西,5.9,1.0,13.0
23,1.5,0.5,0.5,1.5,4.2,-1.3,0.3,1.6,南東,2.6,東,北北西,0.2,2.0,5.0
24,4.5,1.5,0.5,3.0,8.4,0.9,1.3,4.3,北,9.9,北,北,1.0,1.0,1.0
25,0.0,0.0,0.0,0.9,4.0,-1.6,1.2,3.3,西北西,8.1,西南西,西,5.1,0.0,0.0
26,0.0,0.0,0.0,1.2,7.5,-2.3,1.1,3.8,北,8.1,北,北北西,6.2,0.0,0.0
27,0.0,0.0,0.0,0.8,4.1,-2.6,0.8,5.7,東,13.0,東,北,0.0,0.0,0.0
28,0.0,0.0,0.0,4.9,9.0,0.9,3.2,4.6,北東,10.0,北北東,北北東,1.6,0.0,0.0
29,35.0,7.5,2.0,5.2,7.8,3.0,0.9,3.0,北,6.6,西南西,西,0.1,0.0,0.0
30,18.5,3.0,1.0,4.3,8.0,1.7,1.2,3.2,北西,8.5,北西,東北東,1.1,0.0,0.0
31,11.0,1.5,0.5,0.9,3.0,-0.5,1.6,3.6,北北西,10.2,北北東,北北東,0.4,8.0,7.0
