,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.7,10.8,-0.3,2.4,6.5,西北西,13.2,北西,西北西,7.6,,
2,0.0,0.0,0.0,3.0,10.3,-1.9,1.2,6.5,西北西,13.6,西北西,西北西,8.5,,
3,0.0,0.0,0.0,5.6,9.0,1.5,2.0,6.4,西北西,12.8,西,西北西,0.3,,
4,0.0,0.0,0.0,4.5,9.4,-1.3,1.6,5.7,西,10.8,西北西,西北西,7.5,,
5,0.5,0.5,0.5,1.7,6.7,-1.5,0.8,2.8,西,5.1,西,西,3.7,,
6,0.0,0.0,0.0,4.0,9.8,-2.3,1.6,5.7,西北西,14.6,北西,西北西,6.7,,
7,5.5,2.0,0.5,4.3,7.8,-0.5,0.7,1.9,西南西,4.4,北北東,西南西,4.5,,
8,12.5,3.5,1.0,5.7,7.6,3.6,0.6,1.6,西,6.1,北,北北西,0.1,,
9,0.0,0.0,0.0,8.2,12.0,4.8,1.9,4.7,西北西,11.5,西北西,北西,5.1,,
10,0.0,0.0,0.0,4.9,8.1,1.0,0.8,1.9,北北西,6.8,北,北西,2.7,,
11,0.0,0.0,0.0,5.6,11.2,-0.9,1.9,6.5,西北西,11.8,西北西,南南西,6.6,,
12,0.0,0.0,0.0,6.9,10.7,1.9,1.8,6.9,西北西,15.8,西,西北西,5.5,,
13,0.0,0.0,0.0,5.8,10.2,2.1,0.6,1.6,北西,6.7,北,北西,5.1,,
14,0.0,0.0,0.0,7.1,10.7,3.3,1.0,3.1,南南東,6.5,北,北北西,5.3,,
15,9.5,2.0,0.5,4.5,7.0,0.8,1.0,4.8,西北西,12.0,西北西,北北西,2.0,,
16,0.0,0.0,0.0,5.2,9.6,-0.7,2.5,5.8,西,11.9,西,西北西,8.7,,
17,0.0,0.0,0.0,5.4,10.0,1.6,1.2,4.1,西北西,8.8,西北西,西北西,6.9,,
18,0.0,0.0,0.0,3.3,4.5,2.3,1.5,2.3,北北西,8.4,北西,北北西,0.0,,
19,0.0,0.0,0.0,4.7,9.4,0.3,0.9,3.8,南西,7.4,南西,北西,5.5,,
20,1.0,0.5,0.5,6.6,10.9,1.2,1.9,6.0,西,12.5,西,北西,8.3,,
21,0.0,0.0,0.0,4.3,9.0,-1.6,1.8,5.5,西北西,13.2,西北西,西北西,6.9,,
22,0.0,0.0,0.0,4.6,8.9,-2.0,1.2,4.5,南東,7.4,南南西,南南西,4.2,,
23,6.0,2.5,0.5,7.3,12.2,4.4,0.6,2.9,南東,4.7,南南西,北北西,0.1,,
24,0.0,0.0,0.0,7.7,14.4,3.0,1.4,6.1,西北西,11.0,西北西,西北西,8.1,,
25,0.0,0.0,0.0,4.9,9.0,1.2,1.7,4.1,西北西,9.9,西北西,北西,7.3,,
26,0.0,0.0,0.0,3.4,8.7,0.2,0.5,2.1,東南東,4.2,東,北西,4.7,,
27,0.0,0.0,0.0,3.5,6.0,-0.3,0.6,1.7,北西,4.5,北,北西,0.0,,
28,24.5,3.5,1.0,7.1,8.9,4.4,1.4,3.5,東,7.9,東,東,0.0,,
29,103.0,25.0,11.0,10.5,13.5,5.2,2.7,7.9,西北西,17.3,西,北西,2.5,,
30,0.0,0.0,0.0,10.9,14.9,6.7,3.4,7.0,西北西,15.1,西北西,西北西,6.4,,
31,0.0,0.0,0.0,6.4,9.9,1.4,3.5,9.0,西北西,20.2,西北西,西北西,9.4,,
