,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.9,8.4,1.2,3.2,7.3,南南西,13.6,南,西,5.2,,
2,0.0,0.0,0.0,4.3,7.3,1.4,3.9,8.3,西,17.3,西北西,西南西,6.7,,
3,0.0,0.0,0.0,3.2,9.4,-3.7,1.9,5.4,西北西,9.5,西,南南西,7.5,,
4,0.0,0.0,0.0,3.3,7.0,-2.5,2.5,6.0,西,13.5,西,西,1.7,,
5,0.0,0.0,0.0,1.9,5.9,-3.3,2.6,7.1,西北西,13.1,西北西,西,4.8,,
6,0.0,0.0,0.0,5.1,9.3,-1.1,2.9,6.5,西,12.2,西北西,西,2.7,,
7,5.0,2.0,1.0,1.0,6.2,-5.3,1.5 ),4.1 ),北北東 ),6.3 ),北東 ),北北東 ),3.2,,
8,14.0,3.5,1.0,1.5,4.4,0.3,1.2 ],3.1 ],東南東 ],5.1 ],東南東 ],北北東 ],0.0,,
9,0.0,0.0,0.0,6.3,10.5,-0.4,3.1,7.4,北西,12.8,西,西北西,3.1,,
10,0.0,0.0,0.0,3.9,9.4,-0.1,1.2,3.5,北北東,6.6,北,東北東,2.1,,
11,0.0,0.0,0.0,4.0,10.6,-1.6,1.6,6.8,南,10.4,南南西,南南西,7.0,,
12,0.0,0.0,0.0,3.4,10.5,-1.4,1.1,3.3,北北東,5.0,北北東,北北東,2.5,,
13,0.0,0.0,0.0,3.2,9.2,-2.2,1.0,4.7,西北西,7.7,西北西,西,2.5,,
14,0.0,0.0,0.0,4.0,9.8,-2.6,1.3,4.2,北東,8.3,北東,北北東,1.9,,
15,6.5,1.5,0.5,2.3,4.8,0.3,1.0 ),5.6 ),西北西 ),11.9 ),西 ),東北東 ],0.1,,
16,0.0,0.0,0.0,3.1,8.0,-1.0,1.9,6.0,西北西,11.3,西,南西,5.6,,
17,0.0,0.0,0.0,2.1,8.8,-3.7,2.0,6.4,北西,11.6,北西,北西,7.6,,
18,0.0,0.0,0.0,0.8,4.1,-3.2,0.9,3.1,北北東,6.1,北北東,北北東,0.0,,
19,0.0,0.0,0.0,1.8,8.5,-3.9,1.0,3.6,西北西,7.2,北西,北東,5.5,,
20,0.0,0.0,0.0,3.4,8.9,-2.3,1.6,6.0,西北西,11.0,西南西,西,1.3,,
21,0.5,0.5,0.5,3.3,6.1,1.0,3.6,8.0,西北西,14.0,西北西,西,6.3,,
22,0.0,0.0,0.0,1.7,8.1,-3.5,0.9,3.9,西北西,7.1,西,北,4.7,,
23,1.0,0.5,0.5,2.0,6.9,-2.9,0.4,1.8,北西,2.8,北北東,北,0.0,,
24,0.0,0.0,0.0,5.2,11.5,1.4,2.5,7.1,西北西,14.0,西,西,2.7,,
25,0.0,0.0,0.0,3.5,6.8,-1.3,3.2,7.3,西,13.3,西北西,西,6.3,,
26,0.0,0.0,0.0,1.5,9.1,-4.5,1.5,5.2,北西,10.2,北西,西北西,5.9,,
27,0.0,0.0,0.0,1.7,7.1,-4.7,1.1,3.0,北東,5.6,北北東,北東,1.4,,
28,5.5,1.0,0.5,3.6,6.1,0.9,1.4,3.1,北北東,5.3,北東,北東,0.0,,
29,45.5,9.0,2.0,7.2,9.5,4.2,3.2,6.9,北北東,12.1,北北東,北北東,0.0,,
30,0.0,0.0,0.0,6.8,14.1,0.3,2.0,6.5,西,12.1,西,西北西,5.1,,
31,0.0,0.0,0.0,5.0,7.8,2.3,3.9,7.8,西,15.6,西北西,西,6.7,,
