,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.8,8.3,-0.5,2.7,5.3,西,10.9,西,西南西,6.5,,
2,0.0,0.0,0.0,2.3,7.6,-1.7,1.8,5.6,西,10.6,西,西,6.5,,
3,0.0,0.0,0.0,1.0,7.7,-2.7,1.2,4.2,西,8.6,西,東,0.9,,
4,0.0,0.0,0.0,2.0,5.5,-1.6,1.9,5.7,西,10.7,西,西南西,2.5,,
5,0.0,0.0,0.0,1.4,4.6,-2.1,2.5,8.0,西,14.5,西,西,2.7,,
6,0.0,0.0,0.0,4.1,7.0,1.6,2.9,9.6,西北西,16.4,西北西,西,5.2,,
7,6.5,2.0,0.5,1.8,7.8,-2.1,0.9 ),2.6 ),西北西 ),5.1 ),西 ),東 ),3.9,,
8,7.0,1.5,0.5,2.0,4.0,0.8,1.1 ),3.8 ),西 ),6.7 ),西北西 ),東 ),0.0,,
9,0.0,0.0,0.0,5.7,9.8,1.1,3.4,8.6,西,17.8,西,西南西,6.5,,
10,0.5,0.5,0.5,3.0,8.1,-1.6,1.6,4.6,西南西,9.2,西,東,6.2,,
11,0.0,0.0,0.0,1.3,7.8,-3.2,1.3,3.0,西北西,7.2,西南西,東,1.3,,
12,0.0,0.0,0.0,3.2,9.8,-1.1,0.9,2.5,東,4.8,西,東,4.2,,
13,1.5,1.0,0.5,3.7,9.5,0.6,1.1,4.0,西南西,9.1,西,東,5.8,,
14,0.5,1.0,0.5,3.5,9.3,0.0,0.8,2.6,東,4.0,東,東,3.6,,
15,8.5,2.0,0.5,1.6,4.9,-0.1,1.1 ),4.0 ),西南西 ),6.9 ),西 ),西南西 ),1.7,,
16,0.0,0.0,0.0,1.2,7.1,-1.8,1.8,5.7,西,9.4,西,東,7.6,,
17,0.0,0.0,0.0,0.9,7.5,-3.3,1.3,3.6,南西,7.0,西,東北東,7.0,,
18,0.0,0.0,0.0,0.3,1.8,-1.7,1.2,3.3,西南西,5.6,西南西,南西,0.0,,
19,0.0,0.0,0.0,2.3,7.6,-1.9,1.1,4.0,西南西,7.8,西南西,東,6.6,,
20,0.0,0.0,0.0,2.2,8.3,-2.1,1.3,3.1,西南西,6.0,西,東北東,2.1,,
21,0.0,0.0,0.0,2.0,5.2,-0.4,3.9,9.3,西,15.8,西,西,4.5,,
22,0.0,0.0,0.0,1.8,6.1,-3.7,1.1,5.0,西南西,8.8,西,東,2.7,,
23,2.5,1.0,0.5,3.7,8.3,0.3,0.8,2.1,東北東,3.4,東,東北東,0.0,,
24,0.0,0.0,0.0,5.2,12.3,0.1,3.0,6.6,西南西,13.4,西,西南西,5.7,,
25,0.0,0.0,0.0,1.9,6.1,-1.5,2.6,7.1,西南西,11.2,西,西南西,7.7,,
26,0.0,0.0,0.0,2.4,9.3,-1.6,1.4,4.7,西,8.1,西,東北東,4.9,,
27,0.0,0.0,0.0,1.8,6.0,-1.5,1.3,3.1,東,5.4,東北東,東,0.0,,
28,11.5,2.0,1.0,1.6,3.5,-0.3,0.6 ),1.6 ),西南西 ),3.0 ),西南西 ),西南西 ),0.0,,
29,53.0,18.0,4.5,5.0,8.0,1.3,1.8,5.6,西南西,10.3,西,西南西,0.1,,
30,0.0,0.0,0.0,5.3,12.4,-0.2,1.5,4.6,西南西,10.0,西北西,西南西,4.7,,
31,0.0,0.0,0.0,3.3,6.8,0.9,4.1,6.7,西,12.9,西,西南西,7.0,,
