,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,10.0,2.5,1.0,-0.6,1.0,-2.7,2.6,4.8,西南西,11.8,西,西,0.0,13.0,14.0
2,0.0,0.0,0.0,0.4,3.4,-4.5,2.3,4.2,西南西,10.3,西,西南西,1.4,2.0,10.0
3,1.5,1.5,1.0,-0.2,5.0,-5.0,1.5,5.1,南西,8.2,西南西,北北東,0.9,0.0,5.0
4,4.0,1.5,1.0,-0.4,3.1,-2.2,1.2,3.2,北北西,8.0,北北西,北東,0.5,8.0,8.0
5,6.5,1.5,1.0,-0.1,1.6,-2.3,2.0,4.2,北北西,11.0,西,西北西,1.1,7.0,11.0
6,0.0,0.0,0.0,0.8,4.3,-3.6,1.6,2.8,西北西,8.3,西,西北西,0.4,0.0,10.0
7,0.0,0.0,0.0,-1.2,2.9,-6.4,1.2,2.1,北東,4.0,北東,東北東,3.2,1.0,6.0
8,33.0,4.5,1.5,3.0,6.0,0.2,1.9,3.2,北東,6.6,北東,東北東,0.0,0.0,6.0
9,4.5,1.0,0.5,3.0,5.3,0.8,1.4,4.7,北東,10.2,北東,東北東,0.1,0.0,0.0
10,0.0,0.0,0.0,2.3,6.2,-0.5,0.9,2.1,北東,3.7,北,北東,2.8,0.0,0.0
11,12.5,5.0,1.5,1.2,4.6,-0.7,1.0,3.1,南南東,6.7,南南東,東北東,1.3,0.0,0.0
12,0.0,0.0,0.0,2.2,6.4,0.0,1.4,3.8,南南西,5.7,南南西,北東,2.9,0.0,0.0
13,0.0,0.0,0.0,0.8,5.5,-1.7,1.0,3.1,北,6.6,北,東北東,3.8,0.0,0.0
14,0.0,0.0,0.0,0.6,5.2,-2.3,1.4,3.4,北東,6.7,北東,北東,3.8,0.0,0.0
15,6.0,3.5,1.0,1.2,5.1,-2.4,1.2,3.1,北東,6.0,北東,東北東,2.3,1.0,1.0
16,2.0,1.0,0.5,-0.1,2.0,-1.6,0.8,3.2,南西,5.3,南西,北北東,0.1,4.0,3.0
17,0.5,0.5,0.5,1.3,4.8,-1.4,1.2,4.9,南西,7.3,南西,西,4.5,1.0,1.0
18,0.0,0.0,0.0,0.4,4.4,-1.9,1.6,3.4,北東,7.2,北東,北東,7.9,0.0,0.0
19,1.0,1.0,0.5,1.0,6.2,-3.1,1.2,3.2,南西,6.0,東南東,東北東,4.0,0.0,0.0
20,8.0,3.0,1.0,2.7,6.3,0.2,1.5 ),7.0 ),南南西 ),12.0 ),南西 ),西北西 ),2.4,2.0,2.0
21,9.0,3.5,1.0,-0.1,1.2,-1.5,1.0 ],3.5 ],北西 ],8.9 ],北西 ],北西 ],0.5,8.0,9.0
22,0.0,0.0,0.0,0.9,5.3,-2.0,1.0,2.0,北東,3.0,北東,東北東,2.0,1.0,6.0
23,2.5,2.5,1.0,2.9,7.5,-1.1,1.0,2.5,北西,6.7,北西,北東,1.7,1.0,1.0
24,4.0,2.0,1.0,0.0,3.1,-2.1,1.6,4.2,北西,9.1,北西,北東,1.5,0.0,0.0
25,0.0,0.0,0.0,-0.7,1.4,-2.8,1.2,3.4,北西,7.5,北西,北西,0.8,0.0,0.0
26,0.0,0.0,0.0,-1.0,4.2,-4.6,1.3,3.2,北西,7.5,北西,北東,5.9,0.0,0.0
27,0.0,0.0,0.0,1.1,6.6,-2.8,1.3,3.5,北西,6.7,北西,北東,6.0,0.0,0.0
28,6.5,2.0,0.5,3.5,8.5,-1.1,1.5,2.9,北東,6.1,北東,北東,0.0,0.0,0.0
29,30.5,5.0,1.5,4.3,5.3,3.4,1.4,3.1,北東,5.7,北東,北東,0.0,0.0,0.0
30,6.0,1.5,0.5,4.9,7.0,3.1,1.2,2.6,北東,5.3,西北西,北北東,0.3,0.0,0.0
31,6.5,1.5,1.0,3.5,5.6,1.1,2.2,4.8,北西,11.2,北西,西,0.3,0.0,0.0
