,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,15.0,2.0,1.0,-5.7,-4.1,-7.1,1.3,3.7,南西,10.5,南南西,西南西,0.0,,
2,7.5,1.0,0.5,-4.6,-3.3,-6.1,1.4,2.8,西南西,8.1,西南西,西,0.0,,
3,6.0,2.5,1.0,-3.0,-1.1,-5.1,1.5,2.9,南西,9.0,北西,西南西,0.4,,
4,4.5,1.5,0.5,-5.3,-3.7,-9.0,0.9,2.9,西,9.6,西南西,西,0.0,,
5,1.0,0.5,0.5,-5.3,-4.4,-8.4,1.3,3.6,西南西,9.3,南西,西南西,0.0,,
6,5.5,1.0,0.5,-4.3,-1.8,-9.7,1.2,3.3,西,9.0,西北西,西南西,0.0,,
7,0.0,0.0,0.0,-5.7,-0.9,-10.7,0.4,1.5,南西,3.7,南南西,西,2.6,,
8,30.5,8.0,2.0,-0.9,1.3,-4.6,0.1 ],0.9 ],東南東 ],1.7 ],東南東 ],静穏 ],0.0,,
9,5.0,1.0,0.5,-0.5,1.0,-1.9,0.6 ],2.6 ],西北西 ],6.8 ],南西 ],南南西 ],0.0,,
10,0.0,0.0,0.0,-1.7,0.3,-2.8,0.3,1.4,北西,2.6,東南東,東,2.8,,
11,4.5,2.5,1.0,-0.8,2.6,-3.0,0.6,2.7,西,8.3,南南西,西,2.7,,
12,0.0,0.0,0.0,-1.6,1.3,-3.5,0.3 ),1.8 ),西南西 ),4.7 ),西 ),西北西 ),1.7,,
13,0.0,0.0,0.0,-3.7,-0.9,-7.8,0.7,2.5,西,7.1,西,西南西,1.2,,
14,0.5,0.5,0.5,-5.1,-1.6,-7.6,0.4,1.2,東北東,2.8,東北東,西南西,1.5,,
15,2.0,1.0,0.5,-3.4,0.0,-8.3,0.5 ),1.7 ),東北東 ),4.1 ),西南西 ),北東 ),2.5,,
16,2.5,1.0,0.5,-3.7,-2.3,-5.0,0.9 ),2.6 ),西 ),8.0 ),西 ),西北西 ),0.0,,
17,0.5,0.5,0.5,-3.2,-1.0,-5.3,1.0,2.3,西,6.8,西,西,0.4,,
18,0.0,0.0,0.0,-5.7,-2.0,-10.0,0.6,2.2,北東,5.0,東北東,北北東,5.6,,
19,0.0,0.0,0.0,-4.1,0.4,-10.7,0.8,3.0,東南東,4.9,東南東,西南西,4.2,,
20,15.5,3.0,1.0,-1.5,1.0,-3.6,0.7,2.7,西,8.6,南西,西,0.2,,
21,6.5,1.5,0.5,-4.7,-3.3,-6.9,1.1 ],2.9 ],西南西 ],8.9 ],西 ],西 ],0.0,,
22,1.0,0.5,0.5,-2.0,0.5,-7.9,1.4,3.0,西南西,7.8,南西,西南西,1.5,,
23,0.0,0.0,0.0,0.7,4.5,-3.1,1.0,2.6,南西,6.8,西南西,西南西,2.9,,
24,2.0,1.0,0.5,-2.5,1.2,-5.8,1.3,2.9,西,8.7,南南西,西,0.3,,
25,0.0,0.0,0.0,-5.8,-4.0,-7.1,1.2,4.0,西,10.9,西,西,4.4,,
26,0.0,0.0,0.0,-5.8,-1.7,-10.3,1.0,2.8,西,7.5,南西,西,3.4,,
27,0.0,0.0,0.0,-3.1,1.1,-7.0,0.8,2.7,南南西,6.6,南,南西,6.2,,
28,1.5,1.5,0.5,-1.0,2.3,-6.1,0.9,2.9,北北東,7.5,北北東,北北西,0.7,,
29,31.0,4.5,1.0,0.9,2.7,-0.1,0.7 ),3.8 ),北西 ),7.2 ),西 ),西北西 ),0.0,,
30,8.0,2.5,0.5,0.7,2.7,-0.2,0.7 ],2.2 ],西南西 ],7.0 ],西南西 ],西 ],0.4,,
31,7.0,1.5,0.5,-0.7,0.7,-1.3,0.9 ],2.5 ],南西 ],8.0 ],南西 ],南西 ],0.6,,
