,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,4.5,1.5,0.5,0.6,2.0,-1.5,7.0,10.5,西,18.4,西北西,西北西,0.1,,
2,0.0,0.0,0.0,2.6,3.9,0.8,5.6,8.6,西,17.0,西北西,西,1.5,,
3,1.0,1.0,0.5,3.7,5.4,2.2,4.8,7.4,西北西,14.1,西,西北西,0.9,,
4,1.0,0.5,0.5,1.4,3.1,-1.4,3.6,7.2,西北西,12.3,北西,西北西,0.7,,
5,2.0,0.5,0.5,1.7,2.8,-0.1,5.7,8.1,北西,14.5,北西,北西,1.3,,
6,0.0,0.0,0.0,3.2,5.5,-2.9,4.1,6.8,西北西,12.3,西北西,西北西,1.6,,
7,0.0,0.0,0.0,-0.6,3.3,-5.9,1.2,3.5,北東,5.6,北東,北東,2.5,,
8,25.0,4.5,1.5,3.1,5.1,0.5,3.9,6.6,北東,10.4,北東,東北東,0.0,,
9,5.5,2.5,1.0,4.0,6.0,1.0,2.6,7.6,北東,14.3,北東,北北東,0.1,,
10,1.0,1.0,0.5,2.7,6.0,0.1,0.8,2.4,南南西,4.0,西北西,東北東,2.0,,
11,7.0,3.0,1.0,1.8,4.6,-0.5,1.8,4.4,南南東,7.8,南南東,南南東,0.9,,
12,0.0,0.0,0.0,2.4,6.3,-0.5,1.3,4.8,南,6.6,南,南南東,1.8,,
13,0.0,0.0,0.0,1.6,5.4,-1.8,1.4,3.8,北西,7.6,北西,北,2.0,,
14,0.0,0.0,0.0,0.5,4.6,-2.6,1.4,4.3,東北東,6.9,東北東,北北東,3.0,,
15,5.5,2.0,1.0,1.7,5.4,-3.0,2.7,5.7,西,11.2,北北西,北北東,3.9,,
16,1.5,0.5,0.5,1.5,3.7,-1.8,2.8,5.7,西北西,9.9,西北西,西北西,0.1,,
17,0.0,0.0,0.0,2.9,5.5,0.0,3.1,6.4,西南西,11.5,西南西,西,2.7,,
18,0.0,0.0,0.0,0.9,4.0,-1.4,2.4,5.3,東北東,8.8,東北東,北東,8.4,,
19,3.5,2.0,1.0,1.4,6.0,-3.7,1.6,5.4,東南東,7.5,東南東,南南東,3.3,,
20,8.5,2.0,1.0,3.6,7.1,0.6,3.4,8.1,西北西,15.1,西,北西,2.9,,
21,2.0,1.0,0.5,1.8,3.0,0.5,4.8,8.0,北西,15.8,北北西,北西,1.3,,
22,0.0,0.0,0.0,2.5,5.4,-1.1,2.0,3.9,南,6.8,南,南南西,1.1,,
23,2.0,1.5,0.5,3.7,8.1,-2.9,0.9,3.3,南,5.1,南,南南東,1.9,,
24,2.5,2.0,1.5,0.7,5.6,-3.1,3.2,6.7,北北西,13.1,北北西,西北西,0.6,,
25,0.0,0.0,0.0,0.7,2.0,-0.4,3.4,5.6,西北西,10.2,西北西,北西,0.8,,
26,0.0,0.0,0.0,0.8,4.4,-5.4,2.0,4.9,西北西,9.2,西,北西,5.3,,
27,0.0,0.0,0.0,3.3,6.6,-0.7,2.4,4.0,北西,8.9,西,北北西,5.4,,
28,6.5,2.0,0.5,3.9,8.5,0.2,2.5,5.1,東,8.7,東,東北東,0.0,,
29,33.5,3.5,1.0,5.1,6.4,3.5,2.5,5.1,東北東,8.7,東,北東,0.0,,
30,5.0,1.5,0.5,5.6,8.2,3.4,3.2,5.9,北西,11.1,西北西,北西,0.0,,
31,2.5,0.5,0.5,4.5,5.8,3.0,5.9,8.4,北西,14.7,西北西,北西,0.2,,
