,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,2.0,0.5,0.5,-3.1,-2.0,-4.6,5.7,10.2,北西,16.4,北西,北西,0.0,,
2,0.0,0.0,0.0,-1.3,0.0,-3.3,5.2,7.2,北西,14.6,西北西,北西,0.0,,
3,2.0,1.0,0.5,-0.2,2.1,-2.0,3.5,6.7,北西,12.9,北北西,北西,0.4,,
4,1.0,0.5,0.5,-2.8,-1.2,-7.7,2.3,5.6,北西,9.6,北西,北西,0.0,,
5,0.0,0.0,0.0,-3.4,-1.0,-6.9,1.9,4.9,北西,10.2,西北西,北西,0.0,,
6,0.0,0.0,0.0,-0.8,1.7,-4.3,2.8,6.5,北西,12.8,北西,北西,0.0,,
7,0.0,0.0,0.0,-3.5,0.9,-8.9,1.4,3.2,東南東,5.5,東,東南東,2.4,,
8,21.0,3.0,1.0,0.9,2.5,-2.1,2.6,4.6,南南東,9.9,東南東,東南東,0.0,,
9,3.5,1.0,0.5,1.2,2.8,0.0,1.2 ),5.2 ),南南東 ),11.8 ),南南東 ),南南東 ),0.0,,
10,0.0,0.0,0.0,0.7,3.4,-1.0,0.9,2.2,北西,3.8,北西,南東,2.7,,
11,4.0,2.0,0.5,0.4,4.6,-2.3,0.8,3.2,北西,4.9,北北西,西北西,1.5,,
12,0.0,0.0,0.0,0.5,2.7,-0.9,1.2 ),3.6 ),北西 ),5.8 ),北西 ),北西 ),2.0,,
13,0.0,0.0,0.0,-1.1,1.4,-5.0,1.0,4.3,北西,7.6,北北西,西北西,0.0,,
14,0.0,0.0,0.0,-3.5,-0.4,-6.4,0.9,2.8,西北西,4.4,南東,東南東,0.0,,
15,1.5,1.0,0.5,-2.2,2.8,-7.4,1.7,3.4,南東,7.1,東南東,東南東,2.5,,
16,1.0,0.5,0.5,-1.4,-0.2,-2.9,2.8,5.6,北西,9.9,西北西,北西,0.2,,
17,0.5,0.5,0.5,-0.8,1.2,-3.5,2.9,5.9,北西,11.8,北西,北西,0.0,,
18,0.0,0.0,0.0,-2.7,0.5,-6.7,1.3,3.9,南南東,7.3,南東,南東,3.9,,
19,0.0,0.0,0.0,-3.1,1.7,-8.3,0.9,2.0,南東,4.1,南東,南東,4.3,,
20,2.0,1.0,0.5,0.6,3.8,-1.2,2.3,8.2,北西,14.2,西北西,北西,0.0,,
21,1.0,0.5,0.5,-1.3,0.0,-2.4,3.1 ),6.8 ),北西 ),12.6 ),北西 ),北西 ],0.3,,
22,0.0,0.0,0.0,-0.1,3.3,-3.1,1.5,6.5,北西,12.0,北西,北西,0.4,,
23,0.5,0.5,0.5,1.2,6.0,-3.2,0.5,2.9,西北西,5.4,西南西,西北西,2.2,,
24,1.0,0.5,0.5,-1.3,2.8,-3.5,2.7,6.7,北西,13.0,北西,北西,0.6,,
25,0.0,0.0,0.0,-2.7,-1.0,-3.7,4.3,6.8,北西,12.6,北西,北西,1.1,,
26,0.0,0.0,0.0,-2.2,1.2,-4.9,2.0,5.9,北西,12.1,北西,北西,3.4,,
27,0.0,0.0,0.0,-0.4,3.0,-4.3,1.6,4.8,南南東,11.1,南南東,南東,5.3,,
28,2.0,1.5,0.5,2.5,5.1,0.1,3.4,5.5,東南東,12.8,東,東南東,1.5,,
29,43.0,4.5,1.0,2.8,4.3,1.4,2.5,4.8,南南東,10.4,南東,南東,0.0,,
30,4.5,3.0,0.5,2.7,4.9,1.2,1.5,4.7,北西,8.6,西北西,北西,0.0,,
31,0.0,0.0,0.0,2.2,4.0,0.9,4.2,7.5,北西,14.1,北西,北西,0.2,,
