,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-6.3,-4.7,-7.7,1.4,2.7,北,5.3,西北西,南南東,2.3,,
2,0.0,0.0,0.0,-5.3,-2.8,-9.9,2.1,4.9,西,9.4,西,西北西,4.8,,
3,1.0,0.5,0.5,-3.5,-0.7,-6.5,2.3,6.9,北西,14.0,西北西,北西,3.2,,
4,8.0,2.0,0.5,-6.8,-4.7,-10.3,2.1,4.9,西北西,9.1,西,北西,0.9,,
5,2.5,2.0,1.0,-8.3,-3.4,-14.8,1.2 ),4.7 ),北北西 ),8.0 ),北北西 ),南南西 ),0.9,,
6,0.0,0.0,0.0,-3.6,-0.9,-7.6,3.2,7.1,北西,12.8,北北西,北西,1.1,,
7,0.0,0.0,0.0,-6.1,0.8,-11.0,1.8,4.3,北北東,7.2,北北東,北北東,4.9,,
8,0.0,0.0,0.0,-7.0,-2.5,-13.9,1.2,6.5,北,9.7,北北東,北北西,0.0,,
9,0.0,0.0,0.0,-6.6,-2.0,-12.6,3.1,5.9,北北東,9.1,北,北,8.2,,
10,0.0,0.0,0.0,-10.0,-4.0,-16.0,1.3,3.7,北北東,6.1,北北東,北,8.6,,
11,0.5,0.5,0.5,-6.3,0.0,-12.6,0.9,2.6,北,4.3,北,南東,3.8,,
12,0.0,0.0,0.0,-4.2,0.3,-10.8,0.8,2.3,北北西,3.9,北北西,北,1.3,,
13,0.0,0.0,0.0,-5.9,-1.8,-11.7,0.7,2.0,北北東,4.6,北北西,南南東,6.1,,
14,0.0,0.0,0.0,-6.9,-1.6,-14.7,1.1,2.3,西北西,4.4,北西,南南東,4.6,,
15,0.0,0.0,0.0,-9.1,-5.0,-15.3,0.8,2.3,北,3.1,北北東,北,6.6,,
16,0.0,0.0,0.0,-5.9,-3.1,-10.0,1.2,3.8,北北西,5.6,北,南,5.8,,
17,0.0,0.0,0.0,-5.7,-0.7,-10.5,1.1,3.3,北,5.4,北,南南東,3.4,,
18,0.0,0.0,0.0,-9.0,-5.0,-13.2,0.9,3.7,北北東,5.4,北北東,北,8.6,,
19,0.0,0.0,0.0,-8.3,-1.2,-16.3,1.0,2.6,北北東,4.4,南南東,南,6.4,,
20,3.0,1.0,0.5,-2.5,-1.0,-4.2,1.9,3.5,北北西,6.8,北西,北,0.7,,
21,6.0,1.0,0.5,-3.3,-0.8,-5.2,2.9,6.5,北西,12.1,北西,北西,2.6,,
22,0.0,0.0,0.0,-1.9,2.6,-8.7,2.6,4.7,南南東,7.4,南南東,南南東,5.1,,
23,0.0,0.0,0.0,-3.1,1.5,-13.8,1.1,3.2,北北西,5.2,北北西,北北東,8.6,,
24,4.0,1.0,0.5,-6.9,-1.6,-15.4,3.4,7.5,北西,13.9,北西,北西,3.0,,
25,4.5,1.0,0.5,-6.5,-5.0,-8.1,3.6,5.8,北西,11.1,北西,北西,1.6,,
26,0.0,0.0,0.0,-8.2,-4.9,-10.2,1.1,3.2,北,4.9,南東,北,5.2,,
27,0.5,0.5,0.5,-5.7,-0.1,-12.7,1.6,5.1,北北西,8.1,北北西,北北西,4.9,,
28,0.0,0.0,0.0,-7.2,1.0,-17.9,1.6,5.1,南,8.8,南,南南東,6.3,,
29,1.0,0.5,0.5,-1.9,0.3,-4.9,0.9,3.3,南南東,6.1,南南東,北北西,0.0,,
30,0.0,0.0,0.0,0.6,2.2,-1.3,5.8,8.8,北,14.3,北北西,北北西,0.9,,
31,0.0,0.0,0.0,-0.6,1.3,-3.1,6.9,8.8,北,15.3,北北西,北,0.0,,
