,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-5.5,-3.8,-7.5,5.2,10.0,南西,16.5,西南西,南西,3.5,3.0,5.0
2,0.0,0.0,0.0,-4.5,-1.9,-8.4,3.7,7.4,西,14.6,西南西,南西,4.5,0.0,4.0
3,0.0,0.0,0.0,-5.2,0.0,-10.2,2.8,9.7,西南西,14.3,西南西,西,5.9,3.0,7.0
4,0.0,0.0,0.0,-9.6,-4.8,-16.1,2.0,8.0,西南西,13.2,西南西,西北西,4.9,4.0,5.0
5,0.0,0.0,0.0,-9.8,-3.3,-16.9,1.9,5.4,西北西,8.7,西北西,西北西,4.2,1.0,5.0
6,0.0,0.0,0.0,-4.0,-1.1,-15.0,4.8,8.6,北西,14.2,北西,北西,3.0,5.0,6.0
7,0.0,0.0,0.0,-3.5,-1.1,-11.1,2.7,5.8,北北西,9.2,北北西,北北西,0.1,1.0,7.0
8,0.0,0.0,0.0,-5.0,-1.5,-12.0,0.9,2.6,北北西,3.6,東北東,北北西,0.1,1.0,7.0
9,0.0,0.0,0.0,-4.4,-2.7,-8.4,2.7,6.8,北北西,10.5,北北西,北北西,0.5,2.0,7.0
10,0.0,0.0,0.0,-6.3,-0.8,-11.8,2.0,6.0,北,9.0,北,北,6.4,2.0,7.0
11,0.0,0.0,0.0,-6.3,2.5,-13.0,1.1,4.1,南南東,6.7,南南西,北西,5.1,4.0,8.0
12,0.0,0.0,0.0,-6.8,-1.4,-12.6,0.9,3.9,北北東,5.5,北北東,北西,0.0,1.0,8.0
13,0.0,0.0,0.0,-6.3,-1.8,-12.3,1.2,5.0,北北東,6.1,北北東,西北西,1.8,2.0,8.0
14,0.0,0.0,0.0,-7.6,-0.2,-14.6,1.4,5.6,北,8.1,北,北,5.5,1.0,8.0
15,0.0,0.0,0.0,-5.6,-2.3,-9.8,1.0,4.0,北北東,5.0,北北東,北北西,5.6,1.0,9.0
16,0.0,0.0,0.0,-7.7,-1.7,-12.6,0.9,3.7,北西,6.0,北西,東北東,5.7,2.0,9.0
17,0.0,0.0,0.0,-8.5,-0.7,-13.9,1.3,5.3,北東,7.4,北東,北北東,6.0,1.0,9.0
18,0.0,0.0,0.0,-10.1,0.1,-17.3,1.1,5.0,北北東,7.3,北東,北,8.0,0.0,9.0
19,0.0,0.0,0.0,-8.7,-1.0,-15.2,0.8,3.7,北,4.6,北,北北西,7.5,0.0,9.0
20,3.0,1.0,0.5,-5.7,-2.4,-9.6,0.8 ),3.3 ),北 ),3.8 ),北 ),北 ],0.0,7.0,15.0
21,0.5,0.5,0.5,-5.8,-3.3,-9.8,3.1 ],6.5 ],北 ],9.8 ],北西 ],北西 ],1.9,5.0,20.0
22,0.0,0.0,0.0,-7.4,1.6,-18.0,1.8,7.3,西南西,11.9,西南西,南南西,7.2,3.0,19.0
23,0.0,0.0,0.0,-4.2,0.5,-12.6,2.0,6.8,北,8.9,北,北,1.5,0.0,17.0
24,0.0,0.0,0.0,-8.0,-1.2,-15.2,3.1,9.7,西北西,14.5,西北西,西北西,1.5,2.0,17.0
25,0.0,0.0,0.0,-8.7,-6.3,-11.8,4.9,9.2,北北西,16.1,北西,西北西,1.9,2.0,15.0
26,0.0,0.0,0.0,-10.2,-4.3,-16.1,2.2,6.3,西北西,11.2,北西,西南西,7.5,3.0,15.0
27,0.0,0.0,0.0,-8.5,-3.2,-16.6,2.2,7.0,北北西,11.5,北西,北,2.6,4.0,16.0
28,0.0,0.0,0.0,-11.3,-0.3,-19.7,1.0,3.5,北北西,4.4,北北西,北西,8.3,0.0,15.0
29,0.0,0.0,0.0,-5.1,2.2,-16.1,2.1,6.6,南南東,11.2,南,南南東,0.3,1.0,16.0
30,11.0,2.0,0.5,-0.6,0.6,-2.0,4.0,7.1,北北東,11.2,北北東,北北東,0.0,21.0,36.0
31,37.5,4.0,1.0,-1.1,-0.3,-2.8,6.5,8.4,北,13.4,北,北,0.0,47.0,83.0
