,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-6.3,-3.9,-8.4,3.0 ),5.9 ),西南西 ),12.5 ),南西 ),南西 ),6.3,0.0,15.0
2,0.0,0.0,0.0,-5.0,-3.7,-7.3,2.8,5.4,西,12.7,西,南西,1.2,2.0,13.0
3,1.0,0.5,0.5,-4.2,-2.3,-7.3,1.9,4.1,南西,9.3,北西,西南西,3.0,8.0,17.0
4,2.5,1.5,0.5,-6.9,-5.8,-8.2,3.1,5.1,西,13.3,西,西,0.4,8.0,21.0
5,5.5,2.0,1.0,-6.0,-4.7,-7.7,3.0,6.1,西,14.2,南南西,西南西,0.0,12.0,31.0
6,2.5,1.0,1.0,-3.6,-1.6,-5.7,4.4,7.4,北西,16.4,西北西,北西,0.2,6.0,32.0
7,1.0,0.5,0.5,-2.9,-1.7,-4.5,1.8,5.3,北西,11.7,北北西,北,0.0,0.0,30.0
8,0.0,0.0,0.0,-3.8,-1.9,-7.0,0.5,1.4,南南東,3.3,南南東,南南東,2.5,1.0,27.0
9,1.0,0.5,0.5,-3.9,-2.5,-5.5,2.2,3.6,北西,8.5,北北西,北,0.0,0.0,25.0
10,0.0,0.0,0.0,-5.1,-2.7,-8.5,1.9,4.5,北西,10.5,北北西,北北西,3.0,1.0,23.0
11,0.5,0.5,0.5,-2.7,0.7,-8.5,0.8,3.8,南東,8.6,東南東,南西,4.8,1.0,23.0
12,0.0,0.0,0.0,-2.3,0.1,-4.2,0.4,1.2,南東,2.6,東南東,南南東,0.7,5.0,25.0
13,4.0,2.5,0.5,-4.3,-2.7,-7.3,0.4,2.1,南西,3.8,西,南南東,0.0,16.0,34.0
14,0.0,0.0,0.0,-5.5,-2.6,-8.1,1.0,2.9,南西,5.2,西南西,南南西,6.4,2.0,33.0
15,1.0,0.5,0.5,-6.2,-4.2,-9.1,0.4,1.7,西南西,3.8,西南西,南東,2.8,4.0,32.0
16,0.0,0.0,0.0,-6.0,-4.2,-8.7,1.3,3.0,南西,5.9,西,南南東,1.8,2.0,30.0
17,0.0,0.0,0.0,-5.3,-1.9,-8.2,0.8,3.0,南西,5.3,南西,南,6.9,2.0,29.0
18,1.0,0.5,0.5,-6.6,-2.8,-9.5,0.6,1.9,南南東,3.7,南南東,南南東,7.6,13.0,32.0
19,0.0,0.0,0.0,-6.8,-3.0,-9.8,0.5,2.0,南南東,3.7,南南東,南南東,7.5,0.0,30.0
20,3.5,1.0,0.5,-4.0,-1.1,-7.4,0.4 ),2.0 ),西南西 ),3.8 ),南西 ),南南東 ],0.0,8.0,35.0
21,2.0,1.0,0.5,-4.6,-3.0,-6.4,2.3 ),5.1 ),北西 ),12.1 ),北西 ),北北西 ),0.2,7.0,39.0
22,0.5,0.5,0.5,-2.2,3.1,-7.3,1.8,4.2,北西,11.0,北西,南,4.2,4.0,40.0
23,0.5,0.5,0.5,-2.6,3.3,-6.5,1.1,4.7,南西,9.0,西南西,北,0.5,2.0,38.0
24,0.0,0.0,0.0,-5.1,-0.9,-7.2,2.5,7.1,北西,16.6,北西,西北西,1.1,2.0,37.0
25,2.0,1.5,0.5,-8.6,-6.6,-10.6,5.1,9.1,北西,18.3,北西,北西,0.2,10.0,42.0
26,0.5,0.5,0.5,-8.2,-5.6,-11.0,2.8,4.9,北西,11.7,西北西,北西,1.1,2.0,41.0
27,0.5,0.5,0.5,-6.5,-4.8,-10.8,2.3,4.7,北西,10.2,北北西,北,0.5,5.0,41.0
28,0.0,0.0,0.0,-7.6,-4.2,-11.6,0.5,1.6,南,2.9,南南東,南,7.9,1.0,39.0
29,0.0,0.0,0.0,-3.2,0.9,-8.5,1.3,5.4,南,11.6,南,東北東,2.8,2.0,38.0
30,23.5,3.5,1.0,0.9,3.3,-0.5,3.0,5.7,北東,11.8,東南東,北東,0.0,16.0,53.0
31,9.0,1.5,0.5,-0.8,2.4,-2.6,2.5,5.2,北北東,11.7,北,北東,0.0,15.0,56.0
