,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,5.4,10.9,1.1,2.9,6.1,北西,9.5,北西,西,9.2,,
2,0.0,0.0,0.0,6.7,12.6,0.8,2.7,5.3,北西,8.8,北北西,西,9.2,,
3,0.0,0.0,0.0,5.3,13.2,-2.5,1.2,4.3,北西,6.9,北北西,北西,7.5,,
4,0.0,0.0,0.0,6.7,11.5,3.0,3.4,8.0,北西,12.2,北北西,西北西,9.3,,
5,0.0,0.0,0.0,4.6,8.1,2.1,3.7,6.1,北北西,10.7,北北西,北西,5.7,,
6,0.0,0.0,0.0,6.1,10.7,1.9,4.8,8.5,北北西,15.2,北北西,西北西,8.6,,
7,0.5,0.5,0.5,3.2,7.8,-2.4,0.7,1.7,西北西,3.0,南南東,西,2.4,,
8,3.0,2.5,1.0,5.8,12.2,3.2,1.1,3.8,西,8.2,北東,西,4.0,,
9,0.0,0.0,0.0,9.2,13.0,1.7,5.3,10.7,北西,16.2,北北西,北西,9.3,,
10,0.0,0.0,0.0,6.0,12.4,0.4,2.5,7.1,北西,10.6,北西,北北西,8.2,,
11,0.0,0.0,0.0,4.6,10.0,1.5,1.0,2.1,西,4.2,南南東,西,4.0,,
12,0.0,0.0,0.0,5.4,9.9,-0.2,1.2,3.5,西,6.9,西,西,0.7,,
13,0.0,0.0,0.0,7.6,14.6,0.9,1.3,3.8,南東,6.7,南東,西,7.1,,
14,0.0,0.0,0.0,7.2,12.7,1.4,1.2,3.4,東南東,6.2,東,西南西,6.5,,
15,0.5,0.5,0.5,7.4,12.9,4.2,2.9,6.9,北西,11.9,北北西,西北西,4.1,,
16,0.0,0.0,0.0,5.8,11.6,1.1,2.4,5.3,北西,8.5,西北西,北西,8.3,,
17,0.0,0.0,0.0,5.8,10.9,1.5,1.8,5.2,西北西,7.6,西北西,西北西,5.2,,
18,0.0,0.0,0.0,4.2,6.1,2.4,1.8,4.4,西,7.8,西,西,0.0,,
19,0.0,0.0,0.0,6.2,11.9,1.5,2.6,5.1,西北西,8.7,北西,西,8.0,,
20,0.0,0.0,0.0,7.3,14.0,-0.9,2.2,5.2,北西,8.7,北西,北西,9.6,,
21,0.0,0.0,0.0,6.0,9.2,2.7,5.2,9.0,北北西,15.8,北,北西,9.4,,
22,0.0,0.0,0.0,3.7,9.8,-3.1,1.1,4.4,西,7.3,西,北西,8.3,,
23,0.5,0.5,0.5,5.5,10.1,0.4,0.9,2.4,北北西,3.9,北,西北西,1.0,,
24,0.0,0.0,0.0,7.8,16.0,1.1,2.6,6.3,北西,10.8,北西,北西,8.9,,
25,0.0,0.0,0.0,6.6,10.7,4.4,3.6,8.4,西北西,13.7,西北西,西北西,8.5,,
26,0.0,0.0,0.0,5.5,9.4,3.0,1.2,3.9,西,5.9,西,西,1.9,,
27,2.0,1.5,0.5,4.0,6.6,1.1,1.0,4.1,西,6.1,西,南南西,0.1,,
28,23.0,4.5,1.0,3.6,6.3,0.4,1.6,3.5,西,5.6,西,北西,0.0,,
29,26.5,5.5,2.0,11.9,18.6,6.1,3.9,6.8,北北西,12.1,北北西,西北西,6.7,,
30,0.0,0.0,0.0,10.8,17.6,5.7,4.3,6.4,西北西,11.0,西南西,西北西,8.3,,
31,0.0,0.0,0.0,6.4,10.8,2.4,5.1,7.9,北西,13.1,北北西,北西,7.8,,
