,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.5,0.5,0.5,-5.9,-4.2,-7.9,2.0,5.8,西,11.2,西,西,4.5,4.0,7.0
2,1.0,1.0,0.5,-3.4,-1.1,-6.0,1.8,4.3,西北西,9.4,西,西,1.4,3.0,10.0
3,0.5,0.5,0.5,-3.3,1.0,-8.0,1.8,4.9,西北西,11.0,西,西北西,3.0,2.0,8.0
4,1.5,0.5,0.5,-6.5,-2.4,-12.1,1.4,3.7,西北西,6.9,西,北,4.5,4.0,12.0
5,2.5,1.0,0.5,-6.8,-2.1,-11.7,1.8,3.7,西北西,8.3,西北西,北北西,1.2,9.0,17.0
6,0.0,0.0,0.0,-2.4,0.0,-8.5,2.1,5.1,北西,10.8,北西,北北西,2.3,0.0,15.0
7,0.0,0.0,0.0,-3.1,3.6,-9.4,1.9,3.3,北北西,5.1,北北東,北,3.2,0.0,11.0
8,2.5,1.0,0.5,0.0,3.1,-4.3,2.3,4.5,北東,6.2,北北東,北,0.0,0.0,9.0
9,0.0,0.0,0.0,-3.0,1.9,-9.3,1.5 ],3.5 ],北西 ],6.8 ],北西 ],北北西 ],6.5,0.0,7.0
10,0.0,0.0,0.0,-4.5,2.6,-10.6,1.6,2.7,北北西,3.9,北,北,7.7,0.0,7.0
11,3.0,3.0,1.5,-1.4,4.1,-6.2,2.0,3.2,北,7.6,西南西,北,4.2,4.0,11.0
12,0.0,0.0,0.0,-2.3,1.2,-5.3,1.5,2.9,西,5.6,西,北,2.1,0.0,11.0
13,0.0,0.0,0.0,-5.9,-0.4,-10.6,1.6,3.3,北西,6.7,北北西,北,2.2,0.0,10.0
14,0.0,0.0,0.0,-5.5,0.4,-11.2,2.0,4.0,北北西,7.0,北北西,北北西,4.4,0.0,10.0
15,0.0,0.0,0.0,-2.9,1.3,-9.2,1.9,4.0,北東,6.2,北東,北,3.5,0.0,10.0
16,0.0,0.0,0.0,-4.0,-0.4,-7.4,1.7,3.9,西,7.5,西,北,5.1,0.0,10.0
17,0.0,0.0,0.0,-4.4,-0.5,-10.0,1.6,3.7,北西,6.6,北西,北,3.4,0.0,10.0
18,0.0,0.0,0.0,-3.9,1.0,-8.0,1.8,3.2,北北東,5.2,北北東,北,4.8,1.0,11.0
19,0.0,0.0,0.0,-2.2,2.4,-8.7,1.7,2.8,北北西,5.1,南南東,北北西,6.4,1.0,11.0
20,0.0,0.0,0.0,-0.1,3.3,-4.4,1.9,4.2,北北西,8.0,北北西,北北西,0.8,4.0,11.0
21,9.5,2.5,1.0,-4.2,-1.2,-9.0,1.2,3.5,西北西,8.7,西北西,北,0.8,25.0,33.0
22,8.0,3.0,0.5,-3.1,2.8,-11.8,1.4,2.8,北北西,4.6,南南西,北,3.7,0.0,30.0
23,0.0,0.5,0.0,-2.2,3.8,-8.1,1.2,3.3,北北西,4.9,北北西,北北西,7.1,1.0,21.0
24,0.5,0.5,0.5,-4.9,-0.7,-9.6,2.6,5.6,西北西,11.9,北,北北西,2.4,3.0,23.0
25,0.0,0.0,0.0,-5.0,-3.6,-6.5,1.7,3.6,北北西,9.3,西北西,西北西,3.1,5.0,24.0
26,0.0,0.0,0.0,-4.2,-1.5,-8.8,1.9,3.5,北,6.9,西,北,5.7,9.0,21.0
27,0.0,0.0,0.0,-2.4,2.5,-7.7,2.0,4.0,北北西,7.7,北西,北北西,6.1,0.0,21.0
28,0.0,0.0,0.0,-2.2,2.6,-10.6,2.2,4.2,北,9.1,南南東,北北西,1.3,1.0,22.0
29,12.5,2.0,0.5,1.9,4.8,0.2,1.8,2.9,北北東,6.8,北東,北,0.0,4.0,22.0
30,1.0,0.5,0.5,2.8,6.2,-0.1,2.6,5.8,北,11.2,北,北,0.7,3.0,19.0
31,0.0,0.0,0.0,2.1,4.0,-1.4,2.9,6.0,北,11.0,北,北,0.8,2.0,16.0
