,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-6.1,-2.5,-8.7,1.6,4.7,南南西,8.0,南西,南西,3.2,1.0,3.0
2,0.0,0.0,0.0,-5.7,-1.8,-10.2,0.9,5.0,北北西,8.0,南西,南西,1.4,3 ),8 )
3,0.0,0.0,0.0,-4.9,-0.4,-9.9,1.0,4.5,西北西,11.9,北北西,西北西,2.1,3.0,8.0
4,0.0,0.0,0.0,-7.0,-3.8,-9.8,0.9,4.1,北北西,8.2,北西,北西,2.5,4.0,8.0
5,0.0,0.0,0.0,-8.8,-3.0,-14.4,0.8,4.5,北西,8.8,北西,西北西,4.0,1.0,9.0
6,0.5,0.5,0.5,-6.2,-1.5,-11.4,1.2,5.1,北西,10.0,北北西,北西,3.0,3.0,11.0
7,0.0,0.0,0.0,-5.9,1.7,-12.2,1.0,4.2,北,6.8,北,北,6.9,0.0,8.0
8,0.0,0.0,0.0,-3.5,0.3,-11.0,1.7,6.1,北,8.6,北,北,0.0,2.0,9.0
9,0.0,0.0,0.0,-4.5,0.7,-11.5,2.3,5.9,北,9.5,北北東,北,8.0,0.0,9.0
10,0.0,0.0,0.0,-7.7,1.8,-14.6,0.7,2.8,北北西,4.6,北西,北,7.2,0.0,8.0
11,3.0,2.5,1.0,-4.0,2.0,-10.9,0.7,2.9,北,3.9,北,北,1.0,6.0,14.0
12,0.0,0.0,0.0,-5.8,0.6,-10.7,0.3,1.9,南西,3.2,南西,北北東,1.3,0.0,12.0
13,0.0,0.0,0.0,-6.9,-0.5,-13.4,0.8,3.5,北,5.7,北,東北東,6.6,1.0,10.0
14,0.0,0.0,0.0,-8.6,-0.1,-15.0,0.6,2.6,北北東,4.4,西,北,4.3,0.0,10.0
15,0.0,0.0,0.0,-9.0,1.4,-15.5,0.7,2.0,北,2.7,北,北東,7.4,0.0,10.0
16,0.0,0.0,0.0,-8.1,-0.1,-14.9,0.9,5.2,北北西,8.8,北西,東北東,5.9,1.0,11.0
17,0.0,0.0,0.0,-8.9,-0.9,-15.5,0.7,3.8,北西,6.6,北西,北東,4.2,0.0,10.0
18,0.0,0.0,0.0,-8.2,1.3,-14.8,0.7,3.1,南西,5.4,南西,北,7.7,0.0,10.0
19,0.0,0.0,0.0,-5.8,2.1,-12.1,0.6,1.9,北北東,2.9,北北東,北北東,7.2,0.0,10.0
20,1.5,1.5,0.5,-3.0,0.8,-9.1,0.8,2.2,北,3.9,西北西,東南東,0.4,7.0,15.0
21,1.0,1.0,0.5,-5.9,-1.1,-12.2,1.2,6.0,北西,11.2,北西,西北西,2.3,7.0,19.0
22,1.0,1.0,0.5,-5.8,1.6,-15.8,0.5,3.7,南,5.9,南,北,5.0,4.0,19.0
23,0.0,1.0,0.0,-4.4,3.3,-12.5,0.9,3.5,北北西,5.5,北西,東北東,7.3,5.0,19.0
24,2.5,1.0,0.5,-8.4,-2.5,-15.1,1.7,6.4,北西,13.6,北西,北西,2.3,15.0,27.0
25,2.0,1.5,0.5,-7.0,-4.6,-11.3,1.4,5.2,北西,10.0,北西,北西,4.8,6.0,29.0
26,0.0,0.0,0.0,-9.7,-3.6,-13.8,0.9,4.6,北北西,8.2,北西,北,7.0,2.0,28.0
27,0.0,0.0,0.0,-8.0,0.1,-14.7,1.0,5.2,北北西,9.3,北,北,5.1,6.0,26.0
28,0.0,0.0,0.0,-9.1,1.7,-18.9,0.8,3.7,南南西,5.3,南南西,東北東,5.6,3.0,23.0
29,0.0,0.0,0.0,-0.8,3.2,-8.1,1.9,5.4,北,7.8,北,北,0.0,2.0,23.0
30,0.0,0.0,0.0,3.1,5.5,1.0,4.9,9.6,北,15.0,北,北,0.9,4.0,20.0
31,0.0,0.0,0.0,1.7,3.7,-0.4,3.8,8.3,北,11.6,北,北,0.2,1.0,15.0
