,降水量 (mm),気温,風速 (m/s),風向,日照時間 (h),降雪 (cm),積雪 (cm)
1,0.0,3.6,2.6,北,,,
2,0.0,4.3,3.4,北,,,
3,0.0,3.7,3.4,北,,,
4,0.0,3.3,2.7,北,,,
5,0.0,2.6,2.3,北北西,,,
6,0.0,-0.7,1.7,北,,,
7,0.0,-2.0,2.0,北北東,0.0,,
8,0.0,3.8,3.2,北,0.9,,
9,0.0,6.3,3.4,北,1.0,,
10,0.0,7.6,4.1,北北東,1.0,,
11,0.0,9.3,4.3,北北西,1.0,,
12,0.0,9.8,3.3,北西,1.0,,
13,0.0,9.7,3.5,北北西,0.7,,
14,0.0,8.8,4.0,北北西,0.6,,
15,0.0,8.7,4.5,北西,1.0,,
16,0.0,7.2,3.1,北北西,0.8,,
17,0.0,5.4,3.6,北,0.2,,
18,0.0,2.3,1.6,北,,,
19,0.0,3.8,4.6,北北西,,,
20,0.0,4.6,4.0,北,,,
21,0.0,5.1,4.0,北北西,,,
22,0.0,5.0,5.0,北北東,,,
23,0.0,3.7,4.0,北,,,
24,0.0,3.4,2.6,北北東,,,
