,降水量 (mm),気温,風速 (m/s),風向,日照時間 (h),降雪 (cm),積雪 (cm)
1,0.0,-1.7,0.4,北東,,,
2,0.0,-2.4,1.5,北,,,
3,0.0,-2.0,1.0,北,,,
4,0.0,-2.4,0.8,北北東,,,
5,0.0,-2.9,0.5,北,,,
6,0.0,-2.9,1.3,北,,,
7,0.0,-3.6,0.5,北,0.0,,
8,0.0,-2.2,0.5,北北西,0.2,,
9,0.0,0.7,1.1,北東,1.0,,
10,0.0,7.5,2.0,北西,1.0,,
11,0.0,8.5,3.6,北北西,1.0,,
12,0.0,8.7,3.0,北西,0.6,,
13,0.0,9.4,3.8,北北西,0.9,,
14,0.0,8.9,3.1,北西,0.2,,
15,0.0,8.0,2.3,北西,0.4,,
16,0.0,6.9,1.7,北北西,0.7,,
17,0.0,2.8,0.6,東南東,0.1,,
18,0.0,1.5,1.1,北北西,,,
19,0.0,0.4,0.9,北,,,
20,0.0,2.1,0.3,南南東,,,
21,0.0,3.7,0.9,北東,,,
22,0.0,3.7,1.7,北,,,
23,0.0,1.6,1.5,北,,,
24,0.0,1.0,0.1,静穏,,,
