,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.1,8.8,-4.7,0.7,3.2,南南東,5.1,南南東,南南東,8.2,,
2,0.0,0.0,0.0,2.0,11.5,-4.5,0.7,3.0,南南西,5.4,北,北西,8.5,,
3,0.0,0.0,0.0,2.6,11.5,-3.9,0.6,2.5,南南東,3.9,南東,北西,8.5,,
4,1.0,1.0,0.5,2.8,11.2,-3.2,1.0,7.2,北,11.9,北,北北西,8.5,,
5,0.0,1.0,0.5,1.6,8.3,-3.1,0.6 ),3.2 ),南 ),5.8 ),北 ),北北西 ),5.8,,
6,0.0,0.0,0.0,2.0,10.9,-5.0,0.7,4.3,北,6.4,北,北北西,8.4,,
7,8.0,2.0,0.5,2.2,8.3,-3.7,0.7,1.7,東北東,4.2,東南東,北北西,0.9,,
8,6.5,5.0,1.5,5.3,8.3,2.2,0.7,2.7,南,5.4,南,北西,0.4,,
9,0.0,0.0,0.0,5.8,14.0,-0.4,1.2,3.8,北,7.2,北,北北西,5.7,,
10,0.0,0.0,0.0,4.2,10.6,-1.3,1.0,3.4,南東,5.6,東南東,南南東,4.9,,
11,0.0,0.0,0.0,2.7,8.7,-2.4,0.5,1.9,南南西,2.8,西北西,北北西,0.4,,
12,0.0,0.0,0.0,3.9,10.6,-2.1,0.7,3.0,南東,4.6,南東,北北西,2.8,,
13,0.0,0.0,0.0,6.3,13.4,0.1,0.8,3.5,東南東,7.7,東,北北西,8.4,,
14,0.0,0.0,0.0,6.3,12.1,0.5,0.8,2.7,南東,6.3,南,北北西,6.1,,
15,4.5,2.0,0.5,4.5,8.7,-0.9,1.0,3.7,北,7.6,北,北西,2.2,,
16,0.0,0.0,0.0,2.3,10.0,-2.8,0.9,2.9,南東,4.6,南南東,南南東,8.0,,
17,0.0,0.0,0.0,4.7,10.9,-1.4,0.9,3.3,南東,5.4,東南東,北西,4.6,,
18,0.0,0.0,0.0,4.3,5.3,2.9,3.2,5.6,北,10.9,北,北,0.0,,
19,0.0,0.0,0.0,3.8,9.9,-2.1,1.1,3.9,南南東,6.9,南南東,北西,8.2,,
20,0.0,0.0,0.0,4.7,14.0,-2.3,0.7,3.1,北北西,7.4,北北西,北北西,8.8,,
21,0.0,0.0,0.0,3.1,9.7,-3.6,2.1,7.2,北北西,12.4,北,北北西,8.5,,
22,0.0,0.0,0.0,1.6,6.5,-5.3,0.4,1.1,北西,3.4,北西,北西,0.0,,
23,0.5,0.5,0.5,5.2,8.2,1.1,0.5,3.1,南,4.0,南,南,0.0,,
24,0.0,0.0,0.0,7.4,13.5,2.0,0.6,2.3,北北西,6.3,北北西,北北西,3.2,,
25,0.0,0.0,0.0,3.9,9.5,-1.5,1.0,3.5,南南東,6.6,北,北西,5.3,,
26,0.0,0.0,0.0,3.1,8.6,-1.3,0.6,2.4,南南西,3.5,南,南,1.4,,
27,1.0,1.0,0.5,2.7,6.3,-1.8,1.2,4.4,北,8.1,北,北,0.0,,
28,41.5,5.5,1.5,5.8,10.3,1.6,2.5,5.2,北,10.4,北,北,0.0,,
29,62.5,14.5,5.0,9.9,15.0,3.9,2.6,7.0,東南東,14.9,東南東,北北西,4.2,,
30,0.0,0.0,0.0,9.2,16.5,3.1,1.5,5.4,北北西,9.7,北,北北西,8.4,,
31,0.0,0.0,0.0,4.0,10.8,-2.4,1.5,7.1,北,12.4,北北西,北北西,6.0,,
