,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-5.0,-3.0,-6.5,3.9,7.0,南南西,15.3,西,南南西,8.4,,
2,0.0,0.0,0.0,-4.1,-2.3,-5.8,3.5,6.8,南南西,14.4,西,西南西,8.3,,
3,0.0,0.0,0.0,-2.2,0.1,-5.9,3.0,5.9,南南西,10.0,西南西,南西,8.4,,
4,0.0,0.0,0.0,-6.5,-3.9,-9.9,2.3,5.0,北,9.2,北,北北西,8.4,,
5,0.0,0.0,0.0,-5.3,-1.8,-8.1,2.1,4.8,南南西,9.2,南西,北北西,7.1,,
6,0.0,0.0,0.0,-3.5,0.1,-6.6,2.7,6.2,北,14.4,北北西,西北西,7.4,,
7,0.0,0.0,0.0,-3.0,-0.2,-6.2,3.6,6.6,北,14.7,北,北北東,5.1,,
8,0.0,0.0,0.0,-3.7,-1.3,-6.4,3.2,5.2,東北東,9.6,北東,北東,0.0,,
9,0.0,0.0,0.0,-4.0,-1.5,-7.3,2.9,5.6,北東,11.8,北,北,5.0,,
10,0.0,0.0,0.0,-4.7,-1.5,-7.9,2.5,4.8,北,10.2,北,北,8.2,,
11,1.0,1.0,0.5,-1.2,1.2,-4.5,2.0 ),5.4 ),南南西 ),9.2 ),南南西 ),南南東 ),1.0,,
12,0.0,0.0,0.0,-2.3,-0.5,-4.6,1.4 ],2.8 ],北 ],4.2 ],北北西 ],北 ],1.1,,
13,0.0,0.0,0.0,-4.2,-1.6,-6.3,1.5,3.2,北東,5.0,北,北東,2.9,,
14,0.0,0.0,0.0,-3.8,-1.9,-7.7,1.6,3.7,南南西,5.8,北,南西,5.4,,
15,0.0,0.0,0.0,-4.7,-1.7,-8.0,3.1,4.6,北東,8.5,北東,北東,8.3,,
16,0.0,0.0,0.0,-4.6,-2.2,-7.3,2.1,4.5,南南西,7.0,南南西,南南西,5.5,,
17,0.0,0.0,0.0,-3.3,-0.8,-6.8,2.4,5.3,南南西,8.8,南南西,南西,8.8,,
18,0.0,0.0,0.0,-5.0,-1.7,-7.8,3.1,5.2,北東,7.8,北東,北東,8.8,,
19,0.0,0.0,0.0,-4.9,-2.4,-8.5,2.2,4.5,北東,6.1,北東,北東,8.4,,
20,4.5,2.0,0.5,-2.9,-1.0,-4.1,4.7,8.5,北東,14.7,北東,北東,0.0,,
21,0.0,0.0,0.0,-5.0,-2.2,-8.1,2.9,5.4,北,10.6,北,北,8.2,,
22,0.0,0.0,0.0,-2.2,1.7,-8.0,3.1,9.5,南南西,13.0,南南西,南西,7.8,,
23,0.0,0.0,0.0,-0.6,2.8,-3.7,4.0,10.1,南南西,14.1,南南西,北東,8.0,,
24,0.0,0.0,0.0,-3.2,0.8,-9.4,2.5,5.5,南南西,14.2,西,北,5.9,,
25,0.0,0.0,0.0,-8.3,-4.8,-12.0,2.4,4.8,北,12.7,北,北北西,9.1,,
26,0.0,0.0,0.0,-8.8,-5.3,-13.7,2.3,4.7,北,8.6,北,南西,9.3,,
27,0.0,0.0,0.0,-5.4,-1.9,-9.0,2.6,5.7,北,11.1,北,北,8.1,,
28,0.0,0.0,0.0,-5.6,-3.4,-9.1,1.7,4.0,北,8.1,北北西,南南西,9.0,,
29,0.5,0.5,0.5,-2.0,-0.3,-4.6,4.8,8.1,北東,12.3,北東,北東,0.4,,
30,7.5,1.5,1.0,0.5,1.9,-1.1,8.3,11.6,北東,18.6,北東,北東,0.0,,
31,0.5,0.5,0.5,-0.3,0.8,-2.1,4.9,8.9,北東,14.9,北北東,北東,0.0,,
