,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-8.9,-6.5,-10.5,3.6,6.2,南西,13.5,南西,南西,6.4,0.0,0.0
2,0.0,0.0,0.0,-9.0,-4.5,-14.9,2.1,5.8,南西,12.6,西南西,南西,7.1,0.0,0.0
3,0.0,0.0,0.0,-8.0,-3.1,-15.2,1.9,5.3,南南西,11.3,南南西,南西,6.7,3.0,3.0
4,0.0,0.0,0.0,-12.6,-7.4,-17.7,0.5,3.0,西,6.2,西南西,西,5.1,1.0,3.0
5,0.0,0.0,0.0,-12.2,-4.9,-19.1,0.5,3.2,西北西,6.8,西南西,西北西,6.5,0.0,2.0
6,0.5,0.5,0.5,-7.2,-3.9,-13.9,2.2,5.3,北西,14.4,北北西,北西,2.6,3.0,4.0
7,0.0,0.0,0.0,-6.4,-4.1,-12.9,1.8,3.9,北北西,11.4,北西,北西,0.0,0.0,4.0
8,0.0,0.0,0.0,-8.5,-4.5,-14.5,0.5,2.6,南,5.9,東南東,南南東,0.0,0.0,3.0
9,0.0,0.0,0.0,-6.5,-4.7,-8.9,1.8,3.3,北北西,8.0,西北西,北西,0.0,2.0,5.0
10,0.0,0.0,0.0,-8.4,-3.8,-14.2,1.4,3.2,北,7.7,西,西北西,3.9,0.0,5.0
11,0.0,0.0,0.0,-8.4,-0.8,-15.5,0.7 ],3.0 ],南南東 ],7.3 ],南 ],東南東 ],3.0,3.0,6.0
12,0.0,0.0,0.0,-8.2,-1.0,-15.4,0.2 ],2.1 ],北東 ],2.9 ],北東 ],西南西 ],4.1,0.0,6.0
13,0.0,0.0,0.0,-7.6,-3.0,-12.1,0.4 ),2.6 ),北東 ),3.9 ),北北東 ),北東 ),1.4,0.0,5.0
14,0.0,0.0,0.0,-10.4,-2.9,-16.2,0.7 ],2.8 ],南西 ],5.5 ],西南西 ],南南西 ],7.5,0.0,5.0
15,0.0,0.0,0.0,-10.6,-4.1,-18.3,0.4,2.3,東,5.7,南東,東,4.8,0.0,5.0
16,0.0,0.0,0.0,-9.7,-3.7,-15.3,0.3,2.4,南西,6.0,南南西,北東,3.9,1.0,7.0
17,0.0,0.0,0.0,-11.1,-2.4,-18.0,0.4,3.1,南南西,6.7,南,南西,6.2,0.0,7.0
18,0.0,0.0,0.0,-11.7,-2.2,-18.8,0.2 ],1.0 ],南東 ],2.9 ],南南東 ],東南東 ],8.0,0.0,6.0
19,0.0,0.0,0.0,-11.1,-2.2,-17.3,0.4 ],1.8 ],東 ],4.9 ],北北東 ],北東 ],7.8,0.0,6.0
20,6.5,2.5,0.5,-6.9,-4.2,-12.4,0.5,1.7,東北東,4.0,東北東,西南西,0.0,20.0,26.0
21,0.0,0.0,0.0,-7.6,-5.3,-11.1,1.2,3.7,北西,9.9,北西,北西,2.5,0.0,25.0
22,0.0,0.0,0.0,-9.7,-1.4,-22.2,0.6,4.0,南南西,8.7,南南西,北北東,7.5,0.0,20.0
23,0.0,0.0,0.0,-4.6,-1.2,-10.2,1.0,2.7,北北東,6.6,東,北東,3.0,0.0,18.0
24,0.0,0.0,0.0,-7.9,-1.3,-13.4,1.4,4.9,南西,10.9,南西,北北西,5.7,1.0,17.0
25,0.0,0.0,0.0,-10.9,-6.8,-14.4,1.7,3.1,北北西,9.2,西,西北西,5.3,1.0,17.0
26,0.0,0.0,0.0,-13.5,-7.4,-20.7,1.1,3.4,北,9.2,北北西,西,8.1,0.0,16.0
27,0.0,0.0,0.0,-11.7,-5.0,-21.5,0.9,3.4,北北西,8.1,北,西北西,1.6,0.0,16.0
28,0.0,0.0,0.0,-11.1,-0.3,-19.6,0.4,2.2,東,4.8,南東,北東,7.9,0.0,16.0
29,0.0,0.0,0.0,-5.7,-2.9,-13.4,1.6,3.4,東,8.7,南南東,南東,0.0,2.0,16.0
30,27.0,4.0,1.0,-1.9,-0.9,-3.3,1.0 ],2.6 ],南東 ],6.4 ],東 ],北東 ],0.0,25.0,41.0
31,1.0,0.5,0.5,-2.4,-1.0,-4.3,3.5 ],5.1 ],北北西 ],15.5 ],北 ],北北西 ],0.0,3.0,42.0
