,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,7.6,9.5,5.2,2.5,4.3,北北西,7.9,北西,北西,2.1,,
2,0.0,0.0,0.0,10.1,12.3,6.9,2.4,4.3,北北西,8.5,北北西,北西,6.0,,
3,0.0,0.0,0.0,10.9,12.5,9.7,3.1,5.5,北北西,9.1,北北西,北西,2.6,,
4,0.0,0.0,0.0,9.5,13.1,4.8,3.2,5.2,北北西,10.5,北北西,北北西,8.8,,
5,0.0,0.0,0.0,11.5,14.3,7.2,2.9,5.8,北,9.8,北,北,5.9,,
6,5.5,3.0,1.0,12.4,17.1,7.9,1.6,5.2,東南東,10.7,東南東,南南東,0.0,,
7,19.5,16.5,13.0,19.0,20.1,16.1,6.3,10.7,南,21.7,南南西,南,0.0,,
8,2.0,11.0,0.5,11.9,17.1,9.3,5.2,8.9,西南西,21.4,西,西北西,2.1,,
9,0.0,0.0,0.0,10.1,11.6,9.0,3.6,4.9,北北西,9.5,北,北北西,1.3,,
10,0.0,0.0,0.0,10.6,13.4,7.2,2.6,4.9,北北西,8.1,北,北北東,8.8,,
11,0.0,0.0,0.0,10.4,14.1,8.3,1.6,4.4,北西,7.1,北西,南,2.7,,
12,0.0,0.0,0.0,9.2,10.5,7.9,3.9,6.1,北西,11.8,北北西,北西,1.3,,
13,0.0,0.0,0.0,8.7,10.1,7.8,3.4,5.6,北北西,10.7,北北西,北西,0.8,,
14,6.0,1.5,0.5,7.8,9.2,6.7,2.8,6.7,北北西,11.7,北北西,北北西,0.0,,
15,0.0,0.0,0.0,7.5,9.0,5.1,3.5,5.3,北北西,9.7,北西,北北西,1.5,,
16,0.0,0.0,0.0,8.3,10.9,4.6,1.7,3.4,北,7.0,北北東,南,0.0,,
17,3.0,2.0,1.0,9.9,12.0,5.9,2.8,5.9,北北西,10.1,北北西,北北西,0.0,,
18,3.0,2.5,1.0,9.9,11.3,8.8,4.3,6.9,北北西,11.5,北西,北北西,5.0,,
19,0.0,0.0,0.0,10.0,11.6,7.5,2.6,4.8,北北西,8.5,北北西,北西,0.8,,
20,0.0,0.0,0.0,10.2,11.7,8.8,3.8,5.8,北北西,10.1,北北西,北西,0.5,,
21,0.0,0.0,0.0,8.7,12.0,5.0,3.1,5.5,北北西,9.4,北北東,南,9.3,,
22,43.5,9.5,3.0,11.7,17.9,5.3,2.6,7.8,南,16.1,南,南,0.0,,
23,28.0,28.5,14.5,15.1,18.4,12.3,2.0,7.2,南,13.5,南,北,1.8,,
24,0.0,0.0,0.0,14.7,16.2,13.4,4.5,6.7,北東,12.2,北北東,北北東,1.4,,
25,15.0,4.0,1.0,12.3,14.1,9.7,4.1,8.2,北北東,13.4,北東,北北東,0.0,,
26,3.5,2.0,0.5,11.7,13.3,9.6,4.8,6.9,北東,14.8,北東,北東,0.1,,
27,66.0,11.5,4.5,10.7,12.5,9.2,8.1,11.8,北東,22.3,北東,北北東,0.0,,
28,6.0,2.0,1.0,12.0,14.4,10.7,5.2,7.6,北北西,13.5,北,北,1.0,,
29,16.5,5.5,4.5,9.7,12.3,6.6,2.3,6.2,北北東,11.1,北東,北,0.1,,
30,17.5,3.5,2.5,8.3,9.5,6.6,3.9,8.4,北西,13.8,北北西,北東,0.2,,
31,11.0,4.5,2.0,7.3,9.6,4.0,2.1,5.3,北北西,12.1,北北西,北北西,0.0,,
