,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.0,8.4,-2.3,2.0,4.7,西北西,8.2,北西,北西,,,
2,0.0,0.0,0.0,6.0,11.4,0.7,2.1,4.2,西北西,7.7,西北西,西北西,,,
3,0.0,0.0,0.0,6.8,12.0,2.8,2.2,4.8,西北西,8.7,西北西,西,,,
4,0.0,0.0,0.0,7.3,12.7,1.1,2.6,5.4,西北西,8.7,北西,北西,,,
5,0.0,0.0,0.0,10.0,13.3,3.8,3.8,6.3,東,9.8,東,東北東,,,
6,3.0,1.0,0.5,11.5,12.5,10.5,3.1,6.4,東,9.3,東,東南東,,,
7,16.0,14.5,10.5,16.8,19.0,12.2,8.9,16.4,南南西,23.1,南,南南西,,,
8,1.5,12.5,0.5,11.0,16.4,7.2,5.9,10.3,西,19.5,西北西,西,,,
9,0.0,0.0,0.0,9.4,12.9,6.5,2.1,4.0,西北西,7.7,北北東,西北西,,,
10,0.0,0.0,0.0,9.2,12.7,5.7,3.1,5.0,北,8.2,北北東,北北東,,,
11,0.0,0.0,0.0,9.2,13.8,5.5,1.9,4.1,西北西,6.7,西北西,北西,,,
12,0.0,0.0,0.0,8.2,10.4,6.8,3.6,7.2,西北西,12.3,西北西,西北西,,,
13,0.0,0.0,0.0,6.6,9.1,3.4,3.3,6.9,西北西,10.8,西北西,西,,,
14,6.0,3.5,1.0,4.7,7.0,1.2,1.9,4.2,北西,7.2,北北西,北西,,,
15,0.0,0.0,0.0,4.2,9.3,0.5,2.3,5.1,北西,8.2,西北西,北西,,,
16,0.0,0.0,0.0,6.1,10.1,2.2,2.0,3.7,北北東,5.7,北,北西,,,
17,4.0,1.0,0.5,7.7,12.1,4.9,2.5,6.2,北西,10.3,北北西,北西,,,
18,4.0,1.5,0.5,8.0,10.7,5.1,3.5,6.9,北西,12.3,北西,北西,,,
19,1.0,1.0,0.5,8.2,10.0,5.4,3.5,7.5,西北西,13.4,西北西,西北西,,,
20,0.0,0.0,0.0,8.0,9.9,5.9,3.5,5.7,西北西,10.8,西,西北西,,,
21,0.0,0.0,0.0,7.0,11.4,1.6,3.0,6.2,北東,9.8,北東,東北東,,,
22,28.5,5.0,2.0,11.3,13.2,6.2,3.5,5.5,東南東,7.2,東南東,東南東,,,
23,14.0,12.0,5.0,14.1,15.8,11.9,3.7,6.8,北東,8.7,北北東,北,,,
24,0.0,0.0,0.0,13.7,15.1,13.0,6.9,11.3,北東,15.9,北東,北北東,,,
25,9.0,3.5,1.0,11.6,13.3,9.7,7.3,11.0,北東,14.4,北東,北東,,,
26,0.5,1.0,0.5,11.9,13.3,9.6,6.9,12.5,北東,17.0,北東,東北東,,,
27,89.5,11.0,5.0,10.5,12.0,9.1,11.3,16.2,北東,22.1,北東,北東,,,
28,2.5,1.0,1.0,11.5,13.7,9.5,7.6,10.3,北,15.4,北,北,,,
29,17.0,4.0,1.5,9.6,11.5,7.2,4.5,8.1,北,12.3,北,北北東,,,
30,30.0,7.0,2.0,7.5,9.8,4.9,5.4,10.1,北,14.9,北,北,,,
31,5.0,3.0,1.0,7.5,10.7,3.9,4.2,9.2,北北東,12.9,北北東,北,,,
