,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.7,6.7,0.1,1.8,4.0,北西,8.2,西,西北西,7.1,,
2,0.0,0.0,0.0,7.2,9.9,2.3,2.1,4.2,西,7.8,西北西,西北西,5.9,,
3,0.0,0.0,0.0,8.3,10.4,6.4,2.3,4.2,西北西,8.3,西北西,西北西,6.6,,
4,0.0,0.0,0.0,8.3,11.3,5.2,2.4,4.8,北西,8.8,北北西,北西,8.7,,
5,0.0,0.0,0.0,9.2,12.5,6.3,2.2,4.2,東,8.1,北北東,東,3.6,,
6,4.5,1.5,0.5,9.9,11.0,8.6,2.3,5.4,東,9.6,東,東南東,0.0,,
7,24.5,21.5,17.0,15.5,17.9,10.6,2.9,6.4,西,15.2,西,南南西,0.4,,
8,1.5,5.0,1.0,10.1,15.0,8.1,6.0,9.8,西北西,22.5,西北西,西北西,1.3,,
9,0.0,0.0,0.0,8.8,11.1,7.1,2.1,4.9,西北西,8.4,北西,西北西,6.2,,
10,0.0,0.0,0.0,8.5,11.4,6.4,1.7,3.5,東北東,6.5,北,北北東,6.2,,
11,0.0,0.0,0.0,9.5,12.1,7.5,1.4,4.3,西北西,7.6,西南西,西北西,7.6,,
12,0.0,0.0,0.0,7.6,9.3,5.9,4.1,7.3,西北西,15.3,西北西,西北西,3.1,,
13,0.0,0.0,0.0,6.2,7.7,5.5,4.3,6.5,西北西,13.4,西北西,西北西,1.7,,
14,5.5,3.0,1.0,4.8,6.5,3.1,1.9,4.7,北西,9.1,西北西,北西,0.0,,
15,0.0,0.0,0.0,5.0,7.9,2.9,1.9,3.6,西北西,7.1,西北西,西北西,4.0,,
16,0.0,0.0,0.0,6.3,8.7,3.4,1.2,2.7,北北西,5.5,北,北西,0.2,,
17,8.0,2.5,1.0,7.4,11.4,5.7,1.5,4.2,北北西,8.2,北北西,北,0.8,,
18,3.0,2.0,1.0,7.3,9.2,5.5,3.0,7.5,北西,15.3,北西,北西,0.4,,
19,2.0,2.0,1.0,7.8,8.8,5.1,3.7,6.9,西北西,14.7,西北西,西北西,3.0,,
20,0.0,0.0,0.0,7.2,8.9,6.2,4.6,6.9,西北西,13.2,北西,西北西,1.0,,
21,0.0,0.0,0.0,6.6,9.7,3.4,2.0,4.7,北東,9.9,東,東北東,8.4,,
22,33.0,8.0,2.5,9.4,11.8,6.3,1.6,3.3,東南東,6.1,東南東,南南東,0.0,,
23,18.5,13.5,5.0,12.7,14.2,11.4,2.0,4.9,東,8.4,東,北,0.6,,
24,0.0,0.0,0.0,12.3,13.9,11.6,3.6,7.4,北東,12.5,北東,北北東,0.6,,
25,11.5,4.5,1.5,10.1,11.8,7.8,4.2,7.0,北東,13.0,北東,北東,0.2,,
26,0.0,1.0,0.0,10.3,11.8,7.8,4.0,6.9,東,17.3,東,東北東,0.8,,
27,80.0,9.0,3.5,9.0,10.7,7.7,6.6,10.8,北東,21.2,北北東,北東,0.0,,
28,4.5,1.5,0.5,10.0,11.9,8.3,4.4,6.1,北,16.5,北,北,1.6,,
29,18.0,3.0,1.5,8.1,10.0,6.0,2.3,4.5,北北東,9.7,北北東,北北東,0.0,,
30,46.0,9.0,2.5,5.7,7.9,3.9,2.6,5.8,北,11.7,北,北北東,0.7,,
31,3.5,3.0,1.0,6.4,9.2,3.9,2.2,4.5,北北東,9.2,東北東,北北東,1.7,,
