,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1025.4,1029.9,,,,5.1,10.6,0.8,73.0,54.0,1.5,5.0,西北西,8.1,西北西,7.9,,,晴,曇時々晴
2,1023.5,1027.9,,,,8.8,13.7,4.9,76.0,57.0,1.5,6.1,西,8.7,西,5.5,,,晴一時曇,晴
3,1020.4,1024.8,,,,8.7,13.0,5.6,77.0,55.0,1.6,5.5,西北西,9.0,西北西,1.5,,,曇時々晴,快晴
4,1018.7,1023.1,,,,8.4,14.1,4.0,74.0,44.0,1.9,6.4,西,9.8,西北西,8.4,,,晴,快晴
5,1023.2,1027.7,,,,8.4,13.8,3.7,69.0,47.0,1.1,2.4,北北西,5.9,東北東,8.0,,,晴,曇一時晴
6,1021.7,1026.1,0.0,0.0,0.0,10.6,13.3,6.4,72.0,62.0,1.4,2.7,東南東,6.0,東南東,0.0,,,曇一時雨,曇一時雨
7,1013.1,1017.3,1.5,0.5,0.5,17.6,19.7,13.1,83.0,76.0,2.2,6.0,南,15.7,南西,0.3,,,雨後曇一時晴,曇時々雨
8,1011.4,1015.8,25.5,24.5,16.0,12.6,19.5,9.6,68.0,49.0,6.8,12.8,西,22.0,西北西,2.2,,,曇時々晴一時雨,曇
9,1016.0,1020.4,,,,10.6,12.7,9.5,65.0,57.0,2.0,3.8,西,6.6,西北西,2.0,,,曇一時晴,曇後一時晴
10,1015.4,1019.8,,,,9.4,14.1,6.4,66.0,47.0,1.5,3.8,北,6.6,西北西,8.3,,,晴一時曇,曇
11,1012.6,1017.0,0.0,0.0,0.0,10.6,14.5,7.4,66.0,47.0,1.2,3.3,北,6.6,北,3.6,,,曇時々晴,曇後雨
12,1011.5,1015.9,1.0,0.5,0.5,9.2,10.5,8.5,68.0,54.0,3.3,7.6,西,13.5,西,0.3,,,曇後一時晴,晴後一時曇
13,1017.1,1021.5,,,,8.3,10.3,5.6,60.0,48.0,2.6,5.7,北,10.1,北北東,1.3,,,曇後晴,晴後曇
14,1018.2,1022.6,1.5,1.0,0.5,7.0,8.1,3.9,78.0,63.0,1.5,5.5,北,9.5,北北東,0.0,,,曇一時雨,晴一時曇
15,1020.8,1025.2,,,,6.0,9.8,3.1,70.0,49.0,1.8,4.4,北北西,7.5,北,2.6,,,晴後曇,曇
16,1018.9,1023.4,,,,7.2,9.5,4.8,63.0,49.0,1.0,2.3,北,4.0,北東,0.0,,,曇,曇一時晴
17,1013.7,1018.1,0.0,0.0,0.0,8.9,12.4,6.4,65.0,42.0,2.2,6.1,北,10.0,北,3.9,,,曇後晴,曇後一時晴
18,1012.3,1016.8,0.5,0.5,0.5,8.3,12.2,5.5,78.0,41.0,2.2,7.3,西,13.6,西北西,4.9,,,晴後一時雨,晴一時雨
19,1014.9,1019.3,0.0,0.0,0.0,8.0,11.6,4.6,82.0,59.0,1.4,6.0,西北西,8.9,西北西,0.5,,,曇時々雨,曇一時雨
20,1017.3,1021.7,0.0,0.0,0.0,9.7,11.5,8.5,65.0,50.0,2.5,6.8,西,10.8,西,0.9,,,曇一時晴,晴一時曇
21,1022.4,1026.9,,,,8.2,13.3,5.0,67.0,45.0,1.3,4.2,北,6.6,北,8.8,,,晴一時薄曇,晴後一時曇
22,1019.4,1023.8,5.5,2.5,1.0,10.2,16.3,5.7,85.0,70.0,1.6,3.7,南東,8.8,南東,0.0,,,曇後雨,大雨後一時曇
23,1015.0,1019.3,37.5,28.5,14.0,15.6,20.1,12.6,90.0,70.0,1.9,6.0,西,11.3,西南西,6.4,,,晴一時曇,曇一時晴
24,1019.6,1024.0,0.0,0.0,0.0,14.0,17.2,12.7,81.0,64.0,2.6,5.4,北,8.9,北,1.2,,,曇一時雨,曇一時雨
25,1019.9,1024.3,11.0,4.0,1.5,11.7,13.7,9.1,80.0,69.0,2.8,5.1,北,9.3,北,0.0,,,曇時々雨,雨後一時曇
26,1015.9,1020.3,7.5,2.0,0.5,10.3,12.9,8.8,84.0,69.0,2.2,4.0,北北東,9.5,北東,0.0,,,曇後雨,雨
27,1001.2,1005.5,21.5,12.5,3.5,10.5,13.4,8.4,87.0,78.0,3.4,8.9,北,15.1,北北東,0.5,,,雨一時曇、雷を伴う,晴一時曇
28,1007.7,1012.1,0.0,0.0,0.0,10.6,14.9,7.4,87.0,62.0,1.9,5.5,北,9.7,北,6.3,,,晴時々曇,晴時々曇
29,1008.6,1013.0,1.5,1.0,0.5,9.5,12.8,7.0,85.0,62.0,1.5,4.0,北,7.9,北,1.4,,,曇一時雨,曇時々晴一時雨
30,1006.5,1010.9,1.5,0.5,0.5,8.2,11.5,6.5,82.0,53.0,3.0,7.1,北,11.4,北,3.5,,,晴時々雨一時曇,晴時々曇一時雨
31,1013.3,1017.7,0.0,0.0,0.0,7.6,11.2,5.4,77.0,55.0,1.8,4.2,北北東,7.8,北北東,1.5,,,曇後一時晴,曇一時晴
