,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,902.9,,,,,-2.7,3.9,-7.3,79.0,38.0,2.8,5.3,西,9.6,南西,8.5,,,,
2,903.4,,,,,-1.7,5.4,-4.1,90.0,43.0,1.9,4.3,西,9.2,西,5.5,,,,
3,899.4,,0.0,0.0,0.0,-1.0,6.2,-5.7,86.0,47.0,2.4,5.2,西南西,10.2,西南西,6.7,,,,
4,897.3,,0.5,0.5,0.5,-0.8,4.8,-3.6,84.0,41.0,2.6,5.4,西,9.7,西北西,7.5,1.0,1.0,,
5,903.2,,0.5,0.5,0.5,-3.2,0.5,-4.7,89.0,58.0,3.1,5.6,西南西,11.8,西南西,4.3,1.0,2.0,,
6,907.9,,0.0,0.0,0.0,-2.4,2.7,-5.0,87.0,60.0,3.0,5.5,西,10.4,西,5.2,1.0,1.0,,
7,905.4,,3.0 ),2.0 ),0.5 ),-2.7,1.5,-7.0,91.0,57.0,2.3,4.5,東,7.7,東,2.5,4.0,4.0,,
8,888.1,,8.5,5.5,1.5,3.1,12.6,-2.4,86.0,55.0,3.3,7.9,西,18.1,西南西,2.6,,3.0,,
9,894.4,,,,,1.2,6.3,-3.5,72.0,41.0,2.9,7.3,西,16.8,西,8.8,,,,
10,899.1,,0.0,0.0,0.0,-1.5,5.1,-5.6,86.0,50.0,1.9,4.8,西南西,10.6,西,4.4,,,,
11,897.7,,,,,-1.5,5.3,-6.0,86.0,58.0,1.8,3.8,東,5.7,東,9.0,,,,
12,894.3,,0.0,0.0,0.0,-1.3,3.0,-3.5,93.0,62.0,1.7,2.9,北北東,4.5,東北東,0.7,,,,
13,895.1,,,,,1.4,6.9,-3.9,69.0,41.0,2.4,5.0,西南西,9.5,南西,8.2,,,,
14,901.8,,0.0,0.0,0.0,1.0,6.6,-3.5,68.0,37.0,2.0,4.1,西南西,9.2,西,4.7,,,,
15,899.5,,2.5,1.5,0.5,-0.5,5.5,-4.1,94.0,55.0,1.9,6.1,西南西,12.9,西,3.9,4.0,4.0,,
16,903.2,,,,,-3.3,3.1,-6.9,82.0,41.0,2.0,4.6,南西,7.9,南西,4.2,,,,
17,901.4,,0.0,0.0,0.0,-2.4,3.4,-6.9,84.0,49.0,1.5,3.3,西南西,5.3,西南西,5.0,,,,
18,895.9,,0.0,0.0,0.0,-2.9,-0.9,-4.7,95.0,75.0,1.6,3.0,西南西,6.2,西南西,0.0,1.0,1.0,,
19,896.7,,,,,-1.9,3.4,-7.3,81.0,49.0,1.9,4.6,西,9.6,西,4.3,,,,
20,895.8,,,,,1.9,7.5,-3.7,65.0,44.0,2.7,4.8,西,8.7,西,9.3,,,,
21,903.2,,0.0,0.0,0.0,-1.6,3.2,-5.2,74.0,37.0,3.1,6.9,西,13.1,西,8.6,,,,
22,908.6,,,,,-1.6,4.5,-8.5,72.0,46.0,2.1,3.9,東,6.4,東南東,7.2,,,,
23,903.9,,5.0,2.5,0.5,2.4,5.2,-0.3,92.0,50.0,1.5,3.0,西北西,5.9,西,0.0,,,,
24,905.7,,,0.0,,2.0,7.5,-2.6,93.0,56.0,2.2,4.9,西,8.8,西,3.2,,,,
25,909.3,,,,,-2.1,1.8,-4.6,79.0,59.0,2.6,5.1,西南西,8.9,西南西,6.6,,,,
26,907.6,,,,,-1.0,4.5,-3.9,63.0,37.0,1.3,3.3,南南西,6.1,南西,2.7,,,,
27,906.4,,3.5,2.0,0.5,-2.3,0.6,-3.9,89.0,63.0,2.8,6.0,東,10.4,東,0.0,6.0,6.0,,
28,900.4,,16.5,3.5,1.0,-0.1,3.2,-3.5,98.0,92.0,3.6,5.6,北東,10.2,北東,0.0,8.0,13.0,,
29,889.6,,9.5,5.0,1.5,3.2,9.4,-1.0,95.0,62.0,2.2,6.2,西,11.9,西南西,4.6,,3.0,,
30,885.5,,,,,2.9,8.9,-1.4,73.0,41.0,3.6,6.7,西南西,12.5,西,8.1,,,,
31,890.0,,0.0,0.0,0.0,-1.9,2.4,-4.9,77.0,39.0,3.4,8.3,北西,13.5,北西,8.5,,,,
