,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-3.9,0.2,-9.4,1.8,5.2,北東,11.4,東北東,北東,0.4,2.0,8.0
2,0.0,0.0,0.0,-2.1,2.1,-6.0,1.1,3.8,北北東,9.2,北東,北北東,1.1,3.0,8.0
3,2.0,1.0,0.5,-1.3,1.7,-6.0,0.5,2.8,北北東,5.9,北北東,北東,0.0,5.0,12.0
4,1.5,1.0,0.5,-1.8,1.3,-7.3,1.0,3.3,北,7.8,北北西,北北東,0.1,5.0,15.0
5,0.0,0.0,0.0,-4.1,-2.5,-8.2,2.2,4.0,東北東,10.9,北西,北北東,0.5,3.0,15.0
6,0.0,0.0,0.0,-4.0,5.0,-13.5,0.7,2.9,北西,6.5,北西,北,1.1,0.0,13.0
7,6.0,1.5,0.5,-1.8,3.1,-8.0,0.3,1.7,東北東,5.6,東,南,0.0,7.0,16.0
8,34.5,11.0,2.5,4.1,9.5,0.5,1.2,3.7,東北東,11.5,北北東,東,0.4,1.0,13.0
9,0.5,0.5,0.5,0.2,2.6,-1.4,1.5,3.8,東北東,9.8,北北東,北北東,1.6,0.0,6.0
10,0.0,0.0,0.0,-1.2,2.0,-6.4,1.0,3.0,北西,7.5,北西,北北西,1.2,1.0,6.0
11,0.0,0.0,0.0,-2.6,5.4,-8.3,0.4,3.2,北北東,6.6,北東,北西,1.5,0.0,6.0
12,0.0,0.0,0.0,-2.1,1.7,-6.7,0.2,1.3,北北東,2.6,北,北北西,0.0,2.0,7.0
13,1.5,1.0,0.5,-0.8,1.6,-2.6,0.5,2.8,東北東,6.7,北,東北東,0.0,5.0,11.0
14,1.0,0.5,0.5,-1.8,2.8,-7.3,0.2,1.9,北北西,4.3,北,北北西,0.5,1.0,10.0
15,0.5,0.5,0.5,-2.2,0.8,-6.0,1.7 ],3.1 ],東北東 ],8.6 ],北北東 ],北東 ],0.4,5.0,12.0
16,0.0,0.0,0.0,-5.1,0.4,-11.1,0.6,3.1,北,8.0,北西,北,0.4,0.0,11.0
17,0.0,0.0,0.0,-2.8,3.8,-9.4,0.2,1.5,北東,2.8,北北東,東北東,1.1,0.0,10.0
18,0.0,0.0,0.0,-1.8,0.7,-3.5,1.7,3.5,北西,8.4,北西,北北東,0.0,1.0,11.0
19,0.0,0.0,0.0,-1.5,3.4,-7.8,1.4,3.8,北東,9.2,東北東,北東,1.6,0.0,11.0
20,0.0,0.0,0.0,-0.6,3.0,-3.8,0.7,4.0,北北東,8.9,北,南南東,0.0,1.0,10.0
21,1.5,1.0,0.5,-4.0,-0.8,-10.6,1.6,4.0,北北東,13.0,北,北北西,2.0,5.0,14.0
22,0.0,0.0,0.0,-3.0,5.0,-12.2,0.3,1.4,東,4.7,南南西,東北東,0.6,0.0,12.0
23,21.0,4.5,1.0,1.0,4.7,-0.8,0.3 ],1.2 ],東 ],2.5 ],北西 ],東 ],0.0,9.0,20.0
24,0.0,0.0,0.0,1.9,5.5,-1.7,1.6,3.4,東北東,9.2,北北西,東北東,1.2,2.0,13.0
25,0.0,0.0,0.0,-0.5,4.7,-5.2,0.6,2.3,北西,4.9,西北西,北北東,0.8,0.0,13.0
26,0.0,0.0,0.0,0.3,4.5,-3.5,0.7,3.9,北北東,8.3,北北東,北東,1.0,0.0,12.0
27,2.0,1.5,0.5,-0.1,4.5,-3.5,0.7,3.0,北,9.4,南東,北北西,0.0,3.0,15.0
28,14.0,6.5,2.0,2.2,5.4,-0.7,0.7,2.9,北,8.6,東,南南西,0.2,3.0,17.0
29,2.5,6.5,1.5,2.7,6.9,-0.5,1.0,3.9,北東,11.6,北北西,北北西,0.8,3.0,12.0
30,0.0,0.0,0.0,0.1,3.5,-2.9,1.1,2.9,北北東,8.3,東北東,北東,0.3,2.0,10.0
31,0.0,0.0,0.0,-3.0,-0.9,-5.6,1.4,3.4,北北西,12.4,北西,北北東,1.8,1.0,10.0
