,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,2.5,1.5,0.5,0.3,4.8,-5.4,1.5,6.4,南南西,8.6,南西,北,6.4,1 ),5 )
2,2.5,1.0,0.5,1.5,3.5,0.5,1.0,2.5,南南西,3.4,南南西,北北西,0.4,0.0,0.0
3,16.0,4.5,1.0,2.2,7.0,0.1,1.0,4.9,北北西,7.8,北北西,北,2.9,0.0,0.0
4,10.0,3.0,0.5,1.2,3.2,0.3,1.6 ],3.6 ],北北西 ],5.7 ],北北西 ],北西 ],0.7,0.0,0.0
5,16.0,3.5,1.0,1.2,2.5,-0.1,2.2,6.4,北,11.6,北,北,0.1,19.0,13.0
6,0.5,0.5,0.5,0.6,3.3,-2.3,1.4,3.5,南南西,4.9,南南西,南南西,2.6,2.0,11.0
7,1.5,1.0,0.5,-0.2,4.4,-4.9,1.8,6.2,南南西,10.9,南南西,南南西,0.1,1.0,6.0
8,18.5,5.5,1.5,4.7,8.0,1.7,2.4,8.5,南南西,14.9,西北西,南南西,0.8,0.0,3.0
9,4.5,3.5,0.5,4.9,7.4,2.3,3.2,7.1,北北西,14.2,北北西,北,2.7,0.0,0.0
10,2.0,1.0,0.5,2.2,6.5,-2.4,1.2,4.9,北東,7.4,北北東,北北西,4.3,0.0,0.0
11,0.5,0.5,0.5,1.3,7.6,-3.4,1.1,4.8,北,7.7,北北東,北西,4.5,0.0,0.0
12,0.0,0.0,0.0,3.1,6.4,0.2,0.8,2.3,南,3.4,南,西南西,0.1,0.0,0.0
13,3.5,1.5,0.5,2.4,5.7,0.6,1.2,4.9,北北西,7.4,北北西,北北東,0.1,0.0,0.0
14,0.0,0.0,0.0,2.3,5.4,0.3,0.9,2.3,南西,3.9,北西,南南東,1.2,0.0,0.0
15,11.0,5.0,2.0,2.4,7.9,-0.1,1.3,6.6,北西,12.6,北西,西北西,2.8,0.0,0.0
16,1.5,1.0,0.5,1.2,4.7,-3.1,1.6,5.7,北北西,14.3,北西,北北西,4.4,2.0,2.0
17,0.0,0.0,0.0,1.4,6.2,-0.9,1.2,3.3,北北西,6.0,北西,南南東,3.6,0.0,0.0
18,0.0,0.0,0.0,1.5,4.9,-2.0,1.7,4.6,北北西,7.2,北北西,北北西,1.0,0.0,0.0
19,0.0,0.0,0.0,3.2,7.6,0.8,1.0,3.2,東北東,4.9,北東,西北西,3.3,0.0,0.0
20,0.0,0.0,0.0,3.2,5.9,0.8,1.4,3.8,北北西,5.8,北,北,0.5,0.0,0.0
21,13.5,2.5,1.0,0.2,3.5,-6.1,1.7,5.6,北,11.2,北北東,北,0.0,18.0,12.0
22,0.0,0.0,0.0,-2.3,3.1,-7.5,0.7,1.9,北,2.5,北,南南西,6.2,1.0,9.0
23,1.5,0.5,0.5,0.8,2.6,-1.5,0.6,2.0,南南東,2.6,北,西北西,0.0,2.0,4.0
24,5.5,2.5,1.0,3.6,10.8,1.3,1.5,6.7,北北西,9.6,北北西,南西,3.3,1.0,1.0
25,0.0,0.0,0.0,2.0,5.0,-0.5,1.7,4.1,北,6.7,北北西,北北西,6.0,0.0,0.0
26,0.0,0.0,0.0,2.4,9.0,-1.4,1.4,6.0,北西,9.0,北北西,北北西,6.6,0.0,0.0
27,0.0,0.0,0.0,2.3,6.2,-1.3,2.6,9.8,南,13.3,南,南,0.0,0.0,0.0
28,0.0,0.0,0.0,8.2,12.7,3.3,5.6,10.1,南,14.9,南南西,南南東,4.9,0.0,0.0
29,0.5,0.5,0.5,7.8,11.1,4.3,1.4,4.3,南南西,6.9,南南西,北北西,0.2,0.0,0.0
30,21.5,6.5,1.5,4.8,11.3,0.7,2.2,7.1,北北西,13.7,北北西,北西,4.4,0.0,0.0
31,15.0,2.0,1.0,1.1,2.5,0.0,2.3,5.0,北,11.1,北北東,北,0.4,6.0,6.0
