,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,1.5,0.5,0.5,-2.7,-1.3,-5.1,2.0,3.3,西北西,15.9,北北西,西北西,0.1,1.0,8.0
2,0.0,0.0,0.0,-0.9,0.9,-2.7,1.7,3.2,北西,10.9,北北西,北西,0.7,0.0,7.0
3,0.0,0.0,0.0,0.6,3.0,-1.7,1.3,2.4,北西,9.5,北,北西,2.6,0.0,7.0
4,0.0,0.0,0.0,-1.7,-0.3,-2.8,1.1,2.9,北西,10.4,北,北西,0.9,2.0,8.0
5,0.5,0.5,0.5,-1.4,-0.3,-2.8,1.6,2.9,北西,11.0,西南西,北西,0.2,2.0,9.0
6,0.0,0.0,0.0,0.3,2.0,-3.0,1.5,2.9,北西,9.2,北,北西,0.4,0.0,9.0
7,0.0,0.0,0.0,-0.7,3.3,-5.7,0.7,2.0,南東,3.6,北北西,南南東,4.0,0.0,8.0
8,32.0,4.5,1.0,2.7,4.1,-1.0,1.4,4.2,南東,9.5,南東,南東,0.0,0.0,8.0
9,3.5,1.0,0.5,2.0,3.3,0.1,0.7,2.8,北北西,6.1,北東,北,0.2,0.0,4.0
10,0.0,0.0,0.0,1.1,3.1,-0.3,0.5,3.1,南東,5.3,南東,南東,1.2,0.0,4.0
11,8.0,2.5,0.5,0.8,4.5,-1.3,1.4,3.5,南南東,6.3,南東,南東,0.2,2.0,3.0
12,0.0,0.0,0.0,0.3,2.6,-1.1,0.1,0.7,東南東,2.7,北,西北西,0.5,0.0,0.0
13,0.0,0.0,0.0,-0.3,1.5,-2.0,0.4,1.7,北北西,5.4,西南西,西北西,0.5,0.0,0.0
14,0.0,0.0,0.0,-0.7,1.3,-2.2,0.3,1.4,南南東,3.2,北,南東,0.5,0.0,0.0
15,0.0,0.0,0.0,0.2,2.6,-2.5,0.4,1.6,北,5.1,西北西,南南東,0.0,0.0,0.0
16,5.5,1.5,0.5,-1.0,1.2,-2.2,0.6,2.0,北北西,5.5,北北西,西北西,0.3,10.0,8.0
17,2.5,1.0,0.5,-0.9,1.8,-1.8,0.6,3.6,北北西,7.8,北北西,西北西,0.3,2.0,8.0
18,0.0,0.0,0.0,-1.3,1.0,-3.5,0.8,2.6,南南東,5.2,北北西,南南東,0.5,0.0,7.0
19,0.0,0.0,0.0,-0.5,4.1,-5.4,1.0,2.7,南南東,6.9,南南東,南南東,3.7,0.0,6.0
20,10.5,3.0,1.0,0.7,4.5,-0.9,0.8 ],2.6 ],東南東 ],6.7 ],北北西 ],南東 ],1.4,5.0,7.0
21,1.5,0.5,0.5,-0.6,0.9,-1.7,1.5 ),4.0 ),北北西 ),9.8 ),北 ),北西 ),1.8,2.0,7.0
22,2.5,2.5,1.0,2.1,4.5,-2.1,1.2,4.1,南東,7.4,南東,南南東,2.0,0.0,7.0
23,2.0,1.5,0.5,1.9,5.9,-2.2,0.6,1.7,南東,9.4,西,南東,5.9,1.0,5.0
24,1.0,1.0,0.5,-0.4,3.9,-2.8,1.6,3.3,北西,9.1,北西,北西,1.6,1.0,4.0
25,0.0,0.0,0.0,-2.0,-1.0,-3.1,1.3,2.4,北西,8.1,北北西,北西,0.2,1.0,4.0
26,0.0,0.0,0.0,-0.4,1.8,-1.6,1.1,2.9,北北西,6.7,北北西,北西,1.6,0.0,4.0
27,0.0,0.0,0.0,1.0,3.7,-2.7,1.1,2.6,北北西,6.5,北北西,北西,5.6,0.0,4.0
28,2.5,1.0,0.5,2.8,4.4,-1.6,3.2,6.4,南東,13.8,南東,南東,0.6,0.0,4.0
29,25.0,3.0,0.5,4.9,6.6,3.4,2.8,5.6,南東,13.5,南東,南南東,0.0,0.0,0.0
30,23.0,4.0,1.0,3.2,5.2,0.4,0.9,2.5,東南東,7.6,西南西,東南東,0.0,0.0,0.0
31,6.5,1.5,0.5,2.3,4.8,1.1,0.5,2.0,東南東,6.1,西,西,0.0,0.0,0.0
