,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1012.8,1016.4,0.0,0.0,0.0,-1.5,0.7,-3.2,68.0,54.0,8.1,12.6,西,19.4,西,3.3,1.0,6.0,,
2,1013.9,1017.6,0.0,0.0,0.0,-0.1,2.7,-3.1,65.0,47.0,8.1,14.5,西,23.2,西南西,3.7,,6.0,,
3,1010.5,1014.0,0.0,0.0,0.0,1.1,4.9,-1.2,67.0,44.0,6.3,12.2,西,17.9,西,5.9,,4.0,,
4,1011.0,1014.6,0.0,0.0,0.0,-1.4,2.0,-4.7,68.0,42.0,6.0,12.5,西,17.5,西北西,5.6,,4.0,,
5,1016.3,1020.0,0.0,0.0,0.0,-2.0,0.8,-4.9,77.0,58.0,7.1,12.5,西北西,17.7,西,7.2,,4.0,,
6,1020.7,1024.3,0.0,0.0,0.0,0.6,3.8,-2.5,66.0,50.0,7.7,14.0,西北西,19.0,西,5.6,1.0,5.0,,
7,1022.3,1025.9,,,,-0.5,3.6,-4.8,69.0,50.0,3.5,7.4,西南西,9.7,西南西,5.4,,3.0,,
8,1003.0,1006.5,29.0,5.0,1.0,2.8,5.6,-1.7,91.0,78.0,6.1,13.7,北東,20.1,北東,0.0,1.0,4.0,,
9,1006.9,1010.5,8.0,2.0,0.5,2.3,4.7,0.6,94.0,84.0,4.4,15.1,北東,21.0,北東,0.0,,,,
10,1014.6,1018.2,0.0,1.0,0.0,1.1,2.9,-0.8,83.0,60.0,2.8,6.2,北北東,10.4,北北東,0.0,,,,
11,1010.1,1013.7,3.5,1.5,0.5,2.2,7.5,-0.8,85.0,54.0,3.8,6.7,南西,9.9,南南西,5.2,,,,
12,1007.6,1011.2,,,,1.2,4.0,-1.9,88.0,70.0,3.2,6.5,南西,8.5,西,0.9,,,,
13,1010.4,1014.0,0.0,0.0,0.0,0.4,3.1,-2.8,80.0,59.0,3.4,7.5,北西,9.6,北西,0.1,,,,
14,1017.9,1021.5,1.5,1.0,0.5,-1.4,1.4,-4.0,89.0,77.0,2.8,4.9,南西,5.8,西北西,2.1,4.0,4.0,,
15,1015.9,1019.5,3.0,1.5,0.5,-1.3,3.1,-5.9,92.0,75.0,3.3,6.0,西北西,8.0,北西,0.3,3.0,3.0,,
16,1015.8,1019.4,0.0,0.5,0.0,0.0,2.4,-1.9,76.0,52.0,4.9,8.4,西北西,13.0,西,4.4,1.0,4.0,,
17,1015.9,1019.5,0.0,0.0,0.0,0.4,3.4,-2.5,69.0,44.0,5.0,10.0,西,14.1,西,4.4,,2.0,,
18,1015.1,1018.7,0.0,0.0,0.0,-0.9,1.6,-3.6,80.0,58.0,3.2,6.6,北北西,8.6,北西,2.3,,1.0,,
19,1010.7,1014.3,0.0,0.0,0.0,0.7,4.4,-2.2,78.0,57.0,3.2,6.0,南西,7.0,西南西,3.4,,1.0,,
20,1005.6,1009.1,0.0,0.0,0.0,2.1,6.0,-1.6,76.0,58.0,5.6,11.1,西北西,15.5,西北西,2.0,,,,
21,1015.7,1019.4,1.0,1.0,0.5,-0.6,2.3,-1.9,79.0,61.0,6.7,13.2,西北西,18.5,西北西,4.5,6.0,5.0,,
22,1022.3 ),1025.9 ),,,,1.2 ),5.5,-3.8,66 ),55.0,5.3 ),9.5,南西,13.4,南西,3.9 ),-- ),1 ),,
23,1017.7,1021.2,0.0,0.0,0.0,3.3,6.9,-1.2,76.0,61.0,3.0,7.2,南西,8.3,南西,2.4,,,,
24,1018.4,1022.0,0.0,0.0,0.0,0.3,7.0,-2.3,72.0,46.0,7.3,12.8,西,19.6,西,5.5,,,,
25,1024.9,1028.6,0.0,0.0,0.0,-1.1,1.4,-2.7,60.0,42.0,8.0,13.5,西,18.1,西,6.2,,,,
26,1023.6,1027.2,,,,-1.1,2.8,-5.1,62.0,47.0,5.5,9.7,西北西,14.0,西,7.2,,,,
27,1023.5,1027.2,,,,1.4,6.0,-2.1,61.0,41.0,5.0,10.3,西南西,13.6,北北西,8.8,,,,
28,1021.1,1024.7,2.0,1.0,0.5,2.6,5.2,-1.8,79.0,66.0,4.9,7.9,南東,14.0,東南東,0.0,,,,
29,1007.3,1010.8,51.0,4.5,1.5,6.3,7.9,2.6,93.0,88.0,9.2,18.4,北東,25.3,東北東,0.0,,,,
30,993.6,997.1,24.5,5.0,1.0,3.8,5.8,1.3,91.0,79.0,7.2,14.6,北北東,22.4,北東,0.0,,,,
31,997.0,1000.5,4.0,1.5,0.5,3.7,7.1,1.6,81.0,55.0,5.4,10.3,西,14.1,西,3.9,,,,
