,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-1.3,-0.2,-3.2,3.9,5.5,西北西,16.0,北北西,西北西,0.1,,
2,0.5,0.5,0.5,0.3,2.6,-2.5,3.2,4.8,北西,14.8,西北西,西北西,1.5,,
3,0.0,0.0,0.0,1.6,3.7,-1.0,3.1,4.6,北西,11.3,北西,西北西,1.3,,
4,0.0,0.0,0.0,-1.1,-0.2,-2.3,3.1,5.2,北西,12.2,北北西,北西,0.9,,
5,0.0,0.0,0.0,-0.6,1.0,-2.0,3.6,5.3,北西,11.9,北北西,北西,0.0,,
6,0.0,0.0,0.0,0.9,2.5,-4.5,3.1,5.0,北西,11.8,北西,北西,0.2,,
7,0.0,0.0,0.0,-1.3,3.2,-7.5,1.3,3.7,東北東,7.9,東北東,東南東,3.4,,
8,25.5,4.5,1.0,2.8,4.0,-0.3,5.6,9.3,東北東,18.5,東北東,東北東,0.0,,
9,3.5,1.5,0.5,1.8,3.8,0.2,1.1,5.9,東北東,11.2,東北東,東南東,0.0,,
10,0.0,0.0,0.0,1.1,3.7,-1.3,0.8,2.3,南,4.3,南,南東,0.1,,
11,11.5,3.5,1.0,1.0,4.9,-0.6,0.9,3.7,北西,9.1,北西,東,0.1,,
12,0.0,0.0,0.0,1.3,2.7,-0.8,1.1,2.9,北北西,6.3,北北西,北北西,0.4,,
13,0.0,0.0,0.0,0.6,2.3,-0.2,1.8,3.5,北北西,8.0,北北西,北西,1.4,,
14,0.5,0.5,0.5,-0.2,1.1,-1.3,1.2,3.2,北北西,6.6,西北西,北北西,0.0,,
15,0.0,0.0,0.0,0.5,3.6,-3.5,1.3,3.8,北北西,8.6,北西,北北西,1.6,,
16,2.0,0.5,0.5,0.7,1.7,-0.8,2.4,4.7,北北西,10.0,北西,西北西,0.3,,
17,2.0,0.5,0.5,0.7,3.0,-0.5,2.4,4.1,北西,10.4,北西,北西,1.1,,
18,0.0,0.0,0.0,-0.2,2.2,-1.6,1.8,3.4,東北東,6.7,東,東北東,4.6,,
19,0.0,0.0,0.0,-0.6,3.6,-5.8,1.1,2.4,東南東,4.1,南,東,4.1,,
20,7.5,2.5,1.0,1.5,4.9,-0.1,2.2,4.8,北西,11.4,西北西,北西,1.0,,
21,2.5,0.5,0.5,0.2,1.3,-1.4,3.4,5.7,北北西,12.2,西北西,北西,1.2,,
22,2.0,2.0,1.0,3.4,6.0,1.0,2.1,3.9,西南西,10.0,西,西,1.6,,
23,0.5,1.0,0.5,2.9,7.2,-2.5,1.2,3.4,北北西,10.8,西,北北西,5.9,,
24,2.0,2.0,1.0,0.3,5.6,-2.3,3.2,6.1,北西,14.0,北,北西,0.5,,
25,0.0,0.0,0.0,-1.3,-0.1,-2.3,3.2,5.4,北西,11.5,北北西,北西,0.3,,
26,0.0,0.0,0.0,0.5,1.8,-0.7,2.7,3.8,北西,10.1,北西,北西,1.0,,
27,0.0,0.0,0.0,1.6,4.3,-3.4,2.1,4.5,北北西,10.0,北,北西,4.8,,
28,1.0,1.0,0.5,3.4,5.3,0.5,4.9,7.5,東,16.0,東南東,東,2.8,,
29,18.5,2.0,0.5,5.3,6.9,3.7,4.5,7.2,東北東,15.6,東,東,0.0,,
30,12.0,2.5,0.5,3.3,6.2,1.2,2.0,4.2,東,9.4,北西,北西,0.0,,
31,2.5,1.0,0.5,3.6,6.2,1.8,1.6,3.8,北西,10.0,北,北西,0.5,,
