,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1010.6,1019.3,0.5,0.5,0.5,-0.8,0.5,-3.3,70.0,54.0,7.9,10.6,西南西,19.9,西,0.0,,1.0,,
2,1011.5,1020.1,0.0,0.0,0.0,0.6,1.9,-1.2,64.0,52.0,5.6,10.4,西南西,18.5,西,0.1,,1.0,,
3,1007.1,1015.6,0.0,0.0,0.0,2.1,4.2,-0.6,64.0,51.0,5.9,8.8,西北西,15.8,西南西,0.5,,,,
4,1007.6,1016.2,1.0,1.0,0.5,-0.4,0.5,-1.2,67.0,56.0,5.6,8.5,北西,13.4,西北西,0.0,2.0,1.0,,
5,1013.5,1022.1,0.0,0.0,0.0,0.1,1.5,-1.2,67.0,53.0,7.8,10.6,北西,15.8,西北西,0.1,2.0,1.0,,
6,1018.0,1026.6,0.0,0.0,0.0,2.0,2.9,0.0,64.0,55.0,5.9,8.7,西北西,14.7,西北西,0.6,,1.0,,
7,1016.3,1025.0,,,,0.8,4.0,-1.9,74.0,42.0,1.6,2.7,東南東,4.6,西,3.2,,,,
8,993.5,1001.8,22.5,4.0,1.0,3.5,7.3,0.1,86.0,25.0,2.7,8.4,東南東,15.8,東南東,0.0,,,,
9,1002.4,1010.8,2.0,1.0,0.5,3.1,4.2,0.6,81.0,57.0,4.0,7.3,北北西,12.7,北北東,0.0,,,,
10,1009.0,1017.5,1.0,1.0,1.0,2.0,5.0,-0.8,84.0,55.0,1.7,3.5,南,6.3,北,0.0,,,,
11,1005.1,1013.5,21.0,5.5,1.5,2.1,4.9,0.2,92.0,73.0,2.7,5.5,南南東,10.4,南南東,0.2,,,,
12,1003.0,1011.5,0.5,0.5,0.5,1.8,3.8,0.0,84.0,64.0,2.2,4.3,北北西,7.5,南西,0.2,,,,
13,1006.3,1014.8,1.0,0.5,0.5,0.7,2.2,-1.4,74.0,56.0,2.9,5.8,北,9.0,北西,0.8,,,,
14,1012.7,1021.3,2.0,1.0,0.5,-0.5,2.2,-1.9,93.0,74.0,2.3,6.3,北,9.3,北,0.9,3.0,2.0,,
15,1010.7,1019.3,3.5,2.0,1.5,0.7,3.5,-2.4,84.0,58.0,3.1,7.0,北,13.7,西,6.5,2.0,3.0,,
16,1011.9,1020.5,0.5,0.5,0.5,0.2,1.7,-0.8,67.0,54.0,3.7,6.1,西南西,12.2,西,0.9,2.0,3.0,,
17,1011.9,1020.5,0.0,0.0,0.0,1.0,2.8,0.1,63.0,50.0,4.0,6.2,西南西,12.3,西,0.7,,3.0,,
18,1009.2,1017.8,,,,0.1,2.7,-1.6,68.0,51.0,3.0,7.2,北北東,10.9,北北東,6.5,,2.0,,
19,1004.9,1013.4,1.0,1.0,0.5,1.5,5.1,-1.7,77.0,59.0,2.4,4.6,南,9.6,南南西,4.0,,2.0,,
20,1001.7,1010.1,10.5,5.5,1.5,2.3,4.3,0.1,80.0,57.0,4.1,10.2,西北西,15.4,西北西,0.7,3.0,3.0,,
21,1012.9,1021.5,0.5,0.5,0.5,0.6,2.8,-1.2,69.0,52.0,6.5,11.2,西北西,17.7,西北西,0.1,2.0,2.0,,
22,1017.2,1025.7,3.5,3.5,1.5,4.0,6.2,0.2,65.0,48.0,4.2,7.8,南,14.4,南南西,3.3,,1.0,,
23,1013.1,1021.7,5.0,4.5,1.0,3.4,7.0,-0.1,87.0,60.0,2.2,7.3,西北西,12.4,南西,4.2,,,,
24,1016.0,1024.6,0.5,0.5,0.5,1.2,5.1,-1.7,70.0,54.0,5.6,10.3,西北西,14.9,西北西,0.4,,,,
25,1022.5,1031.2,0.0,0.0,0.0,-1.2,0.0,-2.1,60.0,52.0,4.6,7.9,北西,12.8,西北西,0.3,,,,
26,1019.9,1028.5,,,,-0.1,2.7,-3.3,61.0,48.0,3.5,5.9,西北西,10.0,北西,1.8,,,,
27,1018.6,1027.2,,,,1.8,4.5,-1.9,64.0,53.0,3.8,6.4,北西,10.1,西北西,4.9,,,,
28,1011.8,1020.3,1.5,1.0,0.5,3.6,8.9,-1.0,67.0,41.0,2.1,4.0,東南東,7.8,東,2.5,,,,
29,1000.4,1008.8,25.5,4.5,1.0,4.4,5.6,3.0,100.0,99.0,2.1,4.0,北東,6.9,北東,0.0,,,,
30,990.8,999.1,7.0,2.5,1.0,4.3,6.5,1.9,92.0,80.0,4.8,8.3,北西,12.7,北西,0.0,,,,
31,993.8,1002.1,9.5,2.5,1.0,3.3,4.3,2.1,90.0,75.0,5.8,9.2,西北西,14.6,西北西,0.0,,,,
