,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,1.5,0.5,0.5,-2.4,0.1,-4.6,3.7,5.5,西北西,16.5,北北西,西,0.7,3.0,5.0
2,0.5,0.5,0.5,-0.5,1.4,-2.5,3.1,5.7,西北西,15.7,北西,西,0.1,1.0,5.0
3,0.0,0.0,0.0,1.1,3.7,-1.5,3.3,5.5,西北西,14.2,西北西,西北西,4.9,0.0,4.0
4,0.0,0.0,0.0,-1.3,0.6,-2.6,3.1,5.7,北西,14.2,西北西,西北西,2.4,0.0,3.0
5,0.0,0.0,0.0,-0.8,0.1,-2.0,3.7,5.6,西北西,14.4,西北西,西北西,0.2,2.0,4.0
6,0.0,0.0,0.0,1.2,2.8,-0.1,3.4,5.2,西北西,14.2,西北西,西北西,3.2,0.0,4.0
7,0.0,0.0,0.0,0.2,3.2,-3.5,1.5,4.1,東北東,7.9,東,西北西,1.8,0.0,3.0
8,16.0,2.5,1.0,3.3,4.6,2.4,7.1,11.1,東,18.6,東南東,東,0.0,0.0,3.0
9,0.5,0.5,0.5,1.3,4.1,-1.4,0.9,4.1,東,7.2,東,西北西,0.2,0.0,0.0
10,0.0,0.0,0.0,0.9,3.3,-1.1,1.2,2.9,東南東,5.0,東,西北西,0.5,0.0,0.0
11,6.0,2.0,1.0,1.3,5.3,-1.0,1.0,2.7,北北西,5.3,北西,西北西,1.6,1.0,1.0
12,0.0,0.0,0.0,1.6,3.6,-0.3,1.1,2.7,北西,6.2,北西,西北西,0.2,0.0,0.0
13,0.0,0.0,0.0,0.7,3.0,-0.4,1.6,4.2,西北西,10.6,北西,西,3.6,0.0,0.0
14,0.5,0.5,0.5,-0.3,1.9,-1.5,0.9,3.0,北西,7.1,西北西,西北西,0.5,0.0,0.0
15,0.5,0.5,0.5,0.7,3.7,-1.4,1.0,3.2,北西,7.3,北西,西北西,2.8,0.0,0.0
16,0.5,0.5,0.5,0.1,1.7,-1.2,2.2,4.3,西北西,10.2,北西,西北西,1.7,0.0,0.0
17,3.0,2.0,1.0,-0.2,1.4,-1.2,2.1,4.1,北西,9.6,北西,西北西,0.8,5.0,5.0
18,0.0,0.0,0.0,-1.0,2.0,-4.1,1.4,4.6,東,7.8,東,東,5.3,0.0,4.0
19,0.0,0.0,0.0,0.0,3.3,-5.3,1.6,3.5,東,5.8,東北東,西,2.6,1.0,2.0
20,6.0,2.5,1.5,1.5,5.9,0.0,1.6,4.3,北西,11.2,西,西,3.0,4.0,3.0
21,0.0,0.0,0.0,0.3,1.4,-0.5,3.3,6.0,西北西,14.3,北北西,西北西,2.9,0.0,1.0
22,1.0,1.0,0.5,3.2,5.4,0.0,2.1,3.2,西,10.7,西北西,西,4.4,0.0,0.0
23,3.0,2.0,0.5,2.8,6.5,-2.1,1.5,3.7,西北西,8.2,北西,西北西,5.6,0.0,0.0
24,1.5,1.0,1.0,0.2,4.8,-2.8,3.1,6.1,西北西,16.6,西北西,西北西,1.2,0.0,0.0
25,0.0,0.0,0.0,-1.6,-0.9,-2.6,3.7,6.3,北西,15.6,北西,西北西,1.0,0.0,0.0
26,0.0,0.0,0.0,0.0,1.9,-1.4,3.0,5.0,北西,11.0,西北西,西北西,4.8,0.0,0.0
27,0.0,0.0,0.0,1.5,4.5,-2.8,2.2,4.8,北西,12.2,北西,西北西,5.8,0.0,0.0
28,1.0,0.5,0.5,3.6,5.2,0.2,7.4,10.6,東南東,16.5,東南東,東南東,0.0,0.0,0.0
29,24.0,2.5,0.5,5.3,6.3,3.5,8.1,10.3,東,16.8,東,東,0.0,0.0,0.0
30,20.5,5.0,1.0,3.5,5.9,0.0,1.6,5.1,東,8.9,東,西北西,0.0,0.0,0.0
31,2.5,1.0,0.5,2.9,5.2,1.2,1.0,3.0,北西,7.6,西,西北西,0.1,0.0,0.0
